G,runtime
0.0,2345857.259520004
0.002,2419257.579520003
0.004,2492657.899520004
0.006,2608195.285120003
0.008,2736121.5571200047
0.01,2864047.829120003
0.012,2991974.1011200054
0.014,3119900.373120003
0.016,3247826.6451200056
0.018,3375752.9171200027
0.02,3503679.189120006
0.022,3631605.4611200024
0.024,3759531.733120006
0.026,3887458.005120002
0.028,4015384.2771200063
0.03,4143310.549120002
0.032,4271236.821120006
0.034,4399163.093120001
0.036,4527089.365120005
0.038,4655015.637120003
0.04,4782941.9091200065
0.042,4910868.181120001
0.044,5038794.453120003
0.046,5166720.725120004
0.048,5294646.997120007
0.05,5422573.269120001
0.052,5550499.541120002
0.054,5678425.813120006
0.056,5806352.085120007
0.058,5934278.357120001
0.06,6062204.629120002
0.062,6190130.901120007
0.064,6318057.173120008
0.066,6445983.445120001
0.068,6573909.717120001
0.07,6732288.721280009
0.072,6893769.425280006
0.074,7055250.129279995
0.076,7216730.8332799915
0.078,7378211.53728001
0.08,7539692.241280006
0.082,7701172.945279995
0.084,7862653.64927999
0.086,8024134.353280012
0.088,8185615.057280007
0.09,8347095.761279995
0.092,8508576.46527999
0.094,8670057.169280011
0.096,8831537.873280007
0.098,8993018.57728
0.1,9154499.28127999
0.102,9315979.985280015
0.104,9477460.68928
0.106,9638941.393279996
0.108,9800422.097280001
0.11,9961902.801280003
0.112,10123383.505280009
0.114,10284864.20928001
0.116,10446344.91327999
0.118,10607825.617280014
0.12,10769306.321279993
