G,runtime
0.0,2932905
0.002,2986353
0.004,3039126
0.006,3156308
0.008,3245182
0.01,3231646
0.012,3453068
0.014,3405787
0.016,3512429
0.018,3621831
0.02,3742943
0.022,3848426
0.024,3980421
0.026,4061964
0.028,4192833
0.03,4315772
0.032,4510470
0.034,4539831
0.036,4684639
0.038,4818330
0.04,4919122
0.042,5100094
0.044,5246760
0.046,5332652
0.048,5470502
0.05,5585893
0.052,5727918
0.054,5905016
0.056,5997478
0.058,6127492
0.06,6212023
0.062,6467401
0.064,6517534
0.066,6679958
0.068,6884990
0.07,7016864
0.072,7306082
0.074,7406741
0.076,7444134
0.078,7692179
0.08,8078027
0.082,8086892
0.084,8746563
0.086,9519040
0.088,8727869
0.09,9312831
0.092,9279677
0.094,10315637
0.096,9712000
0.098,9822463
0.1,9700958
0.102,10303054
0.104,10103594
0.106,9849896
0.108,11873799
0.11,11084412
0.112,11303557
0.114,12351943
0.116,12700030
0.118,11129298
0.12,12541072
