G,runtime
0.0,2454732.0
0.002,2718973.151999994
0.004,2983214.304
0.006,3247455.4559999905
0.008,3511696.6080000005
0.01,3775937.7599999886
0.012,4040178.912000001
0.014,4304420.063999988
0.016,4568661.216000001
0.018,4832902.367999986
0.02,5097143.519999992
0.022,5361384.671999997
0.024,5625625.824000002
0.026,5889866.975999985
0.028,6154108.127999985
0.03,6418349.280000004
0.032,6682590.432000003
0.034,6946831.583999984
0.036,7211072.73599998
0.038,7475313.888000009
0.04,7739555.040000004
0.042,8003796.191999983
0.044,8268037.343999976
0.046,8532278.49600001
0.048,8796519.648000004
0.05,9060760.799999991
0.052,9325001.951999974
0.054,9589243.104000015
0.056,9853484.255999988
0.058,10117725.407999983
0.06,10381966.559999993
0.062,10646207.711999994
0.064,10910448.864000006
0.066,11174690.016000012
0.068,11438931.167999972
0.07,11703172.32000002
0.072,11967413.471999971
0.074,12231654.623999985
0.076,12495895.776000006
0.078,12760136.927999983
0.08,13024378.080000008
0.082,13288619.232000027
0.084,13552860.38399997
0.086,13817101.536000025
0.088,14081342.687999962
0.09,14345583.839999985
0.092,14609824.992000017
0.094,14874066.143999975
0.096,15138307.29600001
0.098,15402548.448000038
0.1,15666789.599999968
0.102,15931030.752000028
0.104,16195271.903999954
0.106,16459513.055999987
0.108,16723754.208000027
0.11,16987995.35999997
0.112,17252236.512000006
0.114,17516477.664000046
0.116,17780718.81599997
0.118,18044959.968000013
0.12,18309201.11999997
