L,runtime
0,3961853.269120007
5000,4111853.269120007
10000,4261853.269120007
15000,4411853.269120007
20000,4561853.269120007
25000,4711853.269120007
30000,4861853.269120007
35000,5011853.269120007
40000,5161853.269120007
45000,5311853.269120007
50000,5461853.269120007
55000,5611853.269120007
60000,5761853.269120007
65000,5911853.269120007
70000,6061853.269120007
75000,6211853.269120007
80000,6361853.269120007
85000,6511853.269120007
90000,6661853.269120007
95000,6811853.269120007
100000,6966217.907200007
105000,7121217.907200007
110000,7276217.907200007
115000,7431217.907200007
120000,7586217.907200007
125000,7741217.907200007
130000,7896217.907200007
135000,8051217.907200007
140000,8206217.907200007
145000,8361217.907200007
150000,8516217.907200007
155000,8671217.907200007
160000,8826217.907200007
165000,8981217.907200007
170000,9136217.907200007
175000,9291217.907200007
180000,9446217.907200007
185000,9601217.907200007
190000,9756217.907200007
195000,9911217.907200007
200000,10066217.907200007
205000,10221217.907200007
210000,10376217.907200007
215000,10531217.907200007
220000,10686217.907200007
225000,10841217.907200007
230000,10996845.901439998
235000,11156845.901439998
240000,11316845.901439998
245000,11476845.901439998
250000,11636845.901439998
255000,11796845.901439998
260000,11956845.901439998
265000,12116845.901439998
270000,12276845.901439998
275000,12436845.901439998
280000,12596845.901439998
285000,12756845.901439998
290000,12916845.901439998
295000,13076845.901439998
300000,13236845.901439998
305000,13396845.901439998
310000,13556845.901439998
315000,13716845.901439998
320000,13876845.901439998
325000,14036845.901439998
330000,14196845.901439998
335000,14356845.901439998
340000,14516845.901439998
345000,14676845.901439998
350000,14836845.901439998
355000,14996845.901439998
360000,15156845.901439998
365000,15316845.901439998
370000,15476845.901439998
375000,15636845.901439998
380000,15796845.901439998
385000,15956845.901439998
390000,16116845.901439998
395000,16276845.901439998
400000,16436845.901439998
405000,16596845.901439998
410000,16756845.901439998
415000,16916845.90144
420000,17076845.90144
425000,17236845.90144
430000,17396845.90144
435000,17556845.90144
440000,17716845.90144
445000,17876845.90144
450000,18036845.90144
455000,18196845.90144
460000,18356845.90144
465000,18516845.90144
470000,18676845.90144
475000,18836845.90144
480000,18996845.90144
485000,19156845.90144
490000,19316845.90144
495000,19476845.90144
500000,19636845.90144
505000,19796845.90144
510000,19956845.90144
515000,20116845.90144
520000,20276845.90144
525000,20436845.90144
530000,20596845.90144
535000,20756845.90144
540000,20916845.90144
545000,21076845.90144
550000,21236845.90144
555000,21396845.90144
560000,21556845.90144
565000,21716845.90144
570000,21876845.90144
575000,22036845.90144
580000,22196845.90144
585000,22356845.90144
590000,22516845.90144
595000,22676845.90144
600000,22836845.90144
605000,22996845.90144
610000,23156845.90144
615000,23316845.90144
620000,23476845.90144
625000,23636845.90144
630000,23796845.90144
635000,23956845.90144
640000,24116845.90144
645000,24276845.90144
650000,24436845.90144
655000,24596845.90144
660000,24756845.90144
665000,24916845.90144
670000,25076845.90144
675000,25236845.90144
680000,25396845.90144
685000,25556845.90144
690000,25716845.90144
695000,25876845.90144
700000,26036845.90144
705000,26196845.90144
710000,26356845.90144
715000,26516845.90144
720000,26676845.90144
725000,26836845.90144
730000,26996845.90144
735000,27156845.90144
740000,27316845.90144
745000,27476845.90144
750000,27636845.90144
755000,27796845.90144
760000,27956845.90144
765000,28116845.90144
770000,28276845.90144
775000,28436845.90144
780000,28596845.90144
785000,28756845.90144
790000,28916845.90144
795000,29076845.90144
800000,29236845.90144
805000,29396845.90144
810000,29556845.90144
815000,29716845.90144
820000,29876845.90144
825000,30036845.90144
830000,30196845.90144
835000,30356845.90144
840000,30516845.90144
845000,30676845.90144
850000,30836845.90144
855000,30996845.90144
860000,31156845.90144
865000,31316845.90144
870000,31476845.90144
875000,31636845.90144
880000,31796845.90144
885000,31956845.90144
890000,32116845.90144
895000,32276845.90144
900000,32436845.90144
905000,32596845.90144
910000,32756845.90144
915000,32916845.90144
920000,33076845.90144
925000,33236845.90144
930000,33396845.90144
935000,33556845.901439995
940000,33716845.901439995
945000,33876845.901439995
950000,34036845.901439995
955000,34196845.901439995
960000,34356845.901439995
965000,34516845.901439995
970000,34676845.901439995
975000,34836845.901439995
980000,34996845.901439995
985000,35156845.901439995
990000,35316845.901439995
995000,35476845.901439995
1000000,35636845.901439995
