L,runtime
0,3961853.2691200064
5000,4111853.2691200064
10000,4261853.269120006
15000,4411853.269120006
20000,4561853.269120006
25000,4711853.269120006
30000,4861853.269120006
35000,5011853.269120006
40000,5161853.269120006
45000,5311853.269120006
50000,5461853.269120006
55000,5611853.269120006
60000,5761853.269120006
65000,5911853.269120006
70000,6061853.269120007
75000,6211853.269120006
80000,6361853.269120006
85000,6511853.269120006
90000,6661853.269120006
95000,6811853.269120006
100000,6966217.907200006
105000,7121217.907200006
110000,7276217.907200006
115000,7431217.907200006
120000,7586217.907200006
125000,7741217.907200006
130000,7896217.907200007
135000,8051217.907200006
140000,8206217.907200006
145000,8361217.907200006
150000,8516217.907200005
155000,8671217.907200005
160000,8826217.907200003
165000,8981217.907200003
170000,9136217.907200003
175000,9291217.907200003
180000,9446217.907200001
185000,9601217.907200001
190000,9756217.907200001
195000,9911217.907200001
200000,10066217.9072
205000,10221217.9072
210000,10376217.9072
215000,10531217.9072
220000,10686217.9072
225000,10841217.907199997
230000,10996845.901439998
235000,11156845.901439998
240000,11316845.901439996
245000,11476845.901439998
250000,11636845.901439998
255000,11796845.901439996
260000,11956845.901439996
265000,12116845.901439996
270000,12276845.901439996
275000,12436845.901439995
280000,12596845.901439995
285000,12756845.901439995
290000,12916845.901439995
295000,13076845.901439995
300000,13236845.901439995
305000,13396845.901439995
310000,13556845.901439993
315000,13716845.901439995
320000,13876845.901439993
325000,14036845.901439995
330000,14196845.901439993
335000,14356845.901439993
340000,14516845.901439993
345000,14676845.901439993
350000,14836845.901439993
355000,14996845.90143999
360000,15156845.90143999
365000,15316845.90143999
370000,15476845.90143999
375000,15636845.90143999
380000,15796845.90143999
385000,15956845.90143999
390000,16116845.90143999
395000,16276845.90143999
400000,16436845.90143999
405000,16596845.90143999
410000,16756845.90143999
415000,16916845.90143999
420000,17076845.90143999
425000,17236845.90143999
430000,17396845.901439983
435000,17556845.901439983
440000,17716845.901439983
445000,17876845.901439983
450000,18036845.90143998
455000,18196845.901439976
460000,18356845.901439976
465000,18516845.901439972
470000,18676845.901439972
475000,18836845.901439972
480000,18996845.901439972
485000,19156845.901439995
490000,19316845.90143999
495000,19476845.90143999
500000,19636845.90143999
505000,19796845.90143999
510000,19956845.901439983
515000,20116845.901439983
520000,20276845.901439983
525000,20436845.901439983
530000,20596845.901439983
535000,20756845.901439976
540000,20916845.901439976
545000,21076845.901439976
550000,21236845.901439976
555000,21396845.901439976
560000,21556845.90143997
565000,21716845.90143997
570000,21876845.90143997
575000,22036845.90143997
580000,22196845.90143997
585000,22356845.90143997
590000,22516845.90143996
595000,22676845.90143996
600000,22836845.90143996
605000,22996845.90143996
610000,23156845.90143996
615000,23316845.90143996
620000,23476845.901439954
625000,23636845.901439954
630000,23796845.901439954
635000,23956845.901439954
640000,24116845.901439954
645000,24276845.901439954
650000,24436845.90143995
655000,24596845.901439946
660000,24756845.901439946
665000,24916845.90143995
670000,25076845.90143995
675000,25236845.90143995
680000,25396845.90143995
685000,25556845.90143995
690000,25716845.901439942
695000,25876845.901439942
700000,26036845.901439942
705000,26196845.901439942
710000,26356845.901439942
715000,26516845.901439942
720000,26676845.901439942
725000,26836845.901439942
730000,26996845.901439935
735000,27156845.901439935
740000,27316845.901439935
745000,27476845.901439935
750000,27636845.901439935
755000,27796845.901439935
760000,27956845.901439935
765000,28116845.901439935
770000,28276845.901439935
775000,28436845.901439928
780000,28596845.901439928
785000,28756845.901439928
790000,28916845.901439928
795000,29076845.901439928
800000,29236845.901439928
805000,29396845.901439928
810000,29556845.901439928
815000,29716845.901439928
820000,29876845.901439924
825000,30036845.90143992
830000,30196845.90143992
835000,30356845.90143992
840000,30516845.90143992
845000,30676845.90143992
850000,30836845.90143992
855000,30996845.90143992
860000,31156845.90143992
865000,31316845.90143992
870000,31476845.90143992
875000,31636845.901439916
880000,31796845.901439913
885000,31956845.901439913
890000,32116845.901439913
895000,32276845.901439913
900000,32436845.901439913
905000,32596845.901439913
910000,32756845.901439913
915000,32916845.901439913
920000,33076845.901439913
925000,33236845.901439913
930000,33396845.901439913
935000,33556845.90143991
940000,33716845.901439905
945000,33876845.901439905
950000,34036845.901439905
955000,34196845.901439905
960000,34356845.901439905
965000,34516845.901439905
970000,34676845.901439905
975000,34836845.901439905
980000,34996845.901439905
985000,35156845.901439905
990000,35316845.901439905
995000,35476845.901439905
1000000,35636845.901439905
