L,runtime
0,7109555.040000004
5000,7739555.040000004
10000,8369555.040000004
15000,8999555.039999995
20000,9629555.03999999
25000,10259555.039999982
30000,10889555.039999977
35000,11519555.039999973
40000,12149555.039999967
45000,12779555.039999964
50000,13409555.03999996
55000,14039555.039999956
60000,14669555.039999954
65000,15299555.03999995
70000,15929555.039999949
75000,16559555.039999947
80000,17189555.039999947
85000,17819555.039999943
90000,18449555.03999994
95000,19079555.03999994
100000,19709555.03999994
105000,20339555.039999936
110000,20969555.039999936
115000,21599555.039999932
120000,22229555.039999932
125000,22859555.039999932
130000,23489555.03999993
135000,24119555.03999993
140000,24749555.03999993
145000,25379555.039999925
150000,26009555.039999925
155000,26639555.039999925
160000,27269555.039999925
165000,27899555.039999925
170000,28529555.03999992
175000,29159555.03999992
180000,29789555.03999992
185000,30419555.03999992
190000,31049555.03999992
195000,31679555.039999917
200000,32309555.039999917
205000,32939555.039999917
210000,33569555.03999992
215000,34199555.03999992
220000,34829555.03999992
225000,35459555.03999992
230000,36089555.03999992
235000,36719555.03999992
240000,37349555.03999992
245000,37979555.03999992
250000,38609555.03999992
255000,39239555.03999992
260000,39869555.03999992
265000,40499555.03999992
270000,41129555.03999991
275000,41759555.03999991
280000,42389555.03999991
285000,43019555.03999991
290000,43649555.03999991
295000,44279555.03999991
300000,44909555.03999991
305000,45539555.03999991
310000,46169555.03999991
315000,46799555.03999991
320000,47429555.03999991
325000,48059555.03999991
330000,48689555.03999991
335000,49319555.03999991
340000,49949555.03999991
345000,50579555.03999991
350000,51209555.03999991
355000,51839555.03999991
360000,52469555.03999991
365000,53099555.03999991
370000,53729555.03999991
375000,54359555.03999991
380000,54989555.03999991
385000,55619555.03999991
390000,56249555.03999991
395000,56879555.03999991
400000,57509555.03999991
405000,58139555.03999991
410000,58769555.03999991
415000,59399555.0399999
420000,60029555.0399999
425000,60659555.0399999
430000,61289555.0399999
435000,61919555.0399999
440000,62549555.0399999
445000,63179555.0399999
450000,63809555.0399999
455000,64439555.0399999
460000,65069555.0399999
465000,65699555.0399999
470000,66329555.0399999
475000,66959555.0399999
480000,67589555.0399999
485000,68219555.03999992
490000,68849555.03999993
495000,69479555.03999993
500000,70109555.03999995
505000,70739555.03999995
510000,71369555.03999996
515000,71999555.03999996
520000,72629555.03999998
525000,73259555.03999998
530000,73889555.03999999
535000,74519555.03999999
540000,75149555.04
545000,75779555.04
550000,76409555.04000002
555000,77039555.04000002
560000,77669555.04000004
565000,78299555.04000004
570000,78929555.04000004
575000,79559555.04000005
580000,80189555.04000005
585000,80819555.04000007
590000,81449555.04000007
595000,82079555.04000007
600000,82709555.04000008
605000,83339555.04000008
610000,83969555.0400001
615000,84599555.0400001
620000,85229555.0400001
625000,85859555.04000011
630000,86489555.04000011
635000,87119555.04000011
640000,87749555.04000013
645000,88379555.04000013
650000,89009555.04000013
655000,89639555.04000014
660000,90269555.04000014
665000,90899555.04000014
670000,91529555.04000016
675000,92159555.04000016
680000,92789555.04000016
685000,93419555.04000017
690000,94049555.04000017
695000,94679555.04000017
700000,95309555.04000019
705000,95939555.04000019
710000,96569555.04000019
715000,97199555.04000019
720000,97829555.0400002
725000,98459555.0400002
730000,99089555.0400002
735000,99719555.04000022
740000,100349555.04000022
745000,100979555.04000022
750000,101609555.04000022
755000,102239555.04000023
760000,102869555.04000023
765000,103499555.04000023
770000,104129555.04000023
775000,104759555.04000024
780000,105389555.04000024
785000,106019555.04000024
790000,106649555.04000024
795000,107279555.04000026
800000,107909555.04000026
805000,108539555.04000026
810000,109169555.04000026
815000,109799555.04000026
820000,110429555.04000027
825000,111059555.04000027
830000,111689555.04000027
835000,112319555.04000027
840000,112949555.04000029
845000,113579555.04000029
850000,114209555.04000029
855000,114839555.04000029
860000,115469555.04000029
865000,116099555.0400003
870000,116729555.0400003
875000,117359555.0400003
880000,117989555.0400003
885000,118619555.0400003
890000,119249555.0400003
895000,119879555.0400003
900000,120509555.0400003
905000,121139555.04000032
910000,121769555.04000032
915000,122399555.04000032
920000,123029555.04000032
925000,123659555.04000032
930000,124289555.04000032
935000,124919555.04000033
940000,125549555.04000033
945000,126179555.04000033
950000,126809555.04000033
955000,127439555.04000033
960000,128069555.04000033
965000,128699555.04000035
970000,129329555.04000035
975000,129959555.04000035
980000,130589555.04000035
985000,131219555.04000035
990000,131849555.04000035
995000,132479555.04000036
1000000,133109555.04000036
