G,runtime
0.0,2466529.0176000046
0.002,2533637.881600003
0.004,2601449.291520004
0.006,2670655.3075200026
0.008,2739861.3235200047
0.01,2811334.1014400027
0.012,3183045.7142400024
0.014,3704776.1279999777
0.016,4233258.432000003
0.018,4761740.735999972
0.02,5290223.03999998
0.022,5818705.344
0.024,6347187.648000005
0.026,6875669.951999965
0.028,7404152.255999955
0.03,7932634.560000019
0.032,8461116.864000006
0.034,8989599.16799998
0.036,9518081.471999943
0.038,10046563.77600003
0.04,10575046.07999996
0.042,11103528.383999962
0.044,11632010.688
0.046,12160492.991999965
0.048,12688975.29600001
0.05,13217457.600000046
0.052,13745939.90399993
0.054,14274422.208000045
0.056,14802904.51199991
0.058,15331386.815999962
0.06,15859869.120000038
0.062,16388351.423999935
0.064,16916833.72800001
0.066,17445316.03200007
0.068,17973798.33599996
0.07,18502280.640000053
0.072,19030762.943999887
0.074,19559245.24800003
0.076,20087727.55200006
0.078,20616209.85599992
0.08,21144692.15999992
0.082,21673174.46400011
0.084,22201656.767999925
0.086,22730139.071999937
0.088,23258621.376
0.09,23787103.67999997
0.092,24315585.98399993
0.094,24844068.288000062
0.096,25372550.59200002
0.098,25901032.89599996
0.1,26429515.200000092
0.102,26957997.504000068
0.104,27486479.80799986
0.106,28014962.11200016
0.108,28543444.41600009
0.11,29071926.719999906
0.112,29600409.02399982
0.114,30128891.32800014
0.116,30657373.631999925
0.118,31185855.935999855
0.12,31714338.240000077
