G,runtime
0.0,5379533
0.002,5951392
0.004,5609987
0.006,5888547
0.008,5655117
0.01,5754874
0.012,5417008
0.014,5455393
0.016,6845409
0.018,6871851
0.02,7022616
0.022,7512812
0.024,8063823
0.026,8223537
0.028,8738408
0.03,9144641
0.032,9483353
0.034,9797072
0.036,10603851
0.038,10968989
0.04,11495256
0.042,12223324
0.044,12425462
0.046,13127047
0.048,13659547
0.05,13994038
0.052,14928717
0.054,15367172
0.056,16031626
0.058,16138909
0.06,17247588
0.062,17861998
0.064,18452433
0.066,19000024
0.068,19063995
0.07,19423734
0.072,20490234
0.074,20193276
0.076,21127004
0.078,21876445
0.08,22492638
0.082,22698532
0.084,23610293
0.086,24430075
0.088,24773335
0.09,25328807
0.092,25662229
0.094,26112173
0.096,27083089
0.098,27031526
0.1,27617797
0.102,29448306
0.104,29065664
0.106,29919375
0.108,30668298
0.11,31602427
0.112,31253538
0.114,31549713
0.116,32372653
0.118,34113626
0.12,33661179
