G,runtime
0.0,2571912.0
0.002,2836153.1519999932
0.004,3100394.304
0.006,3364635.4559999895
0.008,3628876.6080000005
0.01,3893117.7599999877
0.012,4157358.912000001
0.014,4421600.063999989
0.016,4685841.216000001
0.018,4950082.367999986
0.02,5214323.51999999
0.022,5478564.671999998
0.024,5742805.824000002
0.026,6007046.975999984
0.028,6271288.127999984
0.03,6535529.280000004
0.032,6799770.432000003
0.034,7064011.583999984
0.036,7328252.735999979
0.038,7592493.888000009
0.04,7856735.040000004
0.042,8120976.191999983
0.044,8385217.343999975
0.046,8649458.49600001
0.048,8913699.648000004
0.05,9177940.799999993
0.052,9442181.951999974
0.054,9706423.104000015
0.056,9970664.255999988
0.058,10234905.407999983
0.06,10499146.559999995
0.062,10763387.711999994
0.064,11027628.864000006
0.066,11291870.016000014
0.068,11556111.167999972
0.07,11820352.32000002
0.072,12084593.471999971
0.074,12348834.623999985
0.076,12613075.776000008
0.078,12877316.927999983
0.08,13141558.080000008
0.082,13405799.232000027
0.084,13670040.383999968
0.086,13934281.536000025
0.088,14198522.687999962
0.09,14462763.839999985
0.092,14727004.992000017
0.094,14991246.143999975
0.096,15255487.29600001
0.098,15519728.44800004
0.1,15783969.599999968
0.102,16048210.752000028
0.104,16312451.903999954
0.106,16576693.055999987
0.108,16840934.208000027
0.11,17105175.35999997
0.112,17369416.512000002
0.114,17633657.664000046
0.116,17897898.81599997
0.118,18162139.968000013
0.12,18426381.11999997
