nodeId,channelId,prevRank,myRank,nextRank,pid,commId
007089,0,29,30,31,88192,0x23f2f77a2aaf11bc
007095,0,38,39,40,109186,0x23f2f77a2aaf11bc
007646,0,60,61,62,151956,0x23f2f77a2aaf11bc
007040,0,0,1,2,260912,0x23f2f77a2aaf11bc
007114,0,50,51,52,195801,0x23f2f77a2aaf11bc
007644,0,58,59,60,241741,0x23f2f77a2aaf11bc
007463,0,53,54,55,62791,0x23f2f77a2aaf11bc
007045,0,10,11,12,140263,0x23f2f77a2aaf11bc
007082,0,22,23,24,66012,0x23f2f77a2aaf11bc
007040,0,1,2,3,260905,0x23f2f77a2aaf11bc
007114,0,49,50,51,195764,0x23f2f77a2aaf11bc
007041,0,3,4,5,151615,0x23f2f77a2aaf11bc
007097,0,40,41,42,288758,0x23f2f77a2aaf11bc
007041,0,5,6,7,151627,0x23f2f77a2aaf11bc
007074,0,15,16,17,32164,0x23f2f77a2aaf11bc
007644,0,56,57,58,241739,0x23f2f77a2aaf11bc
007056,0,13,14,15,194453,0x23f2f77a2aaf11bc
007082,0,19,20,21,66010,0x23f2f77a2aaf11bc
007097,0,41,42,43,288762,0x23f2f77a2aaf11bc
007074,0,18,19,20,32150,0x23f2f77a2aaf11bc
007646,0,62,63,0,151953,0x23f2f77a2aaf11bc
007045,0,9,10,11,140268,0x23f2f77a2aaf11bc
007095,0,37,38,39,109185,0x23f2f77a2aaf11bc
007056,0,11,12,13,194477,0x23f2f77a2aaf11bc
007089,0,27,28,29,88188,0x23f2f77a2aaf11bc
007045,0,7,8,9,140265,0x23f2f77a2aaf11bc
007090,0,33,34,35,119990,0x23f2f77a2aaf11bc
007646,0,61,62,63,151955,0x23f2f77a2aaf11bc
007095,0,35,36,37,109183,0x23f2f77a2aaf11bc
007040,0,63,0,1,260911,0x23f2f77a2aaf11bc
007112,0,45,46,47,163987,0x23f2f77a2aaf11bc
007097,0,42,43,44,288760,0x23f2f77a2aaf11bc
007463,0,51,52,53,62815,0x23f2f77a2aaf11bc
007646,0,59,60,61,151951,0x23f2f77a2aaf11bc
007074,0,17,18,19,32168,0x23f2f77a2aaf11bc
007083,0,25,26,27,235672,0x23f2f77a2aaf11bc
007112,0,46,47,48,163989,0x23f2f77a2aaf11bc
007114,0,47,48,49,195777,0x23f2f77a2aaf11bc
007056,0,12,13,14,194454,0x23f2f77a2aaf11bc
007463,0,54,55,56,62787,0x23f2f77a2aaf11bc
007074,0,16,17,18,32152,0x23f2f77a2aaf11bc
007463,0,52,53,54,62813,0x23f2f77a2aaf11bc
007114,0,48,49,50,195799,0x23f2f77a2aaf11bc
007095,0,36,37,38,109178,0x23f2f77a2aaf11bc
007644,0,57,58,59,241737,0x23f2f77a2aaf11bc
007041,0,6,7,8,151613,0x23f2f77a2aaf11bc
007090,0,32,33,34,120034,0x23f2f77a2aaf11bc
007045,0,8,9,10,140260,0x23f2f77a2aaf11bc
007083,0,24,25,26,235670,0x23f2f77a2aaf11bc
007041,0,4,5,6,151631,0x23f2f77a2aaf11bc
007083,0,26,27,28,235675,0x23f2f77a2aaf11bc
007089,0,28,29,30,88190,0x23f2f77a2aaf11bc
007097,0,39,40,41,288756,0x23f2f77a2aaf11bc
007083,0,23,24,25,235674,0x23f2f77a2aaf11bc
007090,0,31,32,33,120046,0x23f2f77a2aaf11bc
007082,0,20,21,22,66008,0x23f2f77a2aaf11bc
007112,0,44,45,46,163992,0x23f2f77a2aaf11bc
007112,0,43,44,45,163991,0x23f2f77a2aaf11bc
007040,0,2,3,4,260910,0x23f2f77a2aaf11bc
007090,0,34,35,36,120025,0x23f2f77a2aaf11bc
007644,0,55,56,57,241742,0x23f2f77a2aaf11bc
007089,0,30,31,32,88186,0x23f2f77a2aaf11bc
007082,0,21,22,23,66014,0x23f2f77a2aaf11bc
007056,0,14,15,16,194479,0x23f2f77a2aaf11bc
