L,runtime
0,7226735.040000004
5000,7856735.040000004
10000,8486735.040000003
15000,9116735.039999995
20000,9746735.039999988
25000,10376735.039999982
30000,11006735.039999977
35000,11636735.039999971
40000,12266735.039999967
45000,12896735.039999964
50000,13526735.03999996
55000,14156735.039999956
60000,14786735.039999953
65000,15416735.03999995
70000,16046735.039999949
75000,16676735.039999945
80000,17306735.039999943
85000,17936735.039999943
90000,18566735.03999994
95000,19196735.03999994
100000,19826735.039999936
105000,20456735.039999936
110000,21086735.039999936
115000,21716735.039999932
120000,22346735.039999932
125000,22976735.039999932
130000,23606735.03999993
135000,24236735.03999993
140000,24866735.03999993
145000,25496735.039999925
150000,26126735.039999925
155000,26756735.039999925
160000,27386735.039999925
165000,28016735.03999992
170000,28646735.03999992
175000,29276735.03999992
180000,29906735.03999992
185000,30536735.03999992
190000,31166735.03999992
195000,31796735.039999917
200000,32426735.039999917
205000,33056735.039999917
210000,33686735.03999992
215000,34316735.03999992
220000,34946735.03999992
225000,35576735.03999992
230000,36206735.03999992
235000,36836735.03999992
240000,37466735.03999992
245000,38096735.03999992
250000,38726735.03999992
255000,39356735.03999992
260000,39986735.03999992
265000,40616735.03999992
270000,41246735.03999991
275000,41876735.03999991
280000,42506735.03999991
285000,43136735.03999991
290000,43766735.03999991
295000,44396735.03999991
300000,45026735.03999991
305000,45656735.03999991
310000,46286735.03999991
315000,46916735.03999991
320000,47546735.03999991
325000,48176735.03999991
330000,48806735.03999991
335000,49436735.03999991
340000,50066735.03999991
345000,50696735.03999991
350000,51326735.03999991
355000,51956735.03999991
360000,52586735.03999991
365000,53216735.03999991
370000,53846735.03999991
375000,54476735.03999991
380000,55106735.03999991
385000,55736735.03999991
390000,56366735.03999991
395000,56996735.03999991
400000,57626735.03999991
405000,58256735.03999991
410000,58886735.03999991
415000,59516735.0399999
420000,60146735.0399999
425000,60776735.0399999
430000,61406735.0399999
435000,62036735.0399999
440000,62666735.0399999
445000,63296735.0399999
450000,63926735.0399999
455000,64556735.0399999
460000,65186735.0399999
465000,65816735.0399999
470000,66446735.0399999
475000,67076735.0399999
480000,67706735.03999992
485000,68336735.03999992
490000,68966735.03999993
495000,69596735.03999993
500000,70226735.03999995
505000,70856735.03999995
510000,71486735.03999996
515000,72116735.03999996
520000,72746735.03999998
525000,73376735.03999998
530000,74006735.03999999
535000,74636735.03999999
540000,75266735.04
545000,75896735.04
550000,76526735.04000002
555000,77156735.04000002
560000,77786735.04000004
565000,78416735.04000004
570000,79046735.04000005
575000,79676735.04000005
580000,80306735.04000005
585000,80936735.04000007
590000,81566735.04000007
595000,82196735.04000008
600000,82826735.04000008
605000,83456735.04000008
610000,84086735.0400001
615000,84716735.0400001
620000,85346735.0400001
625000,85976735.04000011
630000,86606735.04000011
635000,87236735.04000013
640000,87866735.04000013
645000,88496735.04000013
650000,89126735.04000014
655000,89756735.04000014
660000,90386735.04000014
665000,91016735.04000016
670000,91646735.04000016
675000,92276735.04000016
680000,92906735.04000016
685000,93536735.04000017
690000,94166735.04000017
695000,94796735.04000017
700000,95426735.04000019
705000,96056735.04000019
710000,96686735.04000019
715000,97316735.0400002
720000,97946735.0400002
725000,98576735.0400002
730000,99206735.0400002
735000,99836735.04000022
740000,100466735.04000022
745000,101096735.04000022
750000,101726735.04000022
755000,102356735.04000023
760000,102986735.04000023
765000,103616735.04000023
770000,104246735.04000023
775000,104876735.04000024
780000,105506735.04000024
785000,106136735.04000024
790000,106766735.04000024
795000,107396735.04000026
800000,108026735.04000026
805000,108656735.04000026
810000,109286735.04000026
815000,109916735.04000027
820000,110546735.04000027
825000,111176735.04000027
830000,111806735.04000027
835000,112436735.04000027
840000,113066735.04000029
845000,113696735.04000029
850000,114326735.04000029
855000,114956735.04000029
860000,115586735.04000029
865000,116216735.0400003
870000,116846735.0400003
875000,117476735.0400003
880000,118106735.0400003
885000,118736735.0400003
890000,119366735.0400003
895000,119996735.0400003
900000,120626735.0400003
905000,121256735.04000032
910000,121886735.04000032
915000,122516735.04000032
920000,123146735.04000032
925000,123776735.04000032
930000,124406735.04000032
935000,125036735.04000033
940000,125666735.04000033
945000,126296735.04000033
950000,126926735.04000033
955000,127556735.04000033
960000,128186735.04000035
965000,128816735.04000035
970000,129446735.04000035
975000,130076735.04000035
980000,130706735.04000035
985000,131336735.04000035
990000,131966735.04000035
995000,132596735.04000036
1000000,133226735.04000036
