G,runtime
0.0,76578140.63872033
0.002,77338358.23872048
0.004,78117895.85152055
0.006,80465601.34528133
0.008,84699322.01856354
0.01,88972844.72352302
0.012,94250349.85760249
0.014,100124877.77216038
0.016,106204348.14336386
0.018,112339834.29824251
0.02,118647526.49407735
0.022,125109431.31584455
0.024,131580193.81184304
0.026,138082429.76799798
0.028,144653855.5600088
0.03,151225281.35200053
0.032,157796707.1439984
0.034,164368132.936002
0.036,170939558.72800323
0.038,177510984.5200057
0.04,184082410.31199884
0.042,190653836.10400686
0.044,197225261.89600393
0.046,203796687.68800303
0.048,210368113.48000592
0.05,216939539.27200308
0.052,223510965.06400436
0.054,230082390.85600013
0.056,236653816.64801544
0.058,243225242.43999594
0.06,249796668.23199987
0.062,256368094.02401814
0.064,262940756.6799824
0.066,269514279.62400895
0.068,276087802.5680134
0.07,282661397.8319873
0.072,289237017.92800504
0.074,295812638.02401835
0.076,302426895.204478
0.078,309104023.52447224
0.08,315782404.0684879
0.082,322460784.61246765
0.084,329139869.5404863
0.086,335820699.62050533
0.088,342501800.29248285
0.09,349184899.4284669
0.092,355867998.5644845
0.094,362551097.7004729
0.096,369234196.8364898
0.098,375917932.64449847
0.1,382605179.10848516
0.102,389293995.87646943
0.104,395984706.02048516
0.106,402675669.4764657
0.108,409366632.93248135
0.11,416058032.2285
0.112,422749519.9725018
0.114,429441007.7164698
0.116,436132495.460476
0.118,442823983.2044645
0.12,449515470.9484783
