G,runtime
0.0,124957503
0.002,127649108
0.004,128686016
0.006,126903001
0.008,126542371
0.01,126864752
0.012,124975662
0.014,125952190
0.016,136026694
0.018,138461194
0.02,143064198
0.022,145951549
0.024,151372221
0.026,155201570
0.028,160832108
0.03,165431343
0.032,172435094
0.034,179528956
0.036,182646148
0.038,189640317
0.04,194104513
0.042,201729431
0.044,207022769
0.046,215893458
0.048,221068731
0.05,227286027
0.052,233235252
0.054,238080200
0.056,245639050
0.058,252890349
0.06,258958649
0.062,266864755
0.064,273397515
0.066,278579734
0.068,285558610
0.07,292618706
0.072,298957164
0.074,304516991
0.076,310578087
0.078,318252537
0.08,327913477
0.082,331500838
0.084,339827556
0.086,346017504
0.088,351283783
0.09,360817073
0.092,364768022
0.094,372820212
0.096,379758883
0.098,389011194
0.1,394183199
0.102,399028961
0.104,406581966
0.106,412383144
0.108,418755987
0.11,426792078
0.112,435935208
0.114,441653205
0.116,446297446
0.118,455792666
0.12,462841905
