G,runtime
0.0,76810636.0
0.002,79802747.61600025
0.004,82794859.23200057
0.006,85789320.03199983
0.008,88785062.52799901
0.01,91802519.40000139
0.012,94848632.68000063
0.014,97894745.95999955
0.016,100940859.24000233
0.018,103987525.70399955
0.02,107035378.11999816
0.022,110089823.4480016
0.024,113150551.12800103
0.026,116211344.47200055
0.028,119272137.81600352
0.03,122348170.99999957
0.032,125428362.99999554
0.034,128509101.68800257
0.036,131590866.5520018
0.038,134672631.4159977
0.04,137754396.280004
0.042,140836161.14400125
0.044,143917926.00799713
0.046,146999690.87200314
0.048,150081455.73600185
0.05,153163220.59999996
0.052,156244985.46400306
0.054,159326750.3280004
0.056,162408515.19200122
0.058,165490280.05600095
0.06,168572044.92000166
0.062,171653809.78400367
0.064,174735574.64799395
0.066,177817414.520002
0.068,180900227.96000323
0.07,183983041.39999402
0.072,187065854.84000322
0.074,190148668.28000522
0.076,193231481.71999514
0.078,196314295.16000172
0.08,199397108.60000643
0.082,202479922.03999364
0.084,205562735.48000118
0.086,208645548.92000675
0.088,211728362.3599931
0.09,214811175.8000051
0.092,217893989.24000525
0.094,220976802.67999676
0.096,224059616.12000322
0.098,227142429.56000435
0.1,230225242.9999971
0.102,233308056.4400006
0.104,236390869.8800092
0.106,239473683.31999427
0.108,242556496.76000032
0.11,245639310.2000094
0.112,248722123.6399936
0.114,251804937.0800052
0.116,254888752.63200724
0.118,257973138.93599826
0.12,261057525.24000484
