L,runtime
0,183627410.31199914
5000,184082410.31199884
10000,184537410.31199855
15000,184992410.3119985
20000,185450704.0719986
25000,185918149.5519987
30000,186404988.23199874
35000,186905063.75199875
40000,187413678.79199874
45000,188046042.7024008
50000,189011042.7024006
55000,190041743.1702411
60000,191101510.2102409
65000,192161510.2102407
70000,193229395.3302405
75000,194304395.33024034
80000,195379395.3302402
85000,196454395.33024004
90000,197529395.33023986
95000,198604395.3302397
100000,199713445.24384013
105000,200938445.24383992
110000,202164715.20383972
115000,203394715.20383954
120000,204624715.20383933
125000,205854715.20383915
130000,207084715.20383894
135000,208314715.20383897
140000,209544715.20383903
145000,210774715.20383918
150000,212004715.20383927
155000,213234715.20383936
160000,214474450.91615942
165000,215718176.8703996
170000,216968176.87039968
175000,218218176.87039974
180000,219468176.87039974
185000,220718176.87039974
190000,221968176.87039974
195000,223220271.8531199
200000,224485271.85311994
205000,225764538.8070401
210000,227069538.80704015
215000,228374538.8070402
220000,229764033.5478409
225000,231457233.2540817
230000,233242233.25408146
235000,235027233.25408122
240000,236812233.254081
245000,238597233.25408077
250000,240382233.25408053
255000,242167233.25408033
260000,243952233.2540801
265000,245737233.25407985
270000,247522233.25407964
275000,249307233.2540794
280000,251092233.25407916
285000,252877233.25407892
290000,254662233.25407872
295000,256447233.25407848
300000,258232233.25407824
305000,260017233.254078
310000,261802233.2540778
315000,263587233.25407755
320000,265372233.25407732
325000,267157233.25407708
330000,268942233.2540769
335000,270727233.25407666
340000,272512233.25407654
345000,274297233.2540766
350000,276082233.2540766
355000,277867233.2540766
360000,279652233.25407666
365000,281437233.2540767
370000,283222233.2540768
375000,285011971.16831696
380000,286801971.1683171
385000,288591971.16831714
390000,290381971.16831726
395000,292171971.1683174
400000,293961971.1683176
405000,295751971.16831774
410000,297541971.16831785
415000,299331971.16831803
420000,301121971.1683182
425000,302911971.16831833
430000,304701971.16831845
435000,306491971.1683186
440000,308281971.16831875
445000,310071971.16831887
450000,311861971.16831905
455000,313651971.16831917
460000,315441971.1683193
465000,317231971.16831946
470000,319021971.16831964
475000,320811971.1683197
480000,322601971.1683198
485000,324391971.16831994
490000,326181971.1683201
495000,327971971.16832024
500000,329761971.1683203
505000,331551971.16832036
510000,333341971.1683204
515000,335131971.1683205
520000,336941958.6995213
525000,338756958.6995213
530000,340571958.69952136
535000,342386958.6995215
540000,344203023.3737614
545000,346023023.3737615
550000,347843023.37376153
555000,349764128.6160056
560000,352003963.7296044
565000,354278963.7296046
570000,356583978.7177659
575000,358903978.71776617
580000,361223978.7177663
585000,363543978.7177663
590000,365863978.7177664
595000,368183978.7177664
600000,370503978.7177664
605000,372823978.7177664
610000,375143978.71776646
615000,377463978.7177664
620000,379783978.7177664
625000,382103978.71776646
630000,384423978.71776646
635000,386743978.71776646
640000,389063978.7177664
645000,391383978.71776646
650000,393703978.71776634
655000,396023978.71776634
660000,398343978.71776634
665000,400663978.71776634
670000,402983978.7177663
675000,405303978.7177663
680000,407623978.7177663
685000,409943978.7177663
690000,412263978.7177666
695000,414583978.71776664
700000,416903978.7177667
705000,419223978.7177668
710000,421543978.7177669
715000,423863978.71776694
720000,426183978.71776706
725000,428503978.71776706
730000,430823978.7177672
735000,433143978.7177672
740000,435463978.71776694
745000,437783978.71776694
750000,440103978.7177669
755000,442423978.7177668
760000,444743978.71776676
765000,447063978.7177667
770000,449383978.7177667
775000,451703978.71776664
780000,454023978.7177666
785000,456343978.7177666
790000,458663978.7177666
795000,460983978.7177666
800000,463303978.7177665
805000,465623978.7177666
810000,467943978.7177666
815000,470263978.7177665
820000,472583978.7177665
825000,474903978.7177666
830000,477223978.7177665
835000,479543978.7177666
840000,481863978.7177666
845000,484183978.7177665
850000,486503978.71776664
855000,488823978.71776664
860000,491143978.71776664
865000,493463978.7177667
870000,495783978.71776676
875000,498103978.71776676
880000,500423978.7177669
885000,502743978.71776694
890000,505063978.71776694
895000,507383978.71776694
900000,509703978.717767
905000,512023978.717767
910000,514343978.71776706
915000,516663978.71776724
920000,518983978.71776724
925000,521303978.7177673
930000,523623978.71776736
935000,525943978.7177674
940000,528263978.7177675
945000,530583978.71776754
950000,532903978.7177676
955000,535223978.71776766
960000,537543978.7177677
965000,539863978.7177677
970000,542183978.7177677
975000,544503978.7177678
980000,546823978.7177678
985000,549143978.717768
990000,551463978.717768
995000,553783978.717768
1000000,556103978.7177681
