L,runtime
0,128809396.28000472
5000,137754396.280004
10000,146699396.28000286
15000,155644396.28000158
20000,164589396.28000098
25000,173534396.27999985
30000,182479396.27999902
35000,191424396.2799987
40000,200369396.27999735
45000,209314396.2799968
50000,218259396.2799964
55000,227204396.2799975
60000,236149396.27999678
65000,245094396.27999645
70000,254039396.27999607
75000,262984396.27999568
80000,271929396.2799953
85000,280874396.27999556
90000,289819396.279997
95000,298764396.2799982
100000,307709396.27999943
105000,316654396.28000057
110000,325599396.28000134
115000,334544396.2800023
120000,343489396.2800033
125000,352434396.2800043
130000,361379396.28000504
135000,370324396.2800059
140000,379269396.28000593
145000,388214396.28000575
150000,397159396.28000575
155000,406104396.2800057
160000,415049396.28000575
165000,423994396.28000647
170000,432939396.28000706
175000,441884396.2800067
180000,450829396.2800058
185000,459774396.28000504
190000,468719396.2800049
195000,477664396.2800048
200000,486609396.28000474
205000,495554396.28000516
210000,504499396.28000563
215000,513448482.04000604
220000,522398482.0400064
225000,531348482.0400068
230000,540298482.0400072
235000,549248482.0400077
240000,558198482.0400076
245000,567148482.0400062
250000,576098482.0400048
255000,585048482.0400035
260000,593998482.0400023
265000,602948482.0400012
270000,611898482.0400001
275000,620848482.0399989
280000,629798482.0399978
285000,638748482.0399967
290000,647698482.0399958
295000,656648482.0399952
300000,665598482.0399941
305000,674548482.039993
310000,683498482.0399921
315000,692448482.0399911
320000,701398482.0399903
325000,710348482.0399894
330000,719298482.0399888
335000,728248482.0399878
340000,737198482.039987
345000,746148482.0399863
350000,755098482.0399864
355000,764048482.0399866
360000,772998482.0399868
365000,781948482.039987
370000,790898482.0399871
375000,799848482.0399871
380000,808798482.0399871
385000,817748482.0399871
390000,826698482.039987
395000,835648482.039986
400000,844598482.0399853
405000,853548482.0399846
410000,862498482.0399839
415000,871448482.0399834
420000,880398482.0399834
425000,889348482.0399835
430000,898298482.0399836
435000,907248482.0399837
440000,916198482.0399839
445000,925148482.039984
450000,934098482.039984
455000,943048482.0399841
460000,951998482.0399842
465000,960948482.0399843
470000,969898482.0399845
475000,978848482.0399846
480000,987798482.0399842
485000,996748482.0399837
490000,1005698482.0399834
495000,1014648482.0399829
500000,1023598482.0399826
505000,1032548482.0399822
510000,1041498482.0399818
515000,1050448482.0399815
520000,1059398482.039981
525000,1068348482.0399806
530000,1077298482.0399804
535000,1086248482.03998
540000,1095198482.0399797
545000,1104148482.0399792
550000,1113098482.0399787
555000,1122048482.0399785
560000,1130998482.0399785
565000,1139948482.039978
570000,1148898482.0399778
575000,1157848482.0399776
580000,1166798482.039977
585000,1175748482.0399768
590000,1184698482.0399766
595000,1193648482.0399764
600000,1202598482.0399761
605000,1211548482.0399756
610000,1220498482.0399754
615000,1229448482.0399752
620000,1238398482.039975
625000,1247348482.0399747
630000,1256298482.0399742
635000,1265248482.0399742
640000,1274198482.0399737
645000,1283148482.0399735
650000,1292098482.0399733
655000,1301048482.039973
660000,1309998482.0399728
665000,1318948482.0399725
670000,1327898482.0399725
675000,1336848482.039972
680000,1345798482.0399718
685000,1354748482.0399716
690000,1363698482.0399714
695000,1372648482.039971
700000,1381598482.0399709
705000,1390548482.0399706
710000,1399498482.0399704
715000,1408448482.0399702
720000,1417398482.03997
725000,1426348482.0399697
730000,1435298482.0399694
735000,1444248482.0399692
740000,1453198482.039969
745000,1462148482.0399687
750000,1471098482.0399685
755000,1480048482.0399683
760000,1488998482.039968
765000,1497948482.0399678
770000,1506898482.0399678
775000,1515848482.0399675
780000,1524798482.0399673
785000,1533748482.039967
790000,1542698482.0399668
795000,1551648482.0399668
800000,1560598482.0399666
805000,1569548482.0399666
810000,1578498482.0399663
815000,1587448482.039966
820000,1596398482.039966
825000,1605348482.0399659
830000,1614298482.0399659
835000,1623248482.039966
840000,1632198482.039966
845000,1641148482.039966
850000,1650098482.0399663
855000,1659048482.0399663
860000,1667998482.0399663
865000,1676948482.0399663
870000,1685898482.0399666
875000,1694848482.0399666
880000,1703798482.0399666
885000,1712748482.0399666
890000,1721698482.0399663
895000,1730648482.0399663
900000,1739598482.039966
905000,1748548482.039966
910000,1757498482.0399659
915000,1766448482.0399659
920000,1775398482.0399659
925000,1784348482.0399656
930000,1793298482.0399656
935000,1802248482.0399654
940000,1811198482.0399654
945000,1820148482.0399652
950000,1829098482.0399652
955000,1838048482.039965
960000,1846998482.039965
965000,1855948482.039965
970000,1864898482.0399647
975000,1873848482.0399647
980000,1882798482.0399644
985000,1891748482.0399644
990000,1900698482.0399642
995000,1909648482.0399642
1000000,1918598482.0399642
