L,runtime
0,841780198.6
5000,842760198.6
10000,843740198.6
15000,844720198.6
20000,845700198.6
25000,846680198.6
30000,847660198.6
35000,848640198.6
40000,849625962.91616
45000,850765425.4236798
50000,852075425.4236798
55000,853442687.23488
60000,855062687.23488
65000,856682687.23488
70000,858302687.23488
75000,859922687.23488
80000,861542687.23488
85000,863162687.23488
90000,864782687.23488
95000,866406445.39104
100000,868350372.10848
105000,870331263.0960021
110000,872601263.0960021
115000,874871263.0960021
120000,877141263.0960021
125000,879411263.0960021
130000,881681263.0960021
135000,884188783.7072009
140000,886768783.7072009
145000,889356313.8268809
150000,891946313.8268809
155000,894536313.8268809
160000,897129444.2192008
165000,899729444.2192008
170000,902332166.4534409
175000,904942166.4534409
180000,907593202.1884809
185000,910523202.1884809
190000,913453202.1884809
195000,916383202.1884809
200000,919313202.1884809
205000,922388247.3648
210000,925638247.3648
215000,928888247.3648
220000,932138247.3648
225000,935462074.1872
230000,939022074.1872
235000,942582074.1872
240000,946142074.1872
245000,949702074.1872
250000,953262074.1872
255000,956822074.1872
260000,960382074.1872
265000,963942074.1872
270000,967502074.1872
275000,971062074.1872
280000,974622074.1872
285000,978182074.1872
290000,981742074.1872
295000,985302074.1872
300000,988862074.1872
305000,992423030.9103999
310000,995993030.9103999
315000,999563030.9103999
320000,1003133030.9103999
325000,1006703030.9103999
330000,1010273030.9103999
335000,1013843030.9103999
340000,1017413030.9103999
345000,1020983030.9103999
350000,1024553115.6207999
355000,1028135502.6911999
360000,1031822950.0844799
365000,1035732950.0844799
370000,1039642950.0844799
375000,1043552950.0844799
380000,1047462950.0844799
385000,1051372950.0844799
390000,1055282950.0844799
395000,1059192950.0844799
400000,1063266553.4995191
405000,1067496553.4995191
410000,1071726553.4995191
415000,1075956553.499519
420000,1080186553.499519
425000,1084416553.499519
430000,1088646553.499519
435000,1092876553.499519
440000,1097106553.499519
445000,1101336553.499519
450000,1105566553.499519
455000,1109796553.499519
460000,1114026553.499519
465000,1118256553.499519
470000,1122486553.499519
475000,1126716553.499519
480000,1130946553.499519
485000,1135176553.499519
490000,1139406553.499519
495000,1143698501.1219194
500000,1148238501.1219194
505000,1152778501.1219194
510000,1157318501.1219194
515000,1161858501.1219194
520000,1166398501.1219194
525000,1170938501.1219194
530000,1175481758.3212795
535000,1180031758.3212795
540000,1184581758.3212795
545000,1189131758.3212795
550000,1193681758.3212795
555000,1198231758.3212795
560000,1202781758.3212795
565000,1207331758.3212795
570000,1211881758.3212795
575000,1216431758.3212795
580000,1220981758.3212795
585000,1225531758.3212795
590000,1230081758.3212795
595000,1234631758.3212795
600000,1239181758.3212795
605000,1243731758.3212795
610000,1248281979.8287995
615000,1252841979.8287995
620000,1257401979.8287995
625000,1261961979.8287995
630000,1266521979.8287995
635000,1271081979.8287995
640000,1275641979.8287995
645000,1280201979.8287995
650000,1284761979.8287995
655000,1289321979.8287995
660000,1293881979.8287995
665000,1298441979.8287995
670000,1303001979.8287995
675000,1307561979.8287995
680000,1312121979.8287995
685000,1316681979.8287995
690000,1321241979.8287995
695000,1325801979.8287995
700000,1330361979.8287995
705000,1334921979.8287995
710000,1339481979.8287995
715000,1344041979.8287995
720000,1348601979.8287995
725000,1353161979.8287995
730000,1357721979.8287995
735000,1362281979.8287995
740000,1366841979.8287995
745000,1371511861.5414386
750000,1376391861.5414386
755000,1381271861.5414386
760000,1386151861.5414386
765000,1391031861.5414386
770000,1395911861.5414386
775000,1400791861.5414386
780000,1405671861.5414386
785000,1410551861.5414386
790000,1415431861.5414386
795000,1420311861.5414386
800000,1425191861.5414386
805000,1430071861.5414386
810000,1434951861.5414386
815000,1439831861.5414386
820000,1444711861.5414386
825000,1449591861.5414386
830000,1454471861.5414386
835000,1459351861.5414386
840000,1464231861.5414386
845000,1469111861.5414386
850000,1473991861.5414386
855000,1478871861.5414386
860000,1483751861.5414386
865000,1488631861.5414386
870000,1493511861.5414386
875000,1498391861.5414386
880000,1503271861.5414386
885000,1508151861.5414386
890000,1513031861.5414386
895000,1517911861.5414386
900000,1522791861.5414386
905000,1527671861.5414386
910000,1532551861.5414386
915000,1537431861.5414386
920000,1542311861.5414386
925000,1547191861.5414386
930000,1552071861.5414386
935000,1556951861.5414386
940000,1561831861.5414386
945000,1566711861.5414386
950000,1571591861.5414386
955000,1576471861.5414386
960000,1581351861.5414386
965000,1586231861.5414386
970000,1591111861.5414386
975000,1595991861.5414386
980000,1600871861.5414386
985000,1605751861.5414386
990000,1610631861.5414386
995000,1615511861.5414386
1000000,1620391861.5414386
