L,runtime
0,949655786.492789
5000,950957808.2188692
10000,953992283.893191
15000,958834879.6672671
20000,964485493.1825514
25000,970466368.7806363
30000,976634303.4356803
35000,983063088.401763
40000,989680070.4881625
45000,996449030.5512064
50000,1003317984.8512837
55000,1010277103.4980059
60000,1017349214.0759289
65000,1024686344.0887313
70000,1032415102.3191298
75000,1040435803.1735325
80000,1048722812.35513
85000,1057270102.1320922
90000,1066058437.7637706
95000,1074986922.1090481
100000,1084004919.9596083
105000,1093113308.1160862
110000,1102266129.1509874
115000,1111456977.733392
120000,1120694665.6326098
125000,1130017014.5737562
130000,1139510513.6131258
135000,1149207183.7062714
140000,1159010168.248694
145000,1168893790.9914186
150000,1178795360.5005505
155000,1188748696.2327266
160000,1198784224.4288924
165000,1208870745.572274
170000,1219002020.192119
175000,1229156614.6449392
180000,1239346614.6449509
185000,1249536614.644956
190000,1259762130.057454
195000,1270039002.806258
200000,1280340972.483075
205000,1290719765.0629084
210000,1301178446.579087
215000,1311655316.6667666
220000,1322178440.1237426
225000,1332773769.3675823
230000,1343419158.299277
235000,1354074187.9939988
240000,1364775871.4599254
245000,1375535264.7037678
250000,1386319095.4077866
255000,1397136441.5117924
260000,1407966441.5117981
265000,1418796441.511809
270000,1429626441.5118096
275000,1440474891.1873474
280000,1451324891.1873467
285000,1462174891.187353
290000,1473024891.1873608
295000,1483874891.1873615
300000,1494724891.1873815
305000,1505606407.3614478
310000,1516516407.3614523
315000,1527468869.3822618
320000,1538478869.3822618
325000,1549488869.3822691
330000,1560501100.5586014
335000,1571531100.558602
340000,1582561100.5586057
345000,1593591100.5586145
350000,1604621100.5586145
355000,1615651100.5586169
360000,1626681100.5586312
365000,1637711100.5586305
370000,1648741100.5586305
375000,1659771100.558641
380000,1670801100.5586443
385000,1681831100.558645
390000,1692861100.5586567
395000,1703891100.5586655
400000,1714921100.5586684
405000,1725951100.558672
410000,1736981100.5586772
415000,1748011100.5586827
420000,1759041100.5586863
425000,1770071100.5586877
430000,1781101100.5586972
435000,1792131100.5587046
440000,1803161100.5587072
445000,1814191100.5587072
450000,1825221100.5587144
455000,1836251100.5587225
460000,1847281100.558725
465000,1858311100.558725
470000,1869341100.5587275
475000,1880371100.5587387
480000,1891401100.5587404
485000,1902431100.5587406
490000,1913461100.5587385
495000,1924491100.5587466
500000,1935521100.5587547
505000,1946553128.0547516
510000,1957593128.0547457
515000,1968633128.0547433
520000,1979673128.0547447
525000,1990713128.0547466
530000,2001753128.054748
535000,2012793128.0547469
540000,2023833128.0547445
545000,2034873128.0547466
550000,2045924543.7884314
555000,2056979543.7884336
560000,2068034543.7884355
565000,2079089543.788433
570000,2090144543.7884328
575000,2101199543.7884347
580000,2112254543.788436
585000,2123309543.7884378
590000,2134364543.7884383
595000,2145419543.7884374
600000,2156474543.7884417
605000,2167529543.7884445
610000,2178584543.7884245
615000,2189639543.788432
620000,2200694543.7884345
625000,2211749543.788414
630000,2222804543.7884216
635000,2233859543.7884216
640000,2244914543.788406
645000,2255969543.7884154
650000,2267024543.788413
655000,2278079543.788398
660000,2289134543.7884035
665000,2300189543.7884026
670000,2311244543.788375
675000,2322299543.788385
680000,2333354543.788387
685000,2344409543.788372
690000,2355464543.7883787
695000,2366519543.7883806
700000,2377574543.78837
705000,2388629543.788363
710000,2399684543.788368
715000,2410739543.7883677
720000,2421794543.788348
725000,2432849543.788358
730000,2443904543.7883587
735000,2454959543.788343
740000,2466014543.788335
745000,2477069543.7883396
750000,2488124543.788338
755000,2499179543.788323
760000,2510234543.788326
765000,2521289543.788329
770000,2532344543.788329
775000,2543399543.788315
780000,2554454543.7883196
785000,2565509543.788322
790000,2576564543.788318
795000,2587619543.7883005
800000,2598674543.7883015
805000,2609729543.7883053
810000,2620784543.7883058
815000,2631839543.788285
820000,2642894543.788285
825000,2653949543.78829
830000,2665004543.7882905
835000,2676059543.7882833
840000,2687114543.7882743
845000,2698169543.788278
850000,2709224543.7882776
855000,2720279543.788275
860000,2731334543.7882643
865000,2742389543.7882643
870000,2753444543.7882695
875000,2764499543.7882714
880000,2775554543.788265
885000,2786609543.788252
890000,2797664543.7882576
895000,2808719543.7882614
900000,2819774543.7882633
905000,2830829543.788254
910000,2841884543.7882414
915000,2852939543.7882414
920000,2863997592.441522
925000,2875072592.4415226
930000,2886147592.441517
935000,2897222592.441496
940000,2908297592.441496
945000,2919372592.441501
950000,2930447592.441502
955000,2941522592.441501
960000,2952597592.44149
965000,2963672592.441486
970000,2974747592.4414873
975000,2985822592.44148
980000,2996897592.4414806
985000,3007972592.441474
990000,3019047592.441462
995000,3030122592.441467
1000000,3041197592.441471
