L,runtime
0,847596608.2284416
5000,848236591.78844
10000,848892511.7884398
15000,849566064.7756389
20000,850258169.2412387
25000,851055603.9061973
30000,851935707.2066766
35000,852889855.9155558
40000,853957092.7417164
45000,855067871.1615562
50000,856247328.574356
55000,857650587.9916347
60000,859143593.1033118
65000,860719690.7938695
70000,862343642.0402685
75000,864018336.7330676
80000,865719476.1170657
85000,867459476.1170645
90000,869199476.117064
95000,870955064.9202634
100000,872741950.8277835
105000,874541950.8277835
110000,876344878.065223
115000,878217574.9129028
120000,880107574.9129033
125000,881997574.9129034
130000,883887574.9129034
135000,885777574.9129031
140000,887673158.5669827
145000,889579420.3682632
150000,891502638.2949833
155000,893464977.8690633
160000,895439977.8690629
165000,897492980.5071415
170000,899613274.7673014
175000,901828824.675141
180000,904122500.1151413
185000,906459974.0658616
190000,908897075.1605814
195000,911415136.7554618
200000,914023876.1316222
205000,916672552.2973824
210000,919329565.3780223
215000,922006489.2209026
220000,924690292.677543
225000,927390292.6775428
230000,930108270.3725823
235000,932849533.9892224
240000,935629736.0701836
245000,938429736.0701835
250000,941229736.0701832
255000,944033782.8215435
260000,946891650.6593041
265000,949793059.0461844
270000,952703059.046184
275000,955613937.6561037
280000,958551933.0401043
285000,961543939.9092239
290000,964568879.8497039
295000,967627079.1178639
300000,970723690.5242646
305000,973827458.2740247
310000,976937458.274025
315000,980060159.9335454
320000,983241928.810985
325000,986460534.8967446
330000,989726902.3962651
335000,992996902.3962651
340000,996270156.0903461
345000,999573516.409706
350000,1002883516.4097058
355000,1006209836.0205861
360000,1009584992.9665062
365000,1013028883.456106
370000,1016507984.8794665
375000,1020032361.316587
380000,1023584259.1514663
385000,1027155663.9229865
390000,1030783736.705707
395000,1034418736.705707
400000,1038060211.6257075
405000,1041717597.9197876
410000,1045410966.7463467
415000,1049126923.0612258
420000,1052861923.0612258
425000,1056603684.5089055
430000,1060362495.9671456
435000,1064136999.4353042
440000,1067931999.435304
445000,1071739658.846183
450000,1075574658.8461823
455000,1079415324.4490616
460000,1083310324.4490612
465000,1087217211.2241
470000,1091157526.025379
475000,1095139336.3735416
480000,1099159327.8388228
485000,1103195750.1082664
490000,1107246187.7130747
495000,1111311187.7130744
500000,1115376187.7130766
505000,1119444177.7777221
510000,1123529177.777722
515000,1127619662.6826808
520000,1131724662.6826875
525000,1135838172.277567
530000,1139984981.1961265
535000,1144149981.1961327
540000,1148316970.9209335
545000,1152517465.5644553
550000,1156727465.564459
555000,1160994101.3391893
560000,1165299451.4761481
565000,1169619467.2559896
570000,1173954467.2559953
575000,1178289467.2559946
580000,1182628750.150073
585000,1186983750.1500773
590000,1191338750.1500793
595000,1195702205.6358426
600000,1200100859.8108861
605000,1204520355.5907319
610000,1208950355.5907311
615000,1213381107.17761
620000,1217831107.1776137
625000,1222298704.704978
630000,1226768704.704978
635000,1231258519.8493001
640000,1235748519.8493044
645000,1240250374.472023
650000,1244769603.5069027
655000,1249294603.5069044
660000,1253819603.5069063
665000,1258344603.5069058
670000,1262869603.5069063
675000,1267394603.5069096
680000,1271921996.0841906
685000,1276466996.0841897
690000,1281018781.9593918
695000,1285583781.9593947
700000,1290148781.959396
705000,1294713781.9593952
710000,1299278781.9593956
715000,1303852289.3657997
720000,1308448323.7245212
725000,1313053323.7245204
730000,1317658323.724521
735000,1322263323.724522
740000,1326868323.7245257
745000,1331491266.9216468
750000,1336116266.9216473
755000,1340741266.921648
760000,1345366266.9216533
765000,1349991266.9216535
770000,1354625658.9802146
775000,1359290658.9802146
780000,1363955658.9802165
785000,1368629748.6026213
790000,1373314748.602621
795000,1377999748.602621
800000,1382684748.6026208
805000,1387369748.6026247
810000,1392054748.6026251
815000,1396755552.2410235
820000,1401460552.2410238
825000,1406181218.881349
830000,1410906218.8813527
835000,1415631218.8813522
840000,1420356218.8813524
845000,1425090926.2695162
850000,1429835926.269517
855000,1434584859.0227978
860000,1439369859.0227978
865000,1444154859.0227978
870000,1448939859.0227978
875000,1453724859.0227983
880000,1458510346.4832814
885000,1463316661.7194395
890000,1468141661.7194393
895000,1472966661.7194397
900000,1477791661.7194395
905000,1482621074.986002
910000,1487451074.9860027
915000,1492281074.9860024
920000,1497114123.2660024
925000,1501964123.2660031
930000,1506814123.266004
935000,1511674264.9348054
940000,1516544264.934805
945000,1521414264.9348052
950000,1526284264.9348054
955000,1531154264.9348054
960000,1536024264.9348068
965000,1540894264.934809
970000,1545764264.9348087
975000,1550634264.9348087
980000,1555504264.934809
985000,1560374264.934809
990000,1565244264.9348116
995000,1570114264.9348123
1000000,1574984264.9348123
