L,runtime
0,9938339114932.842
5000,9938339114932.842
10000,9938339114932.842
15000,9938339114932.842
20000,9938339114932.842
25000,9938339114932.842
30000,9938339114932.842
35000,9938339114932.842
40000,9938339114932.842
45000,9938339114932.842
50000,9938339114932.842
55000,9938339114932.842
60000,9938339114932.842
65000,9938339114932.842
70000,9938339114932.842
75000,9938339114932.842
80000,9938339114932.842
85000,9938339114932.842
90000,9938339114932.842
95000,9938339114932.842
100000,9938339114932.842
105000,9938339114932.842
110000,9938339114932.842
115000,9938339114932.842
120000,9938339116287.236
125000,9938339121287.236
130000,9938339126287.236
135000,9938339131287.236
140000,9938339136287.236
145000,9938339141287.236
150000,9938339146287.236
155000,9938339151287.236
160000,9938339156287.236
165000,9938339161287.236
170000,9938339166287.236
175000,9938339171287.236
180000,9938339176287.236
185000,9938339181287.236
190000,9938339186287.236
195000,9938339191287.236
200000,9938339196287.236
205000,9938339201287.236
210000,9938339206287.236
215000,9938339211287.236
220000,9938339216287.236
225000,9938339221287.236
230000,9938339226287.236
235000,9938339231287.236
240000,9938339236287.236
245000,9938339241287.236
250000,9938339246287.236
255000,9938339251287.236
260000,9938339256287.236
265000,9938339261287.236
270000,9938339266287.236
275000,9938339271287.236
280000,9938339276287.236
285000,9938349648885.363
290000,9938363573885.363
295000,9938377498885.363
300000,9938391423885.363
305000,9938405348885.363
310000,9938419273885.363
315000,9938433198885.363
320000,9938447123885.363
325000,9938461048885.363
330000,9938474973885.363
335000,9938488898885.363
340000,9938502823885.363
345000,9938516748885.363
350000,9938530673885.363
355000,9938544598885.363
360000,9938559789779.066
365000,9938577189779.066
370000,9938594589779.066
375000,9938611989779.066
380000,9938629389779.066
385000,9938646789779.066
390000,9938664189779.066
395000,9938681589779.066
400000,9938698989779.066
405000,9938716389779.066
410000,9938733789779.066
415000,9938751189779.066
420000,9938768589779.066
425000,9938785989779.066
430000,9938803389779.066
435000,9938820789779.066
440000,9938838189779.066
445000,9938855589779.066
450000,9938872989779.066
455000,9938890389779.066
460000,9938907789779.066
465000,9938925189779.066
470000,9938942589779.066
475000,9938959989779.066
480000,9938977389779.066
485000,9938994789779.066
490000,9939012189779.066
495000,9939029589779.066
500000,9939046989779.066
505000,9939064389779.066
510000,9939081789779.066
515000,9939099189779.066
520000,9939116589779.066
525000,9939133989779.066
530000,9939151389779.066
535000,9939168789779.066
540000,9939186189779.066
545000,9939203589779.066
550000,9939220989779.066
555000,9939238389779.066
560000,9939255789779.066
565000,9939273189779.066
570000,9939290589779.066
575000,9939307989779.066
580000,9939325389779.066
585000,9939342789779.066
590000,9939360189779.066
595000,9939377589779.066
600000,9939394989779.066
605000,9939412389779.066
610000,9939429789779.066
615000,9939447189779.066
620000,9939464589779.066
625000,9939481989779.066
630000,9939499389779.066
635000,9939516789779.066
640000,9939534189779.066
645000,9939551589779.066
650000,9939568989779.066
655000,9939586389779.066
660000,9939603789779.066
665000,9939621189779.066
670000,9939638589779.066
675000,9939655989779.066
680000,9939673389779.066
685000,9939690789779.066
690000,9939708189779.066
695000,9939725589779.066
700000,9939742989779.066
705000,9939760389779.066
710000,9939777789779.066
715000,9939795189779.066
720000,9939812589779.066
725000,9939829989779.066
730000,9939847389779.066
735000,9939864789779.066
740000,9939882189779.066
745000,9939899589779.066
750000,9939916989779.066
755000,9939934389779.066
760000,9939951789779.066
765000,9939969189779.066
770000,9939986589779.066
775000,9940003989779.066
780000,9940021389779.066
785000,9940038789779.066
790000,9940056189779.066
795000,9940073589779.066
800000,9940090989779.066
805000,9940108389779.066
810000,9940125789779.066
815000,9940143189779.066
820000,9940160589779.066
825000,9940177989779.066
830000,9940195389779.066
835000,9940212789779.066
840000,9940230189779.066
845000,9940247589779.066
850000,9940264989779.066
855000,9940282389779.066
860000,9940299789779.066
865000,9940317189779.066
870000,9940334589779.066
875000,9940351989779.066
880000,9940369389779.066
885000,9940386789779.066
890000,9940404189779.066
895000,9940421589779.066
900000,9940438989779.066
905000,9940456389779.066
910000,9940473789779.066
915000,9940491189779.066
920000,9940508589779.066
925000,9940525989779.066
930000,9940543389779.066
935000,9940560789779.066
940000,9940578189779.066
945000,9940595589779.066
950000,9940612989779.066
955000,9940630389779.066
960000,9940647789779.066
965000,9940665189779.066
970000,9940682589779.066
975000,9940699989779.066
980000,9940717389779.066
985000,9940734789779.066
990000,9940752189779.066
995000,9940769589779.066
1000000,9940786989779.066
