L,runtime
0,7689392810.16
5000,7689422810.16
10000,7689452810.16
15000,7689482810.16
20000,7689512810.16
25000,7689542810.16
30000,7689572810.16
35000,7689602810.16
40000,7689632810.16
45000,7689662810.16
50000,7689692810.16
55000,7689722810.16
60000,7689752810.16
65000,7689782810.16
70000,7689812810.16
75000,7689842810.16
80000,7689872810.16
85000,7689902810.16
90000,7689932810.16
95000,7689962810.16
100000,7689992810.16
105000,7690022810.16
110000,7690052810.16
115000,7690082810.16
120000,7690112810.16
125000,7690142810.16
130000,7690172810.16
135000,7690202810.16
140000,7690232810.16
145000,7690262810.16
150000,7690292810.16
155000,7690322810.16
160000,7690352810.16
165000,7690382810.16
170000,7690412810.16
175000,7690442810.16
180000,7690472810.16
185000,7690502810.16
190000,7690532810.16
195000,7690562810.16
200000,7690592810.16
205000,7690622810.16
210000,7690652810.16
215000,7690682810.16
220000,7690712810.16
225000,7690742810.16
230000,7690772810.16
235000,7690802810.16
240000,7690832810.16
245000,7690862810.16
250000,7690892810.16
255000,7690922810.16
260000,7690952810.16
265000,7690982810.16
270000,7691012810.16
275000,7691042810.16
280000,7691072810.16
285000,7691102810.16
290000,7691132810.16
295000,7691162810.16
300000,7691192810.16
305000,7691222810.16
310000,7691252810.16
315000,7691282810.16
320000,7691312810.16
325000,7691342810.16
330000,7691372810.16
335000,7691402810.16
340000,7691432810.16
345000,7691462810.16
350000,7691492810.16
355000,7691522810.16
360000,7691552810.16
365000,7691582810.16
370000,7691612810.16
375000,7691642810.16
380000,7691672810.16
385000,7691702810.16
390000,7691732810.16
395000,7691762810.16
400000,7691792810.16
405000,7691822810.16
410000,7691852810.16
415000,7691882810.16
420000,7691912810.16
425000,7691942810.16
430000,7691972810.16
435000,7692002810.16
440000,7692032810.16
445000,7692062810.16
450000,7692092810.16
455000,7692122810.16
460000,7692152810.16
465000,7692182810.16
470000,7692212810.16
475000,7692242810.16
480000,7692272810.16
485000,7692302810.16
490000,7692332810.16
495000,7692362810.16
500000,7692392810.16
505000,7692422810.16
510000,7692452810.16
515000,7692482810.16
520000,7692512810.16
525000,7692542810.16
530000,7692572810.16
535000,7692602810.16
540000,7692632810.16
545000,7692662810.16
550000,7692692810.16
555000,7692722810.16
560000,7692752810.16
565000,7692782810.16
570000,7692812810.16
575000,7692842810.16
580000,7692872810.16
585000,7692902810.16
590000,7692932810.16
595000,7692962810.16
600000,7692992810.16
605000,7693022810.16
610000,7693052810.16
615000,7693082810.16
620000,7693112810.16
625000,7693142810.16
630000,7693172810.16
635000,7693202810.16
640000,7693232810.16
645000,7693262810.16
650000,7693292810.16
655000,7693322810.16
660000,7693352810.16
665000,7693382810.16
670000,7693412810.16
675000,7693442810.16
680000,7693472810.16
685000,7693502810.16
690000,7693532810.16
695000,7693562810.16
700000,7693592810.16
705000,7693622810.16
710000,7693652810.16
715000,7693682810.16
720000,7693712810.16
725000,7693742810.16
730000,7693772810.16
735000,7693802810.16
740000,7693832810.16
745000,7693862810.16
750000,7693892810.16
755000,7693922810.16
760000,7693952810.16
765000,7693982810.16
770000,7694012810.16
775000,7694042810.16
780000,7694072810.16
785000,7694102810.16
790000,7694132810.16
795000,7694162810.16
800000,7694192810.16
805000,7694222810.16
810000,7694252810.16
815000,7694282810.16
820000,7694312810.16
825000,7694342810.16
830000,7694372810.16
835000,7694402810.16
840000,7694432810.16
845000,7694462810.16
850000,7694492810.16
855000,7694522810.16
860000,7694552810.16
865000,7694582810.16
870000,7694612810.16
875000,7694642810.16
880000,7694672810.16
885000,7694702810.16
890000,7694732810.16
895000,7694762810.16
900000,7694792810.16
905000,7694822810.16
910000,7694852810.16
915000,7694882810.16
920000,7694912810.16
925000,7694942810.16
930000,7694972810.16
935000,7695002810.16
940000,7695032810.16
945000,7695062810.16
950000,7695092810.16
955000,7695122810.16
960000,7695152810.16
965000,7695182810.16
970000,7695212810.16
975000,7695242810.16
980000,7695272810.16
985000,7695302810.16
990000,7695332810.16
995000,7695362810.16
1000000,7695392810.16
