L,runtime
0,592184184.6400048
5000,607038766.4400026
10000,621912763.7599999
15000,636792763.7599984
20000,651682284.399997
25000,666572986.3599955
30000,681481998.1999938
35000,696401998.1999927
40000,711321998.1999916
45000,726293982.0399913
50000,741273982.03999
55000,756253982.0399891
60000,771233982.0399888
65000,786213982.0399876
70000,801193982.0399877
75000,816173982.0399874
80000,831166640.4799868
85000,846161640.4799867
90000,861156640.4799864
95000,876151640.4799864
100000,891146640.4799863
105000,906141640.4799862
110000,921136640.4799861
115000,936131640.479986
120000,951126640.479986
125000,966121640.4799857
130000,981116640.4799857
135000,996111640.4799855
140000,1011106640.4799856
145000,1026101640.4799855
150000,1041096640.479986
155000,1056091640.4799865
160000,1071086640.4799875
165000,1086081640.4799838
170000,1101076640.4799829
175000,1116071640.4799814
180000,1131066640.4799802
185000,1146061640.4799802
190000,1161056640.479979
195000,1176051640.4799798
200000,1191046640.4799798
205000,1206041640.4799783
210000,1221036640.4799786
215000,1236031640.4799786
220000,1251026640.4799774
225000,1266021640.4799771
230000,1281016640.4799762
235000,1296011640.4799747
240000,1311006640.479975
245000,1326001640.479975
250000,1340996640.4799752
255000,1355991640.4799738
260000,1370986640.479972
265000,1385984564.519972
270000,1400989564.5199707
275000,1415994564.519969
280000,1430999564.519969
285000,1446004564.5199676
290000,1461009564.5199666
295000,1476014564.5199664
300000,1491019564.519965
305000,1506024564.519965
310000,1521029564.519963
315000,1536034564.5199635
320000,1551039564.5199618
325000,1566044564.519962
330000,1581049564.5199609
335000,1596054564.5199602
340000,1611059564.5199587
345000,1626064564.5199587
350000,1641069564.5199578
355000,1656074564.519957
360000,1671079564.5199573
365000,1686084564.5199578
370000,1701089564.519958
375000,1716094564.5199564
380000,1731099564.519956
385000,1746104564.5199564
390000,1761109564.519955
395000,1776114564.5199552
400000,1791119564.519955
405000,1806124564.5199552
410000,1821129564.5199552
415000,1836134564.5199552
420000,1851139564.5199554
425000,1866144564.5199556
430000,1881149564.519955
435000,1896154564.5199552
440000,1911159564.5199552
445000,1926164564.5199552
450000,1941169564.5199552
455000,1956174564.5199552
460000,1971179564.5199552
465000,1986184564.5199552
470000,2001189564.5199554
475000,2016194564.5199554
480000,2031199564.5199554
485000,2046204564.5199554
490000,2061209564.5199554
495000,2076214564.5199554
500000,2091219564.5199554
505000,2106224564.5199554
510000,2121229564.5199554
515000,2136234564.5199556
520000,2151239564.5199575
525000,2166244564.5199637
530000,2181249564.5199666
535000,2196254564.519969
540000,2211259564.519971
545000,2226264564.5199766
550000,2241269564.5199766
555000,2256274564.5199766
560000,2271279564.519978
565000,2286284564.5199833
570000,2301289564.5199847
575000,2316294564.519983
580000,2331299564.519985
585000,2346304564.519989
590000,2361309564.5199924
595000,2376314564.5199895
600000,2391319564.519992
605000,2406324564.519991
610000,2421329564.5199904
615000,2436334564.5199924
620000,2451339564.5199957
625000,2466344564.5199995
630000,2481349564.5199986
635000,2496354564.519998
640000,2511359564.52
645000,2526364564.519997
650000,2541369564.52
655000,2556374564.52
660000,2571379564.520004
665000,2586384564.520007
670000,2601389564.5200076
675000,2616394564.520012
680000,2631399564.5200143
685000,2646404564.5200152
690000,2661409564.5200186
695000,2676414564.5200205
700000,2691419564.5200205
705000,2706424564.5200195
710000,2721429564.5200224
715000,2736434564.5200214
720000,2751439564.5200186
725000,2766444564.520021
730000,2781449564.52002
735000,2796454564.520022
740000,2811459564.5200253
745000,2826464564.5200257
750000,2841469564.520026
755000,2856474564.520029
760000,2871479564.5200315
765000,2886484564.5200315
770000,2901489564.5200343
775000,2916494564.520036
780000,2931499564.5200367
785000,2946504564.520036
790000,2961509564.520039
795000,2976514564.520042
800000,2991519564.520042
805000,3006524564.5200424
810000,3021529564.520045
815000,3036534564.5200477
820000,3051539564.520048
825000,3066544564.520049
830000,3081549564.5200515
835000,3096554564.5200534
840000,3111559564.5200534
845000,3126564564.520053
850000,3141569564.520055
855000,3156574564.5200577
860000,3171579564.520059
865000,3186584564.520058
870000,3201589564.5200596
875000,3216594564.5200615
880000,3231599564.520063
885000,3246604564.520063
890000,3261609564.5200634
895000,3276614564.520066
900000,3291619564.520067
905000,3306624564.520068
910000,3321629564.520068
915000,3336634564.520069
920000,3351642612.8000712
925000,3366667612.8000736
930000,3381692612.800075
935000,3396717612.800075
940000,3411742612.800075
945000,3426767612.8000765
950000,3441792612.800079
955000,3456817612.800081
960000,3471842612.800081
965000,3486867612.800081
970000,3501892612.800083
975000,3516917612.8000846
980000,3531942612.8000865
985000,3546967612.800087
990000,3561992612.800086
995000,3577017612.8000846
1000000,3592042612.8000817
