G,runtime
0.0,3028159468.391984
0.001,3028216238.9519796
0.002,3028273251.1043124
0.003,3028331795.8252735
0.004,3028401177.1910105
0.005,3028476402.7638083
0.006,3028552718.8521647
0.007,3028629101.060138
0.008,3028706557.7730947
0.009,3028823861.3971205
0.01,3028946950.2931185
0.011,3029070062.5580754
0.012,3029195727.4563313
0.013,3029325194.3753734
0.014,3029458648.652451
0.015,3029594714.7218895
0.016,3029731722.9228687
0.017,3029871018.3452644
0.018,3030017340.121263
0.019,3030165322.0739226
0.02,3030314329.15073
0.021,3030464187.480594
0.022,3030618945.3475504
0.023,3030776201.329306
0.024,3030937233.771489
0.025,3031100062.059495
0.026,3031265573.667204
0.027,3031434859.425277
0.028,3031605171.1052694
0.029,3031776986.1305814
0.03,3031949104.1465864
0.031,3032121222.162521
0.032,3032296414.466195
0.033,3032473933.8150845
0.034,3032653369.70846
0.035,3032833487.212452
0.036,3033015385.5699368
0.037,3033199176.443851
0.038,3033384454.907781
0.039,3033569733.3718743
0.04,3033756454.9369884
0.041,3033945581.4895716
0.042,3034135636.4188423
0.043,3034327699.9241586
0.044,3034521757.9657493
0.045,3034717100.3017426
0.046,3034912552.169937
0.047,3035108926.6979427
0.048,3035305986.5465117
0.049,3035504110.627572
0.05,3035703463.285803
0.051,3035905772.9177294
0.052,3036109102.6310134
0.053,3036314810.377296
0.054,3036521764.8732843
0.055,3036728719.3692718
0.056,3036936081.641634
0.057,3037143997.1059427
0.058,3037352143.762201
0.059,3037560752.6748314
0.06,3037771774.992379
0.061,3037983374.352299
0.062,3038195407.0646114
0.063,3038407987.7411466
0.064,3038621602.2979393
0.065,3038836488.874178
0.066,3039053210.983408
0.067,3039270229.351399
0.068,3039487247.7193336
0.069,3039704303.0994825
0.07,3039921758.635846
0.071,3040139584.9638333
0.072,3040357893.571821
0.073,3040576202.179865
0.074,3040794510.78787
0.075,3041012819.3957915
0.076,3041232305.2921
0.077,3041452162.1882105
0.078,3041672019.084131
0.079,3041891875.980137
0.08,3042112047.956496
0.081,3042332420.9484887
0.082,3042553180.9567957
0.083,3042775221.889
0.084,3042997917.312989
0.085,3043220612.736922
0.086,3043443521.5887537
0.087,3043666475.0608664
0.088,3043889428.5327816
0.089,3044112382.004775
0.09,3044335335.4768305
0.091,3044558288.948819
0.092,3044781587.885379
0.093,3045005573.549491
0.094,3045229559.2134833
0.095,3045453835.257559
0.096,3045678595.065565
0.097,3045903354.8736086
0.098,3046128114.6815963
0.099,3046352874.489585
0.1,3046577634.2976294
0.101,3046802394.105634
0.102,3047027160.509714
0.103,3047252770.8978624
0.104,3047478562.8979754
0.105,3047704354.897894
0.106,3047930146.8979
0.107,3048156023.7340994
0.108,3048382073.782091
0.109,3048608123.8300796
0.11,3048834173.878119
0.111,3049060223.926112
0.112,3049286273.974044
0.113,3049513017.2425175
0.114,3049740357.530556
0.115,3049967697.818545
0.116,3050195038.1065373
0.117,3050422378.394594
0.118,3050649718.682583
0.119,3050877058.970502
0.12,3051104399.258614
0.121,3051331739.5466075
0.122,3051559079.8345222
0.123,3051786420.1225286
0.124,3052013760.410571
0.125,3052241100.6985598
0.126,3052468846.482868
0.127,3052696702.8669114
0.128,3052924559.2509174
0.129,3053152415.634832
0.13,3053380272.018825
0.131,3053608128.402938
0.132,3053835984.7868567
0.133,3054063841.170845
0.134,3054291697.5549026
0.135,3054519553.9388947
0.136,3054747410.322883
0.137,3054975266.7069225
0.138,3055203123.090916
0.139,3055430979.474847
0.14,3055658835.85884
0.141,3055886692.24288
0.142,3056114548.6268682
0.143,3056342405.01086
0.144,3056570261.3949
0.145,3056798117.778906
0.146,3057025974.162824
0.147,3057253830.5469375
0.148,3057481686.9309263
0.149,3057709543.314845
0.15,3057937399.6988506
0.151,3058165256.0828943
0.152,3058393112.466883
0.153,3058620968.850871
0.154,3058848825.234915
0.155,3059076681.618921
0.156,3059304538.0028353
0.157,3059532394.3868284
0.158,3059760250.7709413
0.159,3059988107.15486
0.16,3060215963.5388484
