L,runtime
0,3033249117.946911
5000,3033756454.9369884
10000,3034460073.511707
15000,3035277096.2227435
20000,3036251192.189138
25000,3037344153.783375
30000,3038478661.039053
35000,3039662534.0544114
40000,3040868098.333451
45000,3042098769.55041
50000,3043342389.93025
55000,3044587389.93025
60000,3045837264.5891294
65000,3047092264.5891294
70000,3048347264.5891294
75000,3049602264.5891294
80000,3050857264.5891294
85000,3052113681.9689693
90000,3053373681.9689693
95000,3054633681.9689693
100000,3055893681.9689693
105000,3057153681.9689693
110000,3058413681.9689693
115000,3059673681.9689693
120000,3060933681.9689693
125000,3062193681.9689693
130000,3063453681.9689693
135000,3064713681.9689693
140000,3065973681.9689693
145000,3067233681.968969
150000,3068493681.9689693
155000,3069761337.108489
160000,3071031337.108489
165000,3072301337.108489
170000,3073571337.108489
175000,3074841337.108489
180000,3076111337.108489
185000,3077381337.108489
190000,3078651337.108489
195000,3079921337.108489
200000,3081191337.108489
205000,3082461337.108489
210000,3083731337.108489
215000,3085001337.108489
220000,3086271337.108489
225000,3087541337.108489
230000,3088811337.108489
235000,3090081337.108489
240000,3091351337.108489
245000,3092621337.108489
250000,3093891337.108489
255000,3095161337.108489
260000,3096439772.767369
265000,3097719772.767369
270000,3098999772.767369
275000,3100279772.767369
280000,3101559772.767369
285000,3102839772.767369
290000,3104119772.767369
295000,3105399772.767369
300000,3106679772.767369
305000,3107959772.767369
310000,3109239772.767369
315000,3110519772.767369
320000,3111799772.767369
325000,3113079772.767369
330000,3114359772.767369
335000,3115639772.767369
340000,3116919772.767369
345000,3118199772.767369
350000,3119479772.767369
355000,3120759772.767369
360000,3122039772.767369
365000,3123319772.767369
370000,3124599772.767369
375000,3125879772.767369
380000,3127159772.767369
385000,3128439772.767369
390000,3129719772.767369
395000,3130999772.767369
400000,3132279772.767369
405000,3133559772.767369
410000,3134839772.767369
415000,3136119772.767369
420000,3137399772.767369
425000,3138679772.767369
430000,3139959772.767369
435000,3141239772.767369
440000,3142519772.767369
445000,3143799772.767369
450000,3145079772.767369
455000,3146359772.767369
460000,3147639772.767369
465000,3148919772.767369
470000,3150199772.767369
475000,3151479772.767369
480000,3152759772.767369
485000,3154039772.767369
490000,3155319772.767369
495000,3156599772.767369
500000,3157879772.767369
505000,3159159772.767369
510000,3160439772.767369
515000,3161719772.767369
520000,3162999772.767369
525000,3164279772.767369
530000,3165559772.7673693
535000,3166839772.7673693
540000,3168119772.7673693
545000,3169399772.7673693
550000,3170679772.7673693
555000,3171959772.7673693
560000,3173239772.7673693
565000,3174519772.7673693
570000,3175799772.7673693
575000,3177079772.7673693
580000,3178359772.7673693
585000,3179639772.7673693
590000,3180919772.7673693
595000,3182199772.7673693
600000,3183479772.7673693
605000,3184759772.7673693
610000,3186039772.7673693
615000,3187319772.7673693
620000,3188599772.7673693
625000,3189879772.7673693
630000,3191159772.7673693
635000,3192439772.7673693
640000,3193719772.7673693
645000,3194999772.7673693
650000,3196279772.7673693
655000,3197559772.7673693
660000,3198839772.7673693
665000,3200119772.7673693
670000,3201399772.7673693
675000,3202679772.7673693
680000,3203959772.7673693
685000,3205239772.7673693
690000,3206519772.7673693
695000,3207799772.7673693
700000,3209079772.7673693
705000,3210359772.7673693
710000,3211639772.7673693
715000,3212919772.7673693
720000,3214199772.7673693
725000,3215479772.7673693
730000,3216759772.7673693
735000,3218039772.7673693
740000,3219319772.7673693
745000,3220599772.7673693
750000,3221879772.7673693
755000,3223159772.7673693
760000,3224439772.7673693
765000,3225719772.7673693
770000,3226999772.7673693
775000,3228279772.7673693
780000,3229559772.7673693
785000,3230839772.7673693
790000,3232119772.7673693
795000,3233399772.7673693
800000,3234679772.7673693
805000,3235959772.7673693
810000,3237239772.7673693
815000,3238519772.7673693
820000,3239799772.7673693
825000,3241079772.7673693
830000,3242359772.7673693
835000,3243639772.7673693
840000,3244919772.7673693
845000,3246199772.7673693
850000,3247479772.7673693
855000,3248759772.7673693
860000,3250039772.7673693
865000,3251319772.7673693
870000,3252599772.7673693
875000,3253879772.7673693
880000,3255159772.7673693
885000,3256439772.7673693
890000,3257719772.7673693
895000,3258999772.7673693
900000,3260279772.7673693
905000,3261559772.7673693
910000,3262839772.7673693
915000,3264119772.7673693
920000,3265399772.7673693
925000,3266679772.7673693
930000,3267959772.7673693
935000,3269239772.7673693
940000,3270519772.7673693
945000,3271799772.7673693
950000,3273079772.7673693
955000,3274359772.7673693
960000,3275639772.7673693
965000,3276919772.7673693
970000,3278199772.7673693
975000,3279479772.7673693
980000,3280759772.7673693
985000,3282039772.7673693
990000,3283319772.7673693
995000,3284599772.7673693
1000000,3285879772.7673693
