signature,count,status,reason,lp_vars,lp_constrs,n_pieces,error
allgather_ring_simple_19827840B_32r_16ch,1,ok,lp,160292,352288,2,
allgather_ring_simple_9070464B_32r_16ch,4,ok,lp,80420,176160,2,
reducescatter_ring_simple_25165824B_32r_16ch,16,ok,lp,160292,352288,2,
allgather_ring_simple_75497472B_32r_16ch,64,ok,lp,399908,880672,2,
allgather_ring_simple_8870784B_32r_16ch,4,ok,lp,80420,176160,2,
allgather_ring_simple_9070848B_32r_16ch,1,ok,lp,80420,176160,2,
allgather_ring_simple_12337152B_32r_16ch,1,ok,lp,80420,176160,2,
allgather_ring_simple_25165824B_32r_16ch,24,ok,lp,160292,352288,2,
allgather_ring_ll_98304B_32r_16ch,8,ok,lp,32292,79904,2,
reducescatter_ring_simple_12337152B_32r_16ch,1,ok,lp,80420,176160,2,
reducescatter_ring_simple_75497472B_32r_16ch,64,ok,lp,399908,880672,2,
reducescatter_ring_simple_9070848B_32r_16ch,1,ok,lp,80420,176160,2,
reducescatter_ring_simple_8870784B_32r_16ch,4,ok,lp,80420,176160,2,
reducescatter_ring_simple_9070464B_32r_16ch,4,ok,lp,80420,176160,2,
reducescatter_ring_simple_19827840B_32r_16ch,1,ok,lp,160292,352288,2,
allreduce_ring_ll128_7876608B_32r_16ch,1,ok,lp,2532,36256,1,
