collective,reason,data_size,algo,proto
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,ring,ll
allreduce,tiny,4,tree,ll
allreduce,tiny,4,tree,ll
