L,runtime
0,8584104747.56
5000,8584214747.56
10000,8584324747.56
15000,8584446415.329283
20000,8584635963.098563
25000,8584836787.8108835
30000,8585044560.523204
35000,8585254560.523204
40000,8585464560.523204
45000,8585674560.523204
50000,8585885663.424963
55000,8586103906.326723
60000,8586323906.326723
65000,8586543906.326723
70000,8586763906.326723
75000,8586983906.326723
80000,8587203906.326723
85000,8587423906.326723
90000,8587643906.326723
95000,8587863906.326723
100000,8588083906.326723
105000,8588303906.326723
110000,8588523906.326723
115000,8588743906.326723
120000,8588963906.326723
125000,8589183906.326723
130000,8589403906.326723
135000,8589623906.326723
140000,8589843906.326723
145000,8590063906.326723
150000,8590283906.326723
155000,8590503906.326723
160000,8590723906.326723
165000,8590943906.326723
170000,8591163906.326723
175000,8591383906.326723
180000,8591603906.326723
185000,8591823906.326723
190000,8592043906.326723
195000,8592263906.326723
200000,8592483906.326723
205000,8592703906.326723
210000,8592923906.326723
215000,8593143906.326723
220000,8593363906.326723
225000,8593583906.326723
230000,8593803906.326723
235000,8594023906.326723
240000,8594243906.326723
245000,8594463906.326723
250000,8594683906.326723
255000,8594903906.326723
260000,8595123906.326723
265000,8595343906.326723
270000,8595563906.326723
275000,8595783906.326723
280000,8596003906.326723
285000,8596223906.326723
290000,8596443906.326723
295000,8596663906.326723
300000,8596883906.326723
305000,8597103906.326723
310000,8597323906.326723
315000,8597543906.326723
320000,8597763906.326723
325000,8597983906.326723
330000,8598203906.326723
335000,8598423906.326723
340000,8598643906.326723
345000,8598863906.326723
350000,8599083906.326723
355000,8599303906.326723
360000,8599523906.326723
365000,8599743906.326723
370000,8599963906.326723
375000,8600183906.326723
380000,8600403906.326723
385000,8600623906.326723
390000,8600843906.326723
395000,8601063906.326723
400000,8601283906.326723
405000,8601503906.326723
410000,8601723906.326723
415000,8601943906.326723
420000,8602163906.326723
425000,8602383906.326723
430000,8602603906.326723
435000,8602823906.326723
440000,8603043906.326723
445000,8603263906.326723
450000,8603483906.326723
455000,8603703906.326723
460000,8603923906.326723
465000,8604143906.326723
470000,8604363906.326723
475000,8604583906.326723
480000,8604803906.326723
485000,8605023906.326723
490000,8605243906.326723
495000,8605463906.326723
500000,8605683906.326723
505000,8605903906.326723
510000,8606123906.326723
515000,8606343906.326723
520000,8606563906.326723
525000,8606783906.326723
530000,8607003906.326723
535000,8607223906.326723
540000,8607443906.326723
545000,8607663906.326723
550000,8607883906.326723
555000,8608103906.326723
560000,8608323906.326723
565000,8608543906.326723
570000,8608763906.326723
575000,8608983906.326723
580000,8609203906.326723
585000,8609423906.326723
590000,8609643906.326723
595000,8609863906.326723
600000,8610083906.326723
605000,8610303906.326723
610000,8610523906.326723
615000,8610743906.326723
620000,8610963906.326723
625000,8611183906.326723
630000,8611403906.326723
635000,8611623906.326723
640000,8611843906.326723
645000,8612063906.326723
650000,8612283906.326723
655000,8612503906.326723
660000,8612723906.326723
665000,8612943906.326723
670000,8613163906.326723
675000,8613383906.326723
680000,8613603906.326723
685000,8613823906.326723
690000,8614043906.326723
695000,8614263906.326723
700000,8614483906.326723
705000,8614703906.326723
710000,8614923906.326723
715000,8615143906.326723
720000,8615363906.326723
725000,8615583906.326723
730000,8615803906.326723
735000,8616023906.326723
740000,8616243906.326723
745000,8616463906.326723
750000,8616683906.326723
755000,8616903906.326723
760000,8617123906.326723
765000,8617343906.326723
770000,8617563906.326723
775000,8617783906.326723
780000,8618003906.326723
785000,8618223906.326723
790000,8618443906.326723
795000,8618663906.326723
800000,8618883906.326723
805000,8619103906.326723
810000,8619323906.326723
815000,8619543906.326723
820000,8619763906.326723
825000,8619983906.326723
830000,8620203906.326723
835000,8620423906.326723
840000,8620643906.326723
845000,8620863906.326723
850000,8621083906.326723
855000,8621303906.326723
860000,8621523906.326723
865000,8621743906.326723
870000,8621963906.326723
875000,8622183906.326723
880000,8622403906.326723
885000,8622623906.326723
890000,8622843906.326723
895000,8623063906.326723
900000,8623283906.326723
905000,8623503906.326723
910000,8623723906.326723
915000,8623943906.326723
920000,8624163906.326723
925000,8624383906.326723
930000,8624603906.326723
935000,8624823906.326723
940000,8625043906.326723
945000,8625263906.326723
950000,8625483906.326723
955000,8625703906.326723
960000,8625923906.326723
965000,8626143906.326723
970000,8626363906.326723
975000,8626583906.326723
980000,8626803906.326723
985000,8627023906.326723
990000,8627243906.326723
995000,8627463906.326723
1000000,8627683906.326723
