L,runtime
0,862915085.2800002
5000,863595085.2800002
10000,864275085.2800002
15000,864955085.2800002
20000,865635085.2800002
25000,866315085.2800002
30000,866995085.2800002
35000,867675085.2800002
40000,868355085.2800002
45000,869035085.2800002
50000,869715085.2800002
55000,870444437.2800002
60000,871642851.5200002
65000,872942851.5200002
70000,874242851.5200002
75000,875542851.5200002
80000,876842851.5200002
85000,878142851.5200002
90000,879476264.5600002
95000,888198279.600005
100000,899418279.600005
105000,910638279.600005
110000,921858279.600005
115000,933078279.600005
120000,944406221.600005
125000,956086405.4400053
130000,967926405.4400053
135000,979766405.4400053
140000,991606405.4400053
145000,1003446405.4400053
150000,1015286405.4400053
155000,1027126405.4400053
160000,1038966405.4400053
165000,1050806405.4400053
170000,1062646405.4400053
175000,1074486405.4400053
180000,1086326405.4400053
185000,1098166405.4400053
190000,1110006405.4400053
195000,1122093363.8400056
200000,1142071669.8400068
205000,1163831669.8400068
210000,1185591669.8400068
215000,1207351669.8400068
220000,1229111669.8400068
225000,1250871669.8400068
230000,1272631669.8400068
235000,1294391669.8400068
240000,1316151669.8400068
245000,1337911669.8400068
250000,1359671669.8400068
255000,1381431669.8400068
260000,1403191669.8400068
265000,1424951669.8400068
270000,1446711669.8400068
275000,1468471669.8400068
280000,1490231669.8400068
285000,1511991669.8400068
290000,1533751669.8400068
295000,1555511669.8400068
300000,1577271669.8400068
305000,1599031669.8400068
310000,1620791669.8400068
315000,1642551669.8400068
320000,1664311669.8400068
325000,1686071669.8400068
330000,1707831669.8400068
335000,1729591669.8400068
340000,1751351669.8400068
345000,1773111669.8400068
350000,1794871669.8400068
355000,1816631669.8400068
360000,1838391669.8400068
365000,1860151669.8400068
370000,1881911669.8400068
375000,1903671669.8400068
380000,1925431669.8400068
385000,1947191669.8400068
390000,1968951669.8400068
395000,1990711669.8400068
400000,2012471669.8400068
405000,2034231669.8400068
410000,2055991669.8400068
415000,2077751669.8400068
420000,2099511669.8400068
425000,2121271669.8400068
430000,2143031669.8400068
435000,2164791669.840007
440000,2186551669.840007
445000,2208311669.840007
450000,2230071669.840007
455000,2251831669.840007
460000,2273591669.840007
465000,2295351669.840007
470000,2317111669.840007
475000,2338871669.840007
480000,2360631669.840007
485000,2382391669.840007
490000,2404151669.840007
495000,2425911669.840007
500000,2447671669.840007
505000,2469431669.840007
510000,2491191669.840007
515000,2512951669.840007
520000,2534711669.840007
525000,2556471669.840007
530000,2578231669.840007
535000,2599991669.840007
540000,2621751669.840007
545000,2643511669.840007
550000,2665271669.840007
555000,2687031669.840007
560000,2708791669.840007
565000,2730551669.840007
570000,2752311669.840007
575000,2774071669.840007
580000,2795831669.840007
585000,2817591669.840007
590000,2839351669.840007
595000,2861111669.840007
600000,2882871669.840007
605000,2904631669.840007
610000,2926391669.840007
615000,2948151669.840007
620000,2969911669.840007
625000,2991671669.840007
630000,3013431669.840007
635000,3035191669.840007
640000,3056951669.840007
645000,3078711669.840007
650000,3100471669.840007
655000,3122231669.840007
660000,3143991669.840007
665000,3165751669.840007
670000,3187511669.840007
675000,3209271669.840007
680000,3231031669.840007
685000,3252791669.840007
690000,3274551669.840007
695000,3296311669.840007
700000,3318071669.840007
705000,3339831669.840007
710000,3361591669.840007
715000,3383351669.840007
720000,3405111669.840007
725000,3426871669.840007
730000,3448631669.840007
735000,3470391669.840007
740000,3492151669.840007
745000,3513911669.840007
750000,3535671669.840007
755000,3557431669.840007
760000,3579191669.840007
765000,3600951669.840007
770000,3622711669.840007
775000,3644471669.840007
780000,3666231669.840007
785000,3687991669.840007
790000,3709751669.840007
795000,3731511669.840007
800000,3753271669.840007
805000,3775031669.840007
810000,3796791669.840007
815000,3818551669.840007
820000,3840311669.840007
825000,3862071669.840007
830000,3883831669.840007
835000,3905591669.840007
840000,3927351669.840007
845000,3949111669.840007
850000,3970871669.840007
855000,3992631669.840007
860000,4014391669.840007
865000,4036151669.840007
870000,4057911669.840007
875000,4079671669.840007
880000,4101431669.840007
885000,4123191669.840007
890000,4144951669.840007
895000,4166711669.840007
900000,4188471669.840007
905000,4210231669.840007
910000,4231991669.840007
915000,4253751669.840007
920000,4275511669.840007
925000,4297271669.840007
930000,4319031669.840007
935000,4340791669.840007
940000,4362551669.840007
945000,4384311669.840007
950000,4406071669.840007
955000,4427831669.840007
960000,4449591669.840007
965000,4471351669.840007
970000,4493111669.840007
975000,4514871669.840007
980000,4536631669.840007
985000,4558391669.840007
990000,4580151669.840007
995000,4601911669.840007
1000000,4623671669.840007
