filename,bytes,last_modified_http,etag,sha256,url,local_reproduction_role
nsys_report_nid005045_22511.nsys-rep,53698793,"Wed, 08 Jul 2026 21:47:26 GMT","33360e9-6562074156c66",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005045_22511.nsys-rep,not_downloaded_locally
nsys_report_nid005059_267641.nsys-rep,54445786,"Wed, 08 Jul 2026 21:46:41 GMT","33ec6da-65620715f187d",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005059_267641.nsys-rep,not_downloaded_locally
nsys_report_nid005060_269819.nsys-rep,53284344,"Wed, 08 Jul 2026 21:45:55 GMT","32d0df8-656206ea3a418",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005060_269819.nsys-rep,not_downloaded_locally
nsys_report_nid005061_182140.nsys-rep,52954604,"Wed, 08 Jul 2026 21:47:23 GMT","32805ec-6562073dfd5cf",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005061_182140.nsys-rep,not_downloaded_locally
nsys_report_nid005062_210995.nsys-rep,53236761,"Wed, 08 Jul 2026 21:46:37 GMT","32c5419-656207128f546",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005062_210995.nsys-rep,not_downloaded_locally
nsys_report_nid005063_217807.nsys-rep,53664797,"Wed, 08 Jul 2026 21:47:40 GMT","332dc1d-6562074ecff40",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005063_217807.nsys-rep,not_downloaded_locally
nsys_report_nid005064_220126.nsys-rep,53973001,"Wed, 08 Jul 2026 21:47:19 GMT","3379009-6562073ac8157",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005064_220126.nsys-rep,not_downloaded_locally
nsys_report_nid005065_223162.nsys-rep,54376775,"Wed, 08 Jul 2026 21:47:09 GMT","33db947-65620730c59d2",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005065_223162.nsys-rep,not_downloaded_locally
nsys_report_nid005066_101729.nsys-rep,54454106,"Wed, 08 Jul 2026 21:46:55 GMT","33ee75a-656207236baf7",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005066_101729.nsys-rep,not_downloaded_locally
nsys_report_nid005067_109824.nsys-rep,53403512,"Wed, 08 Jul 2026 21:47:37 GMT","32edf78-6562074b833c8",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005067_109824.nsys-rep,not_downloaded_locally
nsys_report_nid005068_34039.nsys-rep,53458140,"Wed, 08 Jul 2026 21:46:27 GMT","32fb4dc-656207088fca2",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005068_34039.nsys-rep,not_downloaded_locally
nsys_report_nid005069_224936.nsys-rep,55067556,"Wed, 08 Jul 2026 21:46:23 GMT","34843a4-656207054312a",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005069_224936.nsys-rep,not_downloaded_locally
nsys_report_nid005070_275098.nsys-rep,53381949,"Wed, 08 Jul 2026 21:46:34 GMT","32e8b3d-6562070f5430e",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005070_275098.nsys-rep,not_downloaded_locally
nsys_report_nid005071_265731.nsys-rep,53883895,"Wed, 08 Jul 2026 21:46:58 GMT","33633f7-65620726ba5ae",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005071_265731.nsys-rep,not_downloaded_locally
nsys_report_nid005072_221070.nsys-rep,55832115,"Wed, 08 Jul 2026 21:46:13 GMT","353ee33-656206fb34e26",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005072_221070.nsys-rep,not_downloaded_locally
nsys_report_nid005074_290298.nsys-rep,54903525,"Wed, 08 Jul 2026 21:47:02 GMT","345c2e5-6562072a18a64",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005074_290298.nsys-rep,not_downloaded_locally
nsys_report_nid005075_243367.nsys-rep,53920550,"Wed, 08 Jul 2026 21:46:48 GMT","336c326-6562071cb6e89",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005075_243367.nsys-rep,not_downloaded_locally
nsys_report_nid005078_289559.nsys-rep,54869488,"Wed, 08 Jul 2026 21:46:30 GMT","3453df0-6562070c0d557",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005078_289559.nsys-rep,not_downloaded_locally
nsys_report_nid005079_269144.nsys-rep,55283052,"Wed, 08 Jul 2026 21:46:09 GMT","34b8d6c-656206f7bd331",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005079_269144.nsys-rep,not_downloaded_locally
nsys_report_nid005080_238383.nsys-rep,53194598,"Wed, 08 Jul 2026 21:47:44 GMT","32baf66-656207520e058",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005080_238383.nsys-rep,not_downloaded_locally
nsys_report_nid005081_241771.nsys-rep,55200160,"Wed, 08 Jul 2026 21:47:33 GMT","34a49a0-6562074803bd4",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005081_241771.nsys-rep,not_downloaded_locally
nsys_report_nid005082_248355.nsys-rep,53668633,"Wed, 08 Jul 2026 21:47:05 GMT","332eb19-6562072d6d2db",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005082_248355.nsys-rep,not_downloaded_locally
nsys_report_nid005084_167583.nsys-rep,54860702,"Wed, 08 Jul 2026 21:46:20 GMT","3451b9e-65620701ddf14",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005084_167583.nsys-rep,not_downloaded_locally
nsys_report_nid005085_230049.nsys-rep,55523688,"Wed, 08 Jul 2026 21:47:16 GMT","34f3968-6562073775820",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005085_230049.nsys-rep,not_downloaded_locally
nsys_report_nid005087_237919.nsys-rep,53803040,"Wed, 08 Jul 2026 21:46:06 GMT","334f820-656206f4561db",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005087_237919.nsys-rep,not_downloaded_locally
nsys_report_nid005092_236037.nsys-rep,55247658,"Wed, 08 Jul 2026 21:46:44 GMT","34b032a-6562071966492",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005092_236037.nsys-rep,not_downloaded_locally
nsys_report_nid005093_237158.nsys-rep,55166380,"Wed, 08 Jul 2026 21:46:51 GMT","349c5ac-656207200c6a0",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005093_237158.nsys-rep,not_downloaded_locally
nsys_report_nid005094_230288.nsys-rep,53100308,"Wed, 08 Jul 2026 21:47:30 GMT","32a3f14-6562074497c5e",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005094_230288.nsys-rep,not_downloaded_locally
nsys_report_nid005096_171056.nsys-rep,53751958,"Wed, 08 Jul 2026 21:47:12 GMT","3343096-6562073410609",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005096_171056.nsys-rep,not_downloaded_locally
nsys_report_nid005097_178808.nsys-rep,53938795,"Wed, 08 Jul 2026 21:45:58 GMT","3370a6b-656206ed92b0e",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005097_178808.nsys-rep,not_downloaded_locally
nsys_report_nid005098_166874.nsys-rep,53206516,"Wed, 08 Jul 2026 21:46:16 GMT","32bddf4-656206fe7bbde",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005098_166874.nsys-rep,not_downloaded_locally
nsys_report_nid005099_182021.nsys-rep,53445272,"Wed, 08 Jul 2026 21:46:02 GMT","32f8298-656206f0de6e6",not_computed,http://storage2.spcl.ethz.ch/traces/ai/llama/Llama7B_N32_GPU128_PP1_DP128_7B_BS128/nsys_reports/nsys_report_nid005099_182021.nsys-rep,not_downloaded_locally
