role,classification,container_or_path,archive_member,bytes,mtime,sha256,notes
source_archive,exact,/home/tbonato/LLAMP_Test/data/raw/vllm_recent_runs_20260407.zip,,1168072301,2026-04-07T17:53:28.642301507+02:00,99555a2c4121ac63a8ca30ef90d30f793064c892fd62d54ccabe9a228c12eb48,"49-entry local archive; 1,845,070,057 bytes uncompressed; do not commit or upload through Git"
raw_nsys,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/nsys/nsys_report_nid007360_28381.nsys-rep,134130136,2026-04-07T17:01:14+02:00,db61a8f42b8d182ecb1f0f7fa554ddbc1a610919ebd7d02847f7f211ec0f0181,"Trace job 1812656; host nid007360; one NSYS report per node"
raw_nsys,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/nsys/nsys_report_nid007365_17404.nsys-rep,133559747,2026-04-07T17:01:14+02:00,73b7a8b5290b7d10f471add21982b00c6babab7cf68f9b3320e5b821f6ef8e3f,"Trace job 1812656; host nid007365; one NSYS report per node"
run_manifest,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/RUN_INFO.md,594,2026-04-07T17:01:14+02:00,2923eae73c2019de42a0ec9d54358f3457ac9ee4febf9724e9a484e7e865da5f,"Identifies Llama-3.1-8B-Instruct N2/GPU8/TP8; 64 prompts; max_tokens=128; trace job 1812656; GOAL job 1812658"
trace_log,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/logs/trace_1812656.out,1189432,2026-04-07T17:01:14+02:00,58552d3406621efd06a911fb83c3bfee0eecb486894a3daf730442dc3cd64ea6,"Contains the exact launcher command and vLLM 0.8.5 configuration; not committed because it also contains prompt/output text"
goal_log,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/logs/goal_1812658.out,5538,2026-04-07T17:01:14+02:00,03e82cd2dc4889642b86f8346072a2534340f0a77c006865d2598edbe8888922,"Records GOAL line/byte counts and LogGOPSim parameters/results"
lgs_log,exact,vllm_recent_runs_20260407.zip,vllm_recent_runs_20260407/vllm_external_8b_hb128_1812656/logs/lgs_output.txt,275,2026-04-07T17:01:14+02:00,4c388030ee39864704e3fe3da071fbee0e1008a8a6af7f1fe50189538e92b594,"Recorded Host0=3450438267 and Host1=3450416692 ns at L=3700 ns G=0.04 ns/byte"
sqlite_export,derived_cache_only,/home/tbonato/LLAMP_Test/SC26_e2e_slides_laptop-cjl91217-wsl2_20260723T182036+0200/fig6/vllm/sqlite/nsys_report_nid007360_28381.sqlite,,432893952,2026-07-23T18:48:34.685979478+02:00,0e4c34e22e4e470c4052bd8cf89b86bd4d9d6add00ee4895aaf9a986392c4952,"Fresh export with Nsight Systems 2025.4.1; not an original input"
sqlite_export,derived_cache_only,/home/tbonato/LLAMP_Test/SC26_e2e_slides_laptop-cjl91217-wsl2_20260723T182036+0200/fig6/vllm/sqlite/nsys_report_nid007365_17404.sqlite,,431054848,2026-07-23T18:48:49.239909630+02:00,9a8ca5dd4e2b797bec4724af53dc2e519b722a83a53b76c5b8d676a5d54c7572,"Fresh export with Nsight Systems 2025.4.1; not an original input"
fresh_goal,derived_from_exact_raw,/home/tbonato/LLAMP_Test/SC26_e2e_slides_laptop-cjl91217-wsl2_20260723T182036+0200/fig6/vllm/goal_regen/InterNode_MicroEvents_Dependency.goal,,42951412,2026-07-23T18:49:04.885872992+02:00,740e3cef35e160ec47875924e199c615b1ab5e1dc3daf3d8ff4fe357cf2e50c4,"Fresh GOAL: 1,641,027 lines and num_ranks 2; exact recorded byte/line counts"
fresh_bin,derived_from_exact_raw,/home/tbonato/LLAMP_Test/SC26_e2e_slides_laptop-cjl91217-wsl2_20260723T182036+0200/fig6/vllm/goal_regen/simulation.bin,,30207946,2026-07-23T18:49:24.797869124+02:00,9cfa3b84b8a565189c5a7db25b7626bfdc6008b81405ccefc73c0e96f4b2c9ef,"Fresh txt2bin result; 709,740 LogGOPSim events"
paper_candidate_bin,derived_cache_only,/home/tbonato/LLAMP_Test/output/vllm_8b_128tok/lgs.bin,,8491894,2026-04-08T20:31:23.587125457+02:00,63cc587722a842a47799857b123b32a118e45e40b95053ae80123073149de6be,"Preserved paper-era reduced/synthetic BIN; only 28.1% of fresh full BIN size; the construction step is not recovered"
paper_latency_csv,derived_cache_only,/home/tbonato/LLAMP_Test/output/vllm_llama8b_128tok/latency_runtime.csv,,5326,2026-04-08T01:20:25.026456960+02:00,a2564790284e72bda5432775679867774bc982f50cf4220858db8743105290d4,"CSV consumed by the paper plotting script; not an original trace"
paper_bandwidth_csv,derived_cache_only,/home/tbonato/LLAMP_Test/output/vllm_llama8b_128tok/bandwidth_runtime.csv,,4081,2026-04-08T01:20:25.026456960+02:00,04f00853b1234166767cbd327f2207ba429cede3a84a3251e0a874c0697130db,"CSV consumed by the paper plotting script; not an original trace"
