G,runtime
0.0,2465710.0176000046
0.002,2532818.8816000028
0.004,2600630.2915200046
0.006,2669836.3075200026
0.008,2739042.3235200043
0.01,2810146.1014400027
0.012,2894173.5312000047
0.014,2986988.3491199994
0.016,3081360.189120005
0.018,3175732.0291199996
0.02,3270103.869120005
0.022,3364475.70912
0.024,3458847.549120005
0.026,3553219.3891199995
0.028,3647591.229120005
0.03,3741963.0691199997
0.032,3836334.9091200056
0.034,3930706.74912
0.036,4025078.5891200053
0.038,4119450.4291199995
0.04,4213822.269120006
0.042,4308194.10912
0.044,4402565.949120004
0.046,4496937.789120003
0.048,4591309.629120006
0.05,4685681.46912
0.052,4780053.309120001
0.054,4874425.149120005
0.056,4968796.989120007
0.058,5063168.82912
0.06,5157540.66912
0.062,5251912.509120007
0.064,5346284.349120007
0.066,5440656.189119999
0.068,5535028.029119999
0.07,5629399.869120008
0.072,5723771.709120007
0.074,5818143.54912
0.076,5912515.3891199995
0.078,6006887.229120009
0.08,6101259.069120008
0.082,6195630.90912
0.084,6290002.749119999
0.086,6384374.589120009
0.088,6478746.429120008
0.09,6573118.26912
0.092,6667490.109119998
0.094,6761861.94912001
0.096,6856233.789120007
0.098,6950605.629120001
0.1,7044977.469119999
0.102,7139349.309120011
0.104,7233721.149120008
0.106,7328092.989120001
0.108,7422464.829119998
0.11,7516836.669120011
0.112,7611208.509120009
0.114,7705580.349120001
0.116,7799952.189119998
0.118,7894324.029120011
0.12,7988695.869120009
