L,runtime
0,4063822.269120006
5000,4213822.269120005
10000,4363822.269120006
15000,4513822.269120006
20000,4663822.269120006
25000,4813822.269120006
30000,4963822.269120006
35000,5113822.269120006
40000,5263822.269120006
45000,5413822.269120006
50000,5563822.269120006
55000,5713822.269120006
60000,5863822.269120006
65000,6013822.269120006
70000,6163822.269120006
75000,6313822.269120006
80000,6463822.269120006
85000,6613822.269120006
90000,6763822.269120006
95000,6917298.907200007
100000,7072298.907200006
105000,7227298.907200006
110000,7382298.907200006
115000,7537298.907200006
120000,7692298.907200007
125000,7847298.907200006
130000,8002298.907200006
135000,8157298.907200006
140000,8312298.907200006
145000,8467298.907200005
150000,8622298.907200005
155000,8777298.907200001
160000,8932298.907199997
165000,9087298.907199996
170000,9242298.907199994
175000,9397298.907199994
180000,9552298.907199994
185000,9707298.907199994
190000,9862298.907199994
195000,10017298.907199992
200000,10172298.907199992
205000,10327298.907199992
210000,10482298.90719999
215000,10637298.90719999
220000,10792298.90719999
225000,10951150.901439996
230000,11111150.901439996
235000,11271150.901439996
240000,11431150.901439995
245000,11591150.901439996
250000,11751150.901439995
255000,11911150.901439995
260000,12071150.901439995
265000,12231150.901439995
270000,12391150.901439993
275000,12551150.901439993
280000,12711150.901439993
285000,12871150.901439993
290000,13031150.901439993
295000,13191150.901439993
300000,13351150.901439993
305000,13511150.901439993
310000,13671150.901439993
315000,13831150.90143999
320000,13991150.90143999
325000,14151150.90143999
330000,14311150.90143999
335000,14471150.90143999
340000,14631150.90143999
345000,14791150.90143999
350000,14951150.901439989
355000,15111150.901439989
360000,15271150.901439989
365000,15431150.901439989
370000,15591150.901439989
375000,15751150.901439989
380000,15911150.901439989
385000,16071150.901439989
390000,16231150.901439989
395000,16391150.901439989
400000,16551150.901439989
405000,16711150.901439989
410000,16871150.90143999
415000,17031150.90143999
420000,17191150.90143999
425000,17351150.90143999
430000,17511150.901439983
435000,17671150.901439983
440000,17831150.901439983
445000,17991150.90143998
450000,18151150.901439976
455000,18311150.901439976
460000,18471150.901439976
465000,18631150.901439972
470000,18791150.901439972
475000,18951150.901439972
480000,19111150.901439972
485000,19271150.901439995
490000,19431150.90143999
495000,19591150.90143999
500000,19751150.90143999
505000,19911150.90143999
510000,20071150.901439983
515000,20231150.901439983
520000,20391150.901439983
525000,20551150.901439983
530000,20711150.90143998
535000,20871150.901439976
540000,21031150.901439976
545000,21191150.901439976
550000,21351150.901439976
555000,21511150.901439976
560000,21671150.90143997
565000,21831150.90143997
570000,21991150.90143997
575000,22151150.90143997
580000,22311150.90143997
585000,22471150.901439965
590000,22631150.90143996
595000,22791150.90143996
600000,22951150.90143996
605000,23111150.90143996
610000,23271150.90143996
615000,23431150.901439957
620000,23591150.901439954
625000,23751150.901439954
630000,23911150.901439954
635000,24071150.901439954
640000,24231150.901439954
645000,24391150.901439954
650000,24551150.901439946
655000,24711150.90143995
660000,24871150.90143995
665000,25031150.90143995
670000,25191150.90143995
675000,25351150.90143995
680000,25511150.90143995
685000,25671150.901439942
690000,25831150.901439942
695000,25991150.901439942
700000,26151150.901439942
705000,26311150.901439942
710000,26471150.901439942
715000,26631150.901439942
720000,26791150.901439942
725000,26951150.901439935
730000,27111150.901439935
735000,27271150.901439935
740000,27431150.901439935
745000,27591150.901439935
750000,27751150.901439935
755000,27911150.901439935
760000,28071150.901439935
765000,28231150.901439935
770000,28391150.901439928
775000,28551150.901439928
780000,28711150.901439928
785000,28871150.901439928
790000,29031150.901439928
795000,29191150.901439928
800000,29351150.901439928
805000,29511150.901439928
810000,29671150.901439928
815000,29831150.901439928
820000,29991150.90143992
825000,30151150.90143992
830000,30311150.90143992
835000,30471150.90143992
840000,30631150.90143992
845000,30791150.90143992
850000,30951150.90143992
855000,31111150.90143992
860000,31271150.90143992
865000,31431150.90143992
870000,31591150.90143992
875000,31751150.901439913
880000,31911150.901439913
885000,32071150.901439913
890000,32231150.901439913
895000,32391150.901439913
900000,32551150.901439913
905000,32711150.901439913
910000,32871150.901439913
915000,33031150.901439913
920000,33191150.901439913
925000,33351150.901439913
930000,33511150.901439913
935000,33671150.90143991
940000,33831150.901439905
945000,33991150.901439905
950000,34151150.901439905
955000,34311150.901439905
960000,34471150.901439905
965000,34631150.901439905
970000,34791150.901439905
975000,34951150.901439905
980000,35111150.901439905
985000,35271150.901439905
990000,35431150.901439905
995000,35591150.901439905
1000000,35751150.901439905
