L,runtime
0,10570046.07999996
5000,10575046.07999996
10000,10580046.07999996
15000,10585046.07999996
20000,10590046.07999996
25000,10595046.07999996
30000,10600046.07999996
35000,10605046.07999996
40000,10610046.07999996
45000,10615046.07999996
50000,10620046.07999996
55000,10625046.07999996
60000,10630046.07999996
65000,10635046.07999996
70000,10640046.07999996
75000,10645046.07999996
80000,10650046.07999996
85000,10655046.07999996
90000,10660046.07999996
95000,10665046.07999996
100000,10670046.07999996
105000,10675046.07999996
110000,10680046.07999996
115000,10685046.07999996
120000,10690046.07999996
125000,10695046.07999996
130000,10700046.07999996
135000,10705046.07999996
140000,10710046.07999996
145000,10715046.07999996
150000,10720046.07999996
155000,10725046.07999996
160000,10730046.07999996
165000,10735046.07999996
170000,10740046.07999996
175000,10745046.07999996
180000,10750046.07999996
185000,10755046.07999996
190000,10760046.07999996
195000,10765046.07999996
200000,10770046.07999996
205000,10775046.07999996
210000,10783885.07423996
215000,10793885.07423996
220000,10811108.993599998
225000,10894699.98784
230000,11021939.901439998
235000,11181939.901439998
240000,11341939.901439998
245000,11501939.901439998
250000,11661939.901439998
255000,11821939.901439996
260000,11981939.901439996
265000,12141939.901439996
270000,12301939.901439996
275000,12461939.901439996
280000,12621939.901439996
285000,12781939.901439995
290000,12941939.901439995
295000,13101939.901439995
300000,13261939.901439995
305000,13421939.901439996
310000,13581939.901439995
315000,13741939.901439995
320000,13901939.901439995
325000,14061939.901439993
330000,14221939.901439993
335000,14381939.901439993
340000,14541939.901439993
345000,14701939.901439993
350000,14861939.901439993
355000,15021939.901439993
360000,15181939.901439993
365000,15341939.90143999
370000,15501939.90143999
375000,15661939.90143999
380000,15821939.90143999
385000,15981939.90143999
390000,16141939.90143999
395000,16301939.90143999
400000,16461939.90143999
405000,16621939.90143999
410000,16781939.90143999
415000,16941939.90143999
420000,17101939.90143999
425000,17261939.901439987
430000,17421939.901439983
435000,17581939.901439983
440000,17741939.901439983
445000,17901939.90143998
450000,18061939.90143998
455000,18221939.901439976
460000,18381939.901439976
465000,18541939.901439972
470000,18701939.901439972
475000,18861939.901439972
480000,19021939.901439972
485000,19181939.90143999
490000,19341939.90143999
495000,19501939.90143999
500000,19661939.90143999
505000,19821939.901439987
510000,19981939.901439983
515000,20141939.901439983
520000,20301939.901439983
525000,20461939.901439983
530000,20621939.90143998
535000,20781939.901439976
540000,20941939.901439976
545000,21101939.901439976
550000,21261939.901439976
555000,21421939.901439972
560000,21581939.90143997
565000,21741939.90143997
570000,21901939.90143997
575000,22061939.90143997
580000,22221939.90143997
585000,22381939.90143996
590000,22541939.90143996
595000,22701939.901439965
600000,22861939.901439965
605000,23021939.901439965
610000,23181939.901439965
615000,23341939.901439957
620000,23501939.901439957
625000,23661939.901439957
630000,23821939.901439957
635000,23981939.901439957
640000,24141939.901439957
645000,24301939.901439957
650000,24461939.90143995
655000,24621939.90143995
660000,24781939.90143995
665000,24941939.90143995
670000,25101939.90143995
675000,25261939.90143995
680000,25421939.90143995
685000,25581939.901439942
690000,25741939.901439942
695000,25901939.901439942
700000,26061939.901439942
705000,26221939.901439942
710000,26381939.901439942
715000,26541939.901439942
720000,26701939.901439942
725000,26861939.901439935
730000,27021939.901439935
735000,27181939.901439935
740000,27341939.901439935
745000,27501939.901439935
750000,27661939.901439935
755000,27821939.901439935
760000,27981939.901439935
765000,28141939.901439935
770000,28301939.90143993
775000,28461939.901439928
780000,28621939.901439928
785000,28781939.901439928
790000,28941939.901439928
795000,29101939.901439928
800000,29261939.901439928
805000,29421939.901439928
810000,29581939.901439928
815000,29741939.901439928
820000,29901939.90143992
825000,30061939.90143992
830000,30221939.90143992
835000,30381939.90143992
840000,30541939.90143992
845000,30701939.90143992
850000,30861939.90143992
855000,31021939.90143992
860000,31181939.90143992
865000,31341939.90143992
870000,31501939.90143992
875000,31661939.901439913
880000,31821939.901439913
885000,31981939.901439913
890000,32141939.901439913
895000,32301939.901439913
900000,32461939.901439913
905000,32621939.901439913
910000,32781939.901439913
915000,32941939.901439913
920000,33101939.901439913
925000,33261939.901439913
930000,33421939.901439913
935000,33581939.90143991
940000,33741939.901439905
945000,33901939.90143991
950000,34061939.90143991
955000,34221939.90143991
960000,34381939.90143991
965000,34541939.90143991
970000,34701939.90143991
975000,34861939.90143991
980000,35021939.90143991
985000,35181939.90143991
990000,35341939.90143991
995000,35501939.90143991
1000000,35661939.90143991
