G,runtime
0.0,76693740.63872036
0.002,77453958.23872048
0.004,78233495.85152055
0.006,80613326.34528133
0.008,84847561.01856354
0.01,89124424.72352302
0.012,94467024.85760249
0.014,100346632.79168
0.016,106461376.85056373
0.018,112594630.29824251
0.02,118735535.13023947
0.022,125076731.23008461
0.024,131539113.81184304
0.026,138048802.76799798
0.028,144620228.5600088
0.03,151191654.35200053
0.032,157763080.1439984
0.034,164334505.936002
0.036,170905931.72800323
0.038,177477357.5200057
0.04,184048783.31199887
0.042,190620209.10400686
0.044,197191634.89600393
0.046,203763060.68800303
0.048,210334486.48000592
0.05,216905912.27200308
0.052,223477338.06400436
0.054,230048763.85600013
0.056,236620189.6480154
0.058,243191615.43999594
0.06,249763041.23199987
0.062,256334467.02401814
0.064,262907129.6799824
0.066,269480652.62400895
0.068,276054175.56801337
0.07,282627770.8319873
0.072,289203390.92800504
0.074,295779011.02401835
0.076,302427963.204478
0.078,309105091.52447224
0.08,315783472.0684879
0.082,322461852.61246765
0.084,329140937.5404863
0.086,335821767.62050533
0.088,342502868.29248285
0.09,349185967.4284669
0.092,355869066.5644845
0.094,362552165.7004729
0.096,369235264.8364898
0.098,375919000.64449847
0.1,382606247.10848516
0.102,389295063.87646943
0.104,395985774.02048516
0.106,402676737.4764657
0.108,409367700.93248135
0.11,416059100.2285
0.112,422750587.9725018
0.114,429442075.7164698
0.116,436133563.460476
0.118,442825051.2044645
0.12,449516538.94847834
