L,runtime
0,183593783.31199917
5000,184048783.31199887
10000,184503783.31199858
15000,184958783.31199846
20000,185417077.0719986
25000,185885293.5519987
30000,186373473.4905588
35000,186873549.0105588
40000,187382164.0505588
45000,188312655.70240074
50000,189277655.70240057
55000,190299618.17024103
60000,191359385.21024084
65000,192419385.21024066
70000,193487270.33024046
75000,194562270.33024028
80000,195637270.33024013
85000,196712270.33023998
90000,197787270.33023983
95000,198862270.33023968
100000,199937270.3302395
105000,201145200.2438399
110000,202371213.20383972
115000,203601213.2038395
120000,204831213.2038393
125000,206061213.20383912
130000,207291213.20383894
135000,208521213.20383897
140000,209751213.20383903
145000,210981213.20383912
150000,212211213.2038392
155000,213441213.20383936
160000,214679663.91615942
165000,215922104.8703996
170000,217172104.87039968
175000,218422104.8703997
180000,219672104.87039968
185000,220922104.87039968
190000,222172104.87039968
195000,223422104.87039968
200000,224686115.85311994
205000,225959895.81856018
210000,227264471.80704015
215000,228569471.8070402
220000,229958195.5478409
225000,231598967.2540817
230000,233383967.25408146
235000,235168967.25408122
240000,236953967.254081
245000,238738967.25408077
250000,240523967.25408053
255000,242308967.25408033
260000,244093967.2540801
265000,245878967.25407985
270000,247663967.2540796
275000,249448967.25407937
280000,251233967.25407916
285000,253018967.25407892
290000,254803967.2540787
295000,256588967.25407848
300000,258373967.25407824
305000,260158967.254078
310000,261943967.2540778
315000,263728967.25407755
320000,265513967.25407732
325000,267298967.25407708
330000,269083967.2540769
335000,270868967.25407666
340000,272653967.25407654
345000,274438967.2540766
350000,276223967.2540766
355000,278008967.2540766
360000,279793967.25407666
365000,281578967.2540768
370000,283363967.25407684
375000,285152677.16831696
380000,286942677.1683171
385000,288732677.16831714
390000,290522677.16831726
395000,292312677.1683174
400000,294102677.1683176
405000,295892677.1683178
410000,297682677.16831785
415000,299472677.16831803
420000,301262677.1683182
425000,303052677.16831833
430000,304842677.16831845
435000,306632677.1683186
440000,308422677.16831875
445000,310212677.16831887
450000,312002677.16831905
455000,313792677.16831917
460000,315582677.1683193
465000,317372677.16831946
470000,319162677.16831964
475000,320952677.1683197
480000,322742677.1683198
485000,324532677.16832
490000,326322677.1683201
495000,328112677.16832024
500000,329902677.1683203
505000,331692677.1683204
510000,333482677.1683204
515000,335272677.1683205
520000,337082407.69952124
525000,338897407.6995213
530000,340712407.69952136
535000,342527407.6995214
540000,344343215.3737614
545000,346163215.3737615
550000,347983215.37376153
555000,349898666.6160056
560000,352123081.7296044
565000,354398081.7296045
570000,356693844.71776587
575000,359013844.717766
580000,361333844.71776605
585000,363653844.7177663
590000,365973844.7177664
595000,368293844.7177664
600000,370613844.7177664
605000,372933844.7177664
610000,375253844.7177664
615000,377573844.7177664
620000,379893844.7177664
625000,382213844.7177664
630000,384533844.7177664
635000,386853844.7177664
640000,389173844.7177664
645000,391493844.71776646
650000,393813844.7177664
655000,396133844.71776634
660000,398453844.71776634
665000,400773844.71776634
670000,403093844.7177663
675000,405413844.7177663
680000,407733844.7177663
685000,410053844.7177663
690000,412373844.71776634
695000,414693844.71776646
700000,417013844.7177666
705000,419333844.71776676
710000,421653844.7177669
715000,423973844.71776694
720000,426293844.717767
725000,428613844.71776706
730000,430933844.7177671
735000,433253844.7177672
740000,435573844.7177671
745000,437893844.71776706
750000,440213844.71776694
755000,442533844.71776694
760000,444853844.7177668
765000,447173844.71776676
770000,449493844.7177667
775000,451813844.71776664
780000,454133844.7177666
785000,456453844.7177666
790000,458773844.7177666
795000,461093844.7177666
800000,463413844.7177666
805000,465733844.7177666
810000,468053844.7177666
815000,470373844.7177666
820000,472693844.7177666
825000,475013844.7177666
830000,477333844.7177666
835000,479653844.7177666
840000,481973844.7177666
845000,484293844.7177666
850000,486613844.7177667
855000,488933844.7177667
860000,491253844.7177667
865000,493573844.7177668
870000,495893844.7177668
875000,498213844.7177669
880000,500533844.71776694
885000,502853844.71776694
890000,505173844.717767
895000,507493844.71776706
900000,509813844.71776706
905000,512133844.7177671
910000,514453844.7177671
915000,516773844.7177673
920000,519093844.71776736
925000,521413844.71776736
930000,523733844.7177674
935000,526053844.7177675
940000,528373844.7177675
945000,530693844.7177674
950000,533013844.7177675
955000,535333844.7177675
960000,537653844.7177677
965000,539973844.7177677
970000,542293844.7177677
975000,544613844.7177678
980000,546933844.7177678
985000,549253844.717768
990000,551573844.717768
995000,553893844.717768
1000000,556213844.717768
