L,runtime
0,841799413.6
5000,842779413.6
10000,843759413.6
15000,844739413.6
20000,845719413.6
25000,846699413.6
30000,847679413.6
35000,848659413.6
40000,849644521.91616
45000,850785392.4236798
50000,852095392.4236798
55000,853472822.23488
60000,855092822.23488
65000,856712822.23488
70000,858332822.23488
75000,859952822.23488
80000,861572822.23488
85000,863192822.23488
90000,864812822.23488
95000,866472281.10848
100000,868422281.10848
105000,870383652.0960021
110000,872653652.0960021
115000,874923652.0960021
120000,877193652.0960021
125000,879463652.0960021
130000,881733652.0960021
135000,884224494.7072009
140000,886804494.7072009
145000,889393744.8268809
150000,891983744.8268809
155000,894573744.8268809
160000,897165563.2192008
165000,899765563.2192008
170000,902369199.4534409
175000,904979199.4534409
180000,907633051.1884809
185000,910563051.1884809
190000,913493051.1884809
195000,916423051.1884809
200000,919353051.1884809
205000,922395712.3648
210000,925645712.3648
215000,928895712.3648
220000,932145712.3648
225000,935489875.1872
230000,939049875.1872
235000,942609875.1872
240000,946169875.1872
245000,949729875.1872
250000,953289875.1872
255000,956849875.1872
260000,960409875.1872
265000,963969875.1872
270000,967529875.1872
275000,971089875.1872
280000,974649875.1872
285000,978209875.1872
290000,981769875.1872
295000,985329875.1872
300000,988889875.1872
305000,992450251.9103999
310000,996020251.9103999
315000,999590251.9103999
320000,1003160251.9103999
325000,1006730251.9103999
330000,1010300251.9103999
335000,1013870251.9103999
340000,1017440251.9103999
345000,1021010251.9103999
350000,1024580251.9103999
355000,1028160468.6911999
360000,1031976204.0844799
365000,1035886204.0844799
370000,1039796204.0844799
375000,1043706204.0844799
380000,1047616204.0844799
385000,1051526204.0844799
390000,1055436204.0844799
395000,1059346204.0844799
400000,1063380767.4995191
405000,1067610767.4995191
410000,1071840767.4995191
415000,1076070767.499519
420000,1080300767.499519
425000,1084530767.499519
430000,1088760767.499519
435000,1092990767.499519
440000,1097220767.499519
445000,1101450767.499519
450000,1105680767.499519
455000,1109910767.499519
460000,1114140767.499519
465000,1118370767.499519
470000,1122600767.499519
475000,1126830767.499519
480000,1131060767.499519
485000,1135290767.499519
490000,1139520767.499519
495000,1143779359.1219194
500000,1148319359.1219194
505000,1152859359.1219194
510000,1157399359.1219194
515000,1161939359.1219194
520000,1166479359.1219194
525000,1171019359.1219194
530000,1175566056.3212795
535000,1180116056.3212795
540000,1184666056.3212795
545000,1189216056.3212795
550000,1193766056.3212795
555000,1198316056.3212795
560000,1202866056.3212795
565000,1207416056.3212795
570000,1211966056.3212795
575000,1216516056.3212795
580000,1221066056.3212795
585000,1225616056.3212795
590000,1230166056.3212795
595000,1234716056.3212795
600000,1239266056.3212795
605000,1243816056.3212795
610000,1248370082.8287995
615000,1252930082.8287995
620000,1257490082.8287995
625000,1262050082.8287995
630000,1266610082.8287995
635000,1271170082.8287995
640000,1275730082.8287995
645000,1280290082.8287995
650000,1284850082.8287995
655000,1289410082.8287995
660000,1293970082.8287995
665000,1298530082.8287995
670000,1303090082.8287995
675000,1307650082.8287995
680000,1312210082.8287995
685000,1316770082.8287995
690000,1321330082.8287995
695000,1325890082.8287995
700000,1330450082.8287995
705000,1335010082.8287995
710000,1339570082.8287995
715000,1344130082.8287995
720000,1348690082.8287995
725000,1353250082.8287995
730000,1357810082.8287995
735000,1362370082.8287995
740000,1366930082.8287995
745000,1371535196.5414386
750000,1376415196.5414386
755000,1381295196.5414386
760000,1386175196.5414386
765000,1391055196.5414386
770000,1395935196.5414386
775000,1400815196.5414386
780000,1405695196.5414386
785000,1410575196.5414386
790000,1415455196.5414386
795000,1420335196.5414386
800000,1425215196.5414386
805000,1430095196.5414386
810000,1434975196.5414386
815000,1439855196.5414386
820000,1444735196.5414386
825000,1449615196.5414386
830000,1454495196.5414386
835000,1459375196.5414386
840000,1464255196.5414386
845000,1469135196.5414386
850000,1474015196.5414386
855000,1478895196.5414386
860000,1483775196.5414386
865000,1488655196.5414386
870000,1493535196.5414386
875000,1498415196.5414386
880000,1503295196.5414386
885000,1508175196.5414386
890000,1513055196.5414386
895000,1517935196.5414386
900000,1522815196.5414386
905000,1527695196.5414386
910000,1532575196.5414386
915000,1537455196.5414386
920000,1542335196.5414386
925000,1547215196.5414386
930000,1552095196.5414386
935000,1556975196.5414386
940000,1561855196.5414386
945000,1566735196.5414386
950000,1571615196.5414386
955000,1576495196.5414386
960000,1581375196.5414386
965000,1586255196.5414386
970000,1591135196.5414386
975000,1596015196.5414386
980000,1600895196.5414386
985000,1605775196.5414386
990000,1610655196.5414386
995000,1615535196.5414386
1000000,1620415196.5414386
