L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176138023.77087846,-7489386.541120708,-4.0785776635392175
5000.0,184082410.31199884,176328023.77087846,-7754386.54112038,-4.212453828683345
10000.0,184537410.31199852,176518023.77087846,-8019386.541120052,-4.345669817063991
15000.0,184992410.3119985,176734375.65087846,-8258034.661120027,-4.463985656056083
20000.0,185450704.0719986,177086175.35263848,-8364528.719360113,-4.510378518764051
25000.0,185918149.5519987,177546175.35263848,-8371974.199360222,-4.503042989365973
30000.0,186404988.23199877,178006175.35263848,-8398812.879360288,-4.505680324877983
35000.0,186905063.75199875,178466175.35263848,-8438888.39936027,-4.515066756328063
40000.0,187413678.79199877,179027380.2230385,-8386298.568960279,-4.474752655737483
45000.0,188046042.7024008,179937380.2230385,-8108662.479362309,-4.312062281573759
50000.0,189011042.7024006,180847380.2230385,-8163662.4793621,-4.319145782511688
55000.0,190041743.1702411,181757380.2230385,-8284362.947202593,-4.359233297382137
60000.0,191101510.2102409,182667380.2230385,-8434129.987202406,-4.413429270089793
65000.0,192161510.2102407,183577380.2230385,-8584129.987202197,-4.467143278490289
70000.0,193229395.3302405,184487380.2230385,-8742015.107201993,-4.524164189543403
75000.0,194304395.33024037,185397380.2230385,-8907015.107201874,-4.584052302092026
80000.0,195379395.3302402,186307380.2230385,-9072015.107201695,-4.643281392015629
85000.0,196454395.33024004,187217380.2230385,-9237015.107201546,-4.701862277845255
90000.0,197529395.33023983,188127380.2230385,-9402015.107201338,-4.7598055426042105
95000.0,198604395.3302397,189040488.2201585,-9563907.110081226,-4.8155566215834975
100000.0,199713445.24384013,189955488.2201585,-9757957.02368164,-4.885979014466284
105000.0,200938445.24383992,191169429.9868785,-9769015.256961405,-4.861695453603541
110000.0,202164715.2038397,192489429.9868785,-9675285.216961175,-4.785842676456042
115000.0,203394715.20383957,193809429.9868785,-9585285.216961056,-4.712652050646845
120000.0,204624715.20383933,195129429.9868785,-9495285.216960818,-4.640341323139767
125000.0,205854715.20383915,196449429.9868785,-9405285.216960639,-4.568894721526025
130000.0,207084715.2038389,197769429.9868785,-9315285.2169604,-4.498296848123784
135000.0,208314715.20383897,199089429.9868785,-9225285.21696046,-4.42853266891558
140000.0,209544715.20383903,200409429.9868785,-9135285.21696052,-4.359587502874495
145000.0,210774715.2038392,201729429.9868785,-9045285.216960698,-4.29144701166506
150000.0,212004715.20383927,203049429.9868785,-8955285.216960758,-4.224097189701837
155000.0,213234715.20383936,204369429.9868785,-8865285.216960847,-4.1575243545527645
160000.0,214474450.91615945,205689429.9868785,-8785020.929280937,-4.096068735345593
165000.0,215718176.8703996,207009429.9868785,-8708746.88352108,-4.037094606428632
170000.0,216968176.87039968,208329429.9868785,-8638746.88352117,-3.981573246421894
175000.0,218218176.8703997,209649429.9868785,-8568746.8835212,-3.926687962666922
180000.0,219468176.8703997,210969429.9868785,-8498746.8835212,-3.8724278866816655
185000.0,220718176.8703997,212289429.9868785,-8428746.8835212,-3.818782396191299
190000.0,221968176.8703997,213609429.9868785,-8358746.883521199,-3.765741108195708
195000.0,223220271.8531199,214929429.9868785,-8290841.8662413955,-3.71419754909035
200000.0,224485271.85311997,216249429.9868785,-8235841.866241455,-3.6687671303577285
205000.0,225764538.8070401,217569429.9868785,-8195108.820161581,-3.6299362439580922
210000.0,227069538.80704013,218889429.9868785,-8180108.820161611,-3.6024685931620843
215000.0,228374538.8070402,220209429.9868785,-8165108.8201617,-3.5753148590091386
220000.0,229764033.5478409,221529429.9868785,-8234603.560962379,-3.583939328453594
225000.0,231457233.2540817,222849429.9868785,-8607803.267203182,-3.7189605812638327
230000.0,233242233.25408143,224169429.9868785,-9072803.267202914,-3.889862972337216
235000.0,235027233.2540812,225489429.9868785,-9537803.267202675,-4.058169402390757
240000.0,236812233.254081,226809429.9868785,-10002803.267202497,-4.223938573506999
245000.0,238597233.2540808,228129429.9868785,-10467803.267202288,-4.387227431114084
250000.0,240382233.25408053,229449429.9868785,-10932803.26720202,-4.548091229207529
255000.0,242167233.25408036,230769429.9868785,-11397803.26720184,-4.706583592687511
260000.0,243952233.2540801,232096593.4982386,-11855639.755841494,-4.8598201367944265
265000.0,245737233.25407985,233431593.4982386,-12305639.755841255,-5.007641533555416
270000.0,247522233.25407964,234912485.16863889,-12609748.085440755,-5.09439007545514
275000.0,249307233.2540794,236681952.8390389,-12625280.415040493,-5.06414525172382
280000.0,251092233.2540792,238466952.8390389,-12625280.415040284,-5.028144539327433
285000.0,252877233.2540789,240251952.8390389,-12625280.415039986,-4.992652067793983
290000.0,254662233.25407872,242036952.8390389,-12625280.415039808,-4.957657149909408
295000.0,256447233.25407848,243821952.8390389,-12625280.41503957,-4.923149396012748
300000.0,258232233.25407824,245606952.8390389,-12625280.41503933,-4.889118703712384
305000.0,260017233.254078,247391952.8390389,-12625280.415039092,-4.855555248025501
310000.0,261802233.2540778,249176952.8390389,-12625280.415038884,-4.822449471921086
315000.0,263587233.25407755,250961952.8390389,-12625280.415038645,-4.789792077247102
320000.0,265372233.2540773,252746952.8390389,-12625280.415038377,-4.757574016023923
325000.0,267157233.25407708,254531952.8390389,-12625280.415038168,-4.72578648208676
330000.0,268942233.2540769,256316952.8390389,-12625280.41503799,-4.694420903060826
335000.0,270727233.25407666,258101952.8390389,-12625280.415037751,-4.663468932654058
340000.0,272512233.25407654,259886952.8390389,-12625280.415037632,-4.632922443252837
345000.0,274297233.2540766,261671952.8390389,-12625280.415037692,-4.602773518806557
350000.0,276082233.2540766,263456952.8390389,-12625280.415037692,-4.573014447988304
355000.0,277867233.2540766,265241952.8390389,-12625280.415037692,-4.543637717619397
360000.0,279652233.25407666,267026952.8390389,-12625280.415037751,-4.514636006345465
365000.0,281437233.2540767,268811952.8390389,-12625280.41503781,-4.486002178553228
370000.0,283222233.2540768,270596952.8390389,-12625280.41503787,-4.457729278517416
375000.0,285011971.16831696,272381952.8390389,-12630018.329278052,-4.431399241760008
380000.0,286801971.1683171,274166952.8390389,-12635018.329278171,-4.4054851777371455
385000.0,288591971.16831714,275951952.8390389,-12640018.32927823,-4.3798925791688506
390000.0,290381971.16831726,277736952.8390389,-12645018.32927835,-4.354615501231921
395000.0,292171971.1683174,279521952.8390389,-12650018.32927847,-4.329648144787619
400000.0,293961971.1683176,281306952.8390389,-12655018.329278708,-4.30498485194626
405000.0,295751971.16831774,283091952.8390389,-12660018.329278827,-4.280620101792588
410000.0,297541971.16831785,284876952.8390389,-12665018.329278946,-4.2565485062658315
415000.0,299331971.16831803,286661952.8390389,-12670018.329279125,-4.232764806187247
420000.0,301121971.1683182,288446952.8390389,-12675018.329279304,-4.209263867429437
425000.0,302911971.16831833,290231952.8390389,-12680018.329279423,-4.186040677221551
430000.0,304701971.16831845,292016952.8390389,-12685018.329279542,-4.163090340584732
435000.0,306491971.1683186,293801952.8390389,-12690018.32927972,-4.140408076892378
440000.0,308281971.16831875,295586952.8390389,-12695018.32927984,-4.117989216550225
445000.0,310071971.16831887,297371952.8390389,-12700018.32927996,-4.095829197791601
450000.0,311861971.16831905,299156952.8390389,-12705018.329280138,-4.073923563582861
455000.0,313651971.1683192,300941952.8390389,-12710018.329280317,-4.052267958634817
460000.0,315441971.1683193,302726952.8390389,-12715018.329280376,-4.030858126515975
465000.0,317231971.16831946,304511952.8390389,-12720018.329280555,-4.009689906863601
470000.0,319021971.16831964,306296952.8390389,-12725018.329280734,-3.9887592326883556
475000.0,320811971.1683197,308081952.8390389,-12730018.329280794,-3.9680621277694663
480000.0,322601971.1683198,309866952.8390389,-12735018.329280913,-3.9475947041366117
485000.0,324391971.16831994,311651952.8390389,-12740018.329281032,-3.9273531596349263
490000.0,326181971.1683201,313436952.8390389,-12745018.32928121,-3.9073337755704416
495000.0,327971971.16832024,315221952.8390389,-12750018.32928133,-3.887532914432443
500000.0,329761971.1683203,317006952.8390389,-12755018.32928139,-3.867947017690178
505000.0,331551971.1683204,318791952.8390389,-12760018.329281509,-3.8485726036608527
510000.0,333341971.1683204,320576952.8390389,-12765018.329281509,-3.8294062654461944
515000.0,335131971.1683205,322361952.8390389,-12770018.329281569,-3.810444668935453
520000.0,336941958.6995213,324146952.8390389,-12795005.860482395,-3.79739166646584
525000.0,338756958.6995213,325931952.8390389,-12825005.860482395,-3.7859018187308213
530000.0,340571958.69952136,327716952.8390389,-12855005.860482454,-3.7745344360027375
535000.0,342386958.6995215,329501952.8390389,-12885005.860482574,-3.7632875707133593
540000.0,344203023.3737614,331286952.8390389,-12916070.534722507,-3.7524570261247447
545000.0,346023023.3737615,333071952.8390389,-12951070.534722567,-3.7428349155637806
550000.0,347843023.37376153,334856952.8390389,-12986070.534722626,-3.7333134954869966
555000.0,349764128.6160056,336641952.8390389,-13122175.776966691,-3.751721432638134
560000.0,352003963.7296044,338426952.8390389,-13577010.890565515,-3.857061933823802
565000.0,354278963.7296046,340211952.8390389,-14067010.890565693,-3.970602923322882
570000.0,356583978.7177659,341996952.8390389,-14587025.878727019,-4.090768724713951
575000.0,358903978.71776617,343781952.8390389,-15122025.878727257,-4.213390426250713
580000.0,361223978.7177663,345566952.8390389,-15657025.878727376,-4.334437025555443
585000.0,363543978.7177663,347351952.8390389,-16192025.878727376,-4.453938677746027
590000.0,365863978.7177664,349136952.8390389,-16727025.878727496,-4.571924773067371
595000.0,368183978.7177664,350923977.8732789,-17260000.84448749,-4.687873954917046
600000.0,370503978.7177664,352718977.8732789,-17785000.84448749,-4.80021858497647
605000.0,372823978.7177664,354643246.17087984,-18180732.546886563,-4.876492281804026
610000.0,375143978.71776646,356963246.17087984,-18180732.546886623,-4.846334628381335
615000.0,377463978.7177664,359283246.17087984,-18180732.546886563,-4.816547689834128
620000.0,379783978.7177664,361603246.17087984,-18180732.546886563,-4.787124672364717
625000.0,382103978.71776646,363923246.17087984,-18180732.546886623,-4.758058947173502
630000.0,384423978.71776646,366243246.17087984,-18180732.546886623,-4.729344045480165
635000.0,386743978.71776646,368563246.17087984,-18180732.546886623,-4.7009736537241205
640000.0,389063978.7177664,370883246.17087984,-18180732.546886563,-4.672941608936553
645000.0,391383978.71776646,373203246.17087984,-18180732.546886623,-4.645241894277193
650000.0,393703978.7177664,375523246.17087984,-18180732.546886563,-4.6178686347286675
655000.0,396023978.7177664,377843246.17087984,-18180732.546886563,-4.590816092942541
660000.0,398343978.7177664,380163246.17087984,-18180732.546886563,-4.564078665230165
665000.0,400663978.7177664,382483246.17087984,-18180732.546886563,-4.537650877693035
670000.0,402983978.7177663,384803246.17087984,-18180732.546886444,-4.51152738248671
675000.0,405303978.7177663,387123246.17087984,-18180732.546886444,-4.485702954213191
680000.0,407623978.7177663,389443246.17087984,-18180732.546886444,-4.460172486436219
685000.0,409943978.7177663,391763246.17087984,-18180732.546886444,-4.43493098831519
690000.0,412263978.7177666,394083246.17087984,-18180732.546886742,-4.409973581352632
695000.0,414583978.7177666,396403246.17087984,-18180732.546886742,-4.385295496250595
700000.0,416903978.7177667,398723246.17087984,-18180732.54688686,-4.360892069872701
705000.0,419223978.7177668,401043246.17087984,-18180732.54688698,-4.336758742306282
710000.0,421543978.7177669,403363246.17087984,-18180732.54688704,-4.312891054022016
715000.0,423863978.7177669,405683246.17087984,-18180732.54688704,-4.2892846431267095
720000.0,426183978.7177671,408003246.17087984,-18180732.54688728,-4.265935242705862
725000.0,428503978.7177671,410323246.17087984,-18180732.54688728,-4.242838678252265
730000.0,430823978.7177672,412643246.17087984,-18180732.54688734,-4.219990865178268
735000.0,433143978.7177672,414963246.17087984,-18180732.54688734,-4.19738780640738
740000.0,435463978.7177669,417283246.17087984,-18180732.54688704,-4.1750255900432
745000.0,437783978.7177669,419603246.17087984,-18180732.54688704,-4.15290038711259
750000.0,440103978.7177669,421923246.17087984,-18180732.54688704,-4.131008449379666
755000.0,442423978.7177668,424243246.17087984,-18180732.54688698,-4.109346107229174
760000.0,444743978.7177668,426563246.17087984,-18180732.54688698,-4.087909767615858
765000.0,447063978.7177667,428883246.17087984,-18180732.54688686,-4.066695912077593
770000.0,449383978.7177667,431203246.17087984,-18180732.54688686,-4.04570109481032
775000.0,451703978.7177666,433523246.17087984,-18180732.546886742,-4.0249219408019465
780000.0,454023978.7177666,435843246.17087984,-18180732.546886742,-4.004355144023873
785000.0,456343978.7177666,438163246.17087984,-18180732.546886742,-3.9839974656772923
790000.0,458663978.7177666,440483246.17087984,-18180732.546886742,-3.963845732492989
795000.0,460983978.7177666,442803246.17087984,-18180732.546886742,-3.943896835082361
800000.0,463303978.7177665,445123246.17087984,-18180732.546886683,-3.9241477263379907
805000.0,465623978.7177666,447443246.17087984,-18180732.546886742,-3.904595419882105
810000.0,467943978.7177666,449763246.17087984,-18180732.546886742,-3.885236988561013
815000.0,470263978.7177665,452083246.17087984,-18180732.546886683,-3.8660695629843302
820000.0,472583978.7177665,454403246.17087984,-18180732.546886683,-3.847090330107119
825000.0,474903978.7177666,456723246.17087984,-18180732.546886742,-3.8282965318535425
830000.0,477223978.7177665,459043246.17087984,-18180732.546886683,-3.8096854637807063
835000.0,479543978.7177666,461363246.17087984,-18180732.546886742,-3.791254473781419
840000.0,481863978.7177666,463683246.17087984,-18180732.546886742,-3.7730009608241355
845000.0,484183978.7177665,466003246.17087984,-18180732.546886683,-3.754922373729415
850000.0,486503978.7177666,468323246.17087984,-18180732.546886742,-3.737016209981265
855000.0,488823978.7177666,470643246.17087984,-18180732.546886742,-3.7192800145722376
860000.0,491143978.7177666,472963246.17087984,-18180732.546886742,-3.7017113788814684
865000.0,493463978.7177667,475283246.17087984,-18180732.54688686,-3.6843079395842193
870000.0,495783978.7177668,477603246.17087984,-18180732.54688698,-3.6670673775920184
875000.0,498103978.7177668,479923246.17087984,-18180732.54688698,-3.649987417022512
880000.0,500423978.7177669,482243246.17087984,-18180732.54688704,-3.633065824197996
885000.0,502743978.7177669,484563246.17087984,-18180732.54688704,-3.616300406671492
890000.0,505063978.7177669,486883246.17087984,-18180732.54688704,-3.599689012279879
895000.0,507383978.7177669,489203246.17087984,-18180732.54688704,-3.5832295282228652
900000.0,509703978.717767,491523246.17087984,-18180732.54688716,-3.5669198801671875
905000.0,512023978.717767,493843246.17087984,-18180732.54688716,-3.5507580313750444
910000.0,514343978.7177671,496163246.17087984,-18180732.54688728,-3.5347419818563646
915000.0,516663978.7177672,498483246.17087984,-18180732.54688734,-3.5188697675435865
920000.0,518983978.7177672,500803246.17087984,-18180732.54688734,-3.503139459488854
925000.0,521303978.7177673,503123246.17087984,-18180732.546887457,-3.4875491630825364
930000.0,523623978.71776736,505443246.17087984,-18180732.546887517,-3.472097017292424
935000.0,525943978.7177674,507763246.17087984,-18180732.546887577,-3.4567811939232675
940000.0,528263978.7177675,510083246.17087984,-18180732.546887636,-3.4415998968956676
945000.0,530583978.71776754,512403246.17087984,-18180732.546887696,-3.426551361543945
950000.0,532903978.7177676,514723246.17087984,-18180732.546887755,-3.411633853932341
955000.0,535223978.71776766,517043246.17087984,-18180732.546887815,-3.3968456701890055
960000.0,537543978.7177677,519363246.17087984,-18180732.546887875,-3.382185135857227
965000.0,539863978.7177677,521683246.17087984,-18180732.546887875,-3.367650605263381
970000.0,542183978.7177677,524003246.17087984,-18180732.546887875,-3.3532404609011515
975000.0,544503978.7177678,526323246.17087984,-18180732.546887994,-3.338953112831448
980000.0,546823978.7177678,528643246.17087984,-18180732.546887994,-3.3247869980975384
985000.0,549143978.717768,530963246.17087984,-18180732.546888113,-3.3107405801552248
990000.0,551463978.717768,533283246.17087984,-18180732.546888113,-3.2968123483170917
995000.0,553783978.717768,535603246.17087984,-18180732.546888113,-3.283000817211036
1000000.0,556103978.7177681,537923246.1708798,-18180732.546888232,-3.2693045262521405
