L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,841780198.6,841367133.6,-413065.0,-0.04907041062346035
5000.0,842760198.6,842347133.6,-413065.0,-0.049013349311724366
10000.0,843740198.6,843327133.6,-413065.0,-0.04895642055284197
15000.0,844720198.6,844307133.6,-413065.0,-0.04889962388547057
20000.0,845700198.6,845287133.6,-413065.0,-0.04884295885040602
25000.0,846680198.6,846267133.6,-413065.0,-0.04878642499057022
30000.0,847660198.6,847247133.6,-413065.0,-0.04873002185099882
35000.0,848640198.6,848227133.6,-413065.0,-0.048673748978829014
40000.0,849625962.91616,849207133.6,-418829.3161599636,-0.0492957294669317
45000.0,850765425.4236798,850187133.6,-578291.8236798048,-0.06797312236705158
50000.0,852075425.4236798,851167133.6,-908291.8236798048,-0.10659758474177006
55000.0,853442687.23488,852147133.6,-1295553.6348799467,-0.1518032381386369
60000.0,855062687.23488,853127133.6,-1935553.6348799467,-0.22636394544816144
65000.0,856682687.23488,854107133.6,-2575553.6348799467,-0.30064266189306066
70000.0,858302687.23488,855087133.6,-3215553.6348799467,-0.37464098420094893
75000.0,859922687.23488,856067133.6,-3855553.6348799467,-0.4483604970672018
80000.0,861542687.23488,857047133.6,-4495553.634879947,-0.5218027732680802
85000.0,863162687.23488,858027133.6,-5135553.634879947,-0.5949693737725809
90000.0,864782687.23488,859007133.6,-5775553.634879947,-0.6678618478530286
95000.0,866406445.39104,859987133.6,-6419311.791039944,-0.740912284896805
100000.0,868350372.10848,860967133.6,-7383238.508479953,-0.8502603034017691
105000.0,870331263.0960021,861947133.6,-8384129.496002078,-0.963326247316163
110000.0,872601263.0960021,862927133.6,-9674129.496002078,-1.1086540789178008
115000.0,874871263.0960021,863907133.6,-10964129.496002078,-1.2532277557274107
120000.0,877141263.0960021,864887133.6,-12254129.496002078,-1.3970531328955251
125000.0,879411263.0960021,865867133.6,-13544129.496002078,-1.5401360051177233
130000.0,881681263.0960021,866847133.6,-14834129.496002078,-1.682482107412876
135000.0,884188783.7072009,867827133.6,-16361650.107200861,-1.8504702172990946
140000.0,886768783.7072009,868807133.6,-17961650.10720086,-2.0255167341492206
145000.0,889356313.8268809,869787133.6,-19569180.226880908,-2.2003757012389276
150000.0,891946313.8268809,870767133.6,-21179180.226880908,-2.37449047084594
155000.0,894536313.8268809,871747133.6,-22789180.226880908,-2.5475969923889847
160000.0,897129444.2192008,872727133.6,-24402310.619200826,-2.72004344260921
165000.0,899729444.2192008,873707133.6,-26022310.619200826,-2.892237303824528
170000.0,902332166.4534408,874687133.6,-27645032.85344076,-3.0637312822502833
175000.0,904942166.4534408,875670887.1999999,-29271279.253440857,-3.2346022031615496
180000.0,907593202.1884809,876665887.1999999,-30927314.988480926,-3.40761862406041
185000.0,910523202.1884809,877660887.1999999,-32862314.988480926,-3.609168323167929
190000.0,913453202.1884809,878655887.1999999,-34797314.988480926,-3.809425037332223
195000.0,916383202.1884809,879650887.1999999,-36732314.988480926,-4.008401168938697
200000.0,919313202.1884809,880998706.4,-38314495.78848088,-4.16773039887504
205000.0,922388247.3648,882473706.4,-39914540.9648,-4.3273037225737765
210000.0,925638247.3648,883948706.4,-41689540.9648,-4.5038697443073445
215000.0,928888247.3648,885423706.4,-43464540.9648,-4.679200225442219
220000.0,932138247.3648,886898706.4,-45239540.9648,-4.853308089512943
