L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
31855.926000099164,852289873.0860306,628674941.6202918,-223614931.46573877,-26.236957463316823
81855.92600009916,866365338.3650998,775474347.4143015,-90890990.95079827,-10.49106963608641
131855.92600009916,884589114.9409407,922426734.240302,37837619.29936123,4.277423117724825
181855.9260000992,904990135.8510805,1069426734.240302,164436598.38922143,18.16998792308164
231855.9260000992,931125786.8564321,1216426734.2402916,285300947.3838595,30.64043026314009
281855.9260000992,959662521.7082794,1363426734.24028,403764212.53200054,42.073562674227034
331855.9260000992,990940678.0003301,1510426734.24028,519486056.2399498,52.423527237598854
381855.9260000992,1024909911.7459348,1657426734.2402794,632516822.4943446,61.71438242965684
431855.9260000992,1061763535.7919496,1804426734.2402785,742663198.4483289,69.94619549581633
481855.9260000992,1100657588.0462708,1951426734.240278,850769146.1940072,77.29644127599849
531855.9260000992,1141530967.5542114,2098426734.2402775,956895766.6860662,83.82565115480524
581855.9260000992,1184245261.696161,2245426734.2402887,1061181472.5441277,89.60825150562371
631855.9260000992,1228435257.637375,2392426734.2403173,1163991476.6029422,94.7539945118169
681855.9260000992,1273609032.8182805,2539426734.240341,1265817701.4220607,99.3882477906914
731855.9260000992,1319367631.5706127,2686426734.240366,1367059102.6697533,103.61472192874457
781855.9260000992,1365690611.8716195,2833426734.240387,1467736122.3687675,107.47208112950995
848141.6219999695,1428072325.5474877,3028306680.4797764,1600234354.9322886,112.05555393133176
898141.6219999695,1475998326.94941,3175306680.47976,1699308353.5303502,115.12942274416238
948141.6219999696,1524474204.7627757,3322306680.4797487,1797832475.716973,117.93131494781409
998141.6219999696,1573174204.7627826,3469306680.4797387,1896132475.7169561,120.52908508011495
1000000.0,1574984264.9348123,3474770311.8001013,1899786046.865289,120.62254139052749
