G,bw_gbps,fixed_L_ns,runtime,status,solve_s
0.0,,3700.0,2310825.017600004,2,0.05246293102391064
0.002,4000.0,3700.0,2384083.579520003,2,2.0508925879839808
0.004,2000.0,3700.0,2457483.899520004,2,0.025934515986591578
0.006,1333.3333333333333,3700.0,2575775.285120003,2,0.23782240191940218
0.008,1000.0,3700.0,2703701.5571200047,2,0.031211527064442635
0.01,800.0,3700.0,2831627.829120002,2,0.05934158805757761
0.012,666.6666666666666,3700.0,2959554.101120005,2,0.03718691703397781
0.014,571.4285714285714,3700.0,3087480.373120002,2,0.03609344793949276
0.016,500.0,3700.0,3215406.645120005,2,0.036301282001659274
0.018,444.44444444444446,3700.0,3343332.917120002,2,0.005054619978182018
0.02,400.0,3700.0,3471259.189120006,2,0.02973224804736674
0.022,363.6363636363637,3700.0,3599185.4611200015,2,0.014441545936278999
0.024,333.3333333333333,3700.0,3727111.733120006,2,0.005000061937607825
0.026,307.6923076923077,3700.0,3855038.0051200017,2,0.00497654196806252
0.028,285.7142857142857,3700.0,3982964.2771200063,2,0.0050295640248805285
0.03,266.6666666666667,3700.0,4110890.5491200015,2,0.005024828016757965
0.032,250.0,3700.0,4238816.821120006,2,0.004977373988367617
0.034,235.2941176470588,3700.0,4366743.093120001,2,0.005010653054341674
0.036,222.22222222222223,3700.0,4494669.365120004,2,0.005000636912882328
0.038,210.5263157894737,3700.0,4622595.637120003,2,0.0050338199362158775
0.04,200.0,3700.0,4750521.9091200065,2,0.005033372086472809
0.042,190.47619047619045,3700.0,4878448.18112,2,0.005027484963648021
0.044,181.81818181818184,3700.0,5006374.4531200025,2,0.004996221978217363
0.046,173.91304347826087,3700.0,5134300.725120004,2,0.005039228009991348
0.048,166.66666666666666,3700.0,5262226.997120007,2,0.0049991009291261435
0.05,160.0,3700.0,5390153.269119999,2,0.005008316948078573
0.052,153.84615384615384,3700.0,5518079.541120002,2,0.00500050897244364
0.054,148.14814814814815,3700.0,5646005.813120006,2,0.004997757030650973
0.056,142.85714285714286,3700.0,5773932.085120008,2,0.004980574012733996
0.058,137.9310344827586,3700.0,5901858.35712,2,0.0049845409812405705
0.06,133.33333333333334,3700.0,6029784.629120002,2,0.004994269926100969
0.062,129.03225806451613,3700.0,6157710.901120007,2,0.005002877092920244
0.064,125.0,3700.0,6285637.173120009,2,0.005024412996135652
0.066,121.2121212121212,3700.0,6413563.44512,2,0.03539951902348548
0.068,117.6470588235294,3700.0,6559304.017279994,2,0.08435216499492526
0.07,114.28571428571428,3700.0,6720784.7212800095,2,0.027572158025577664
0.072,111.11111111111111,3700.0,6882265.425280006,2,0.03399124601855874
0.074,108.10810810810811,3700.0,7043746.129279995,2,0.028084845980629325
0.076,105.26315789473685,3700.0,7205226.8332799915,2,0.03024359093979001
0.078,102.56410256410257,3700.0,7366707.53728001,2,0.02735043701250106
0.08,100.0,3700.0,7528188.241280006,2,0.02988462708890438
0.082,97.5609756097561,3700.0,7689668.945279995,2,0.027857333072461188
0.084,95.23809523809523,3700.0,7851149.64927999,2,0.005046075908467174
0.086,93.0232558139535,3700.0,8012630.353280012,2,0.029588220990262926
0.088,90.90909090909092,3700.0,8174111.057280007,2,0.027420292026363313
0.09,88.88888888888889,3700.0,8335591.761279996,2,0.005001212935894728
0.092,86.95652173913044,3700.0,8497072.46527999,2,0.004979997989721596
0.094,85.1063829787234,3700.0,8658553.169280011,2,0.004969086032360792
0.096,83.33333333333333,3700.0,8820033.873280007,2,0.004973981995135546
0.098,81.63265306122449,3700.0,8981514.57728,2,0.02997249597683549
0.1,80.0,3700.0,9142995.28127999,2,0.014497032039798796
0.102,78.43137254901961,3700.0,9304475.985280015,2,0.004969341913238168
0.104,76.92307692307692,3700.0,9465956.68928,2,0.004957982921041548
0.106,75.47169811320755,3700.0,9627437.393279996,2,0.004915552097372711
0.108,74.07407407407408,3700.0,9788918.09728,2,0.004994014045223594
0.11,72.72727272727273,3700.0,9950398.801280005,2,0.004998108954168856
0.112,71.42857142857143,3700.0,10111879.505280009,2,0.004937888006679714
0.114,70.17543859649122,3700.0,10273360.20928001,2,0.004976286087185144
0.116,68.9655172413793,3700.0,10434840.91327999,2,0.029528318089433014
0.118,67.79661016949153,3700.0,10596321.617280014,2,0.014397131046280265
0.12,66.66666666666667,3700.0,10757802.321279995,2,0.004946526954881847
