G,bw_gbps,fixed_L_ns,runtime,status,solve_s
0.0,,3700.0,2407997.775680004,2,0.04507104493677616
0.002,4000.0,3700.0,2474964.881600003,2,0.01766262494493276
0.004,2000.0,3700.0,2542776.291520004,2,2.657596903038211
0.006,1333.3333333333333,3700.0,2611982.3075200026,2,0.02856921497732401
0.008,1000.0,3700.0,2681188.3235200043,2,0.026133452891372144
0.01,800.0,3700.0,2752890.101440002,2,0.08708283002488315
0.012,666.6666666666666,3700.0,3180048.7142400024,2,2.3191789890406653
0.014,571.4285714285714,3700.0,3703476.1279999777,2,0.019943990977481008
0.016,500.0,3700.0,4231958.432000003,2,0.0221944140503183
0.018,444.44444444444446,3700.0,4760440.735999972,2,0.01689017005264759
0.02,400.0,3700.0,5288923.03999998,2,0.017855259007774293
0.022,363.6363636363637,3700.0,5817405.344,2,0.01681567693594843
0.024,333.3333333333333,3700.0,6345887.648000005,2,0.0036625040229409933
0.026,307.6923076923077,3700.0,6874369.951999965,2,0.00360045803245157
0.028,285.7142857142857,3700.0,7402852.255999955,2,0.003683272050693631
0.03,266.6666666666667,3700.0,7931334.560000019,2,0.0036414179485291243
0.032,250.0,3700.0,8459816.864000006,2,0.0036127460189163685
0.034,235.2941176470588,3700.0,8988299.16799998,2,0.0036425369326025248
0.036,222.22222222222223,3700.0,9516781.471999943,2,0.003624586039222777
0.038,210.5263157894737,3700.0,10045263.77600003,2,0.0036007140297442675
0.04,200.0,3700.0,10573746.07999996,2,0.003575564012862742
0.042,190.47619047619045,3700.0,11102228.383999962,2,0.0036166500067338347
0.044,181.81818181818184,3700.0,11630710.688,2,0.0035969389136880636
0.046,173.91304347826087,3700.0,12159192.991999965,2,0.0035866349935531616
0.048,166.66666666666666,3700.0,12687675.29600001,2,0.0035748279187828302
0.05,160.0,3700.0,13216157.600000046,2,0.003591530956327915
0.052,153.84615384615384,3700.0,13744639.90399993,2,0.003609641920775175
0.054,148.14814814814815,3700.0,14273122.208000045,2,0.0035884910030290484
0.056,142.85714285714286,3700.0,14801604.51199991,2,0.003565995953977108
0.058,137.9310344827586,3700.0,15330086.815999962,2,0.003604747005738318
0.06,133.33333333333334,3700.0,15858569.120000038,2,0.0035958830267190933
0.062,129.03225806451613,3700.0,16387051.423999935,2,0.003601259086281061
0.064,125.0,3700.0,16915533.72800001,2,0.003584202961064875
0.066,121.2121212121212,3700.0,17444016.03200007,2,0.003585226950235665
0.068,117.6470588235294,3700.0,17972498.33599996,2,0.003594283014535904
0.07,114.28571428571428,3700.0,18500980.640000053,2,0.0035768760135397315
0.072,111.11111111111111,3700.0,19029462.943999887,2,0.003591498942114413
0.074,108.10810810810811,3700.0,19557945.24800003,2,0.0035913080209866166
0.076,105.26315789473685,3700.0,20086427.55200006,2,0.0035792120033875108
0.078,102.56410256410257,3700.0,20614909.85599992,2,0.0035882669035345316
0.08,100.0,3700.0,21143392.15999992,2,0.0035629560006782413
0.082,97.5609756097561,3700.0,21671874.46400011,2,0.003582380013540387
0.084,95.23809523809523,3700.0,22200356.767999925,2,0.003586346982046962
0.086,93.0232558139535,3700.0,22728839.071999937,2,0.0035939309746026993
0.088,90.90909090909092,3700.0,23257321.376,2,0.0035901869414374232
0.09,88.88888888888889,3700.0,23785803.67999997,2,0.003587179002352059
0.092,86.95652173913044,3700.0,24314285.98399993,2,0.003592554945498705
0.094,85.1063829787234,3700.0,24842768.288000062,2,0.0036069219931960106
0.096,83.33333333333333,3700.0,25371250.59200002,2,0.003572682966478169
0.098,81.63265306122449,3700.0,25899732.89599996,2,0.0036132580135017633
0.1,80.0,3700.0,26428215.200000092,2,0.0035716919228434563
0.102,78.43137254901961,3700.0,26956697.504000068,2,0.0035749550443142653
0.104,76.92307692307692,3700.0,27485179.80799986,2,0.003618411021307111
0.106,75.47169811320755,3700.0,28013662.11200016,2,0.0038863379741087556
0.108,74.07407407407408,3700.0,28542144.41600009,2,0.003621833981014788
0.11,72.72727272727273,3700.0,29070626.719999906,2,0.0035945390118286014
0.112,71.42857142857143,3700.0,29599109.02399982,2,0.0036486180033534765
0.114,70.17543859649122,3700.0,30127591.32800014,2,0.0035918200155720115
0.116,68.9655172413793,3700.0,30656073.631999925,2,0.0036063790321350098
0.118,67.79661016949153,3700.0,31184555.935999855,2,0.003590250969864428
0.12,66.66666666666667,3700.0,31713038.240000077,2,0.0036287460243329406
