L,runtime
0,862900747.2800002
5000,863580747.2800002
10000,864260747.2800002
15000,864940747.2800002
20000,865620747.2800002
25000,866300747.2800002
30000,866980747.2800002
35000,867660747.2800002
40000,868340747.2800002
45000,869020747.2800002
50000,869700747.2800002
55000,870396911.9200002
60000,871603061.2105603
65000,872903061.2105603
70000,874203061.2105603
75000,875503061.2105603
80000,876803061.2105603
85000,878103061.2105603
90000,879445512.8982403
95000,887353567.7036862
100000,898573567.7036862
105000,909793567.7036862
110000,921013567.7036862
115000,932233567.7036862
120000,943539588.9836862
125000,955203320.3846467
130000,967043320.3846467
135000,978883320.3846467
140000,990723320.3846467
145000,1002563320.3846467
150000,1014403320.3846467
155000,1026243320.3846467
160000,1038083320.3846467
165000,1049923320.3846467
170000,1061763320.3846467
175000,1073603320.3846467
180000,1085443320.3846467
185000,1097283320.3846467
190000,1109123320.3846467
195000,1121183805.3500872
200000,1141334797.6684933
205000,1163094797.6684933
210000,1184854797.6684933
215000,1206614797.6684933
220000,1228374797.6684933
225000,1250134797.6684933
230000,1271894797.6684933
235000,1293654797.6684933
240000,1315414797.6684933
245000,1337174797.6684933
250000,1358934797.6684933
255000,1380694797.6684933
260000,1402454797.6684933
265000,1424214797.6684933
270000,1445974797.6684933
275000,1467734797.6684933
280000,1489494797.6684933
285000,1511254797.6684933
290000,1533014797.6684933
295000,1554774797.6684933
300000,1576534797.6684933
305000,1598294797.6684933
310000,1620054797.6684933
315000,1641814797.6684933
320000,1663574797.6684933
325000,1685334797.6684933
330000,1707094797.6684933
335000,1728854797.6684933
340000,1750614797.6684933
345000,1772374797.6684933
350000,1794134797.6684933
355000,1815894797.6684933
360000,1837654797.6684933
365000,1859414797.6684933
370000,1881174797.6684933
375000,1902934797.6684933
380000,1924694797.6684933
385000,1946454797.6684933
390000,1968214797.6684933
395000,1989974797.6684933
400000,2011734797.6684933
405000,2033494797.6684933
410000,2055254797.6684933
415000,2077014797.6684933
420000,2098774797.6684933
425000,2120534797.6684933
430000,2142294797.6684933
435000,2164054797.6684933
440000,2185814797.6684933
445000,2207574797.6684933
450000,2229334797.6684933
455000,2251094797.6684933
460000,2272854797.6684933
465000,2294614797.6684933
470000,2316374797.6684933
475000,2338134797.6684933
480000,2359894797.6684933
485000,2381654797.6684933
490000,2403414797.6684933
495000,2425174797.6684933
500000,2446934797.6684933
505000,2468694797.6684933
510000,2490454797.6684933
515000,2512214797.6684933
520000,2533974797.6684933
525000,2555734797.6684933
530000,2577494797.6684933
535000,2599254797.6684933
540000,2621014797.6684933
545000,2642774797.6684933
550000,2664534797.6684933
555000,2686294797.6684933
560000,2708054797.6684933
565000,2729814797.6684933
570000,2751574797.6684933
575000,2773334797.6684933
580000,2795094797.6684933
585000,2816854797.6684933
590000,2838614797.6684933
595000,2860374797.6684933
600000,2882134797.6684933
605000,2903894797.6684933
610000,2925654797.6684933
615000,2947414797.6684933
620000,2969174797.6684933
625000,2990934797.6684933
630000,3012694797.6684933
635000,3034454797.6684933
640000,3056214797.6684933
645000,3077974797.6684933
650000,3099734797.6684933
655000,3121494797.6684933
660000,3143254797.6684933
665000,3165014797.6684933
670000,3186774797.6684933
675000,3208534797.6684933
680000,3230294797.6684933
685000,3252054797.6684933
690000,3273814797.6684933
695000,3295574797.6684933
700000,3317334797.6684933
705000,3339094797.6684933
710000,3360854797.6684933
715000,3382614797.6684933
720000,3404374797.6684933
725000,3426134797.6684933
730000,3447894797.6684933
735000,3469654797.6684933
740000,3491414797.6684933
745000,3513174797.6684933
750000,3534934797.6684933
755000,3556694797.6684933
760000,3578454797.6684933
765000,3600214797.6684933
770000,3621974797.6684933
775000,3643734797.6684933
780000,3665494797.6684933
785000,3687254797.6684933
790000,3709014797.6684933
795000,3730774797.6684933
800000,3752534797.6684933
805000,3774294797.6684933
810000,3796054797.6684933
815000,3817814797.6684933
820000,3839574797.6684933
825000,3861334797.6684933
830000,3883094797.6684933
835000,3904854797.6684933
840000,3926614797.6684933
845000,3948374797.6684933
850000,3970134797.6684933
855000,3991894797.6684933
860000,4013654797.6684933
865000,4035414797.6684933
870000,4057174797.6684933
875000,4078934797.6684933
880000,4100694797.6684933
885000,4122454797.6684933
890000,4144214797.6684933
895000,4165974797.6684933
900000,4187734797.6684933
905000,4209494797.6684933
910000,4231254797.6684933
915000,4253014797.6684933
920000,4274774797.6684933
925000,4296534797.668493
930000,4318294797.668493
935000,4340054797.668493
940000,4361814797.668493
945000,4383574797.668493
950000,4405334797.668493
955000,4427094797.668493
960000,4448854797.668493
965000,4470614797.668493
970000,4492374797.668493
975000,4514134797.668493
980000,4535894797.668493
985000,4557654797.668493
990000,4579414797.668493
995000,4601174797.668493
1000000,4622934797.668493
