L,runtime
0,862902149.2800002
5000,863582149.2800002
10000,864262149.2800002
15000,864942149.2800002
20000,865622149.2800002
25000,866302149.2800002
30000,866982149.2800002
35000,867662149.2800002
40000,868342149.2800002
45000,869022149.2800002
50000,869702149.2800002
55000,870429809.9200002
60000,871613068.8254403
65000,872913068.8254403
70000,874213068.8254403
75000,875513068.8254403
80000,876813068.8254403
85000,878113068.8254403
90000,879452544.5131203
95000,887212990.0260869
100000,898432990.0260869
105000,909652990.0260869
110000,920872990.0260869
115000,932092990.0260869
120000,943434971.3060864
125000,955125734.7070464
130000,966965734.7070464
135000,978805734.7070464
140000,990645734.7070464
145000,1002485734.7070464
150000,1014325734.7070464
155000,1026165734.7070464
160000,1038005734.7070464
165000,1049845734.7070464
170000,1061685734.7070464
175000,1073525734.7070464
180000,1085365734.7070465
185000,1097205734.7070465
190000,1109045734.7070465
195000,1121131515.6724868
200000,1140613651.9908895
205000,1162373651.9908895
210000,1184133651.9908895
215000,1205893651.9908895
220000,1227653651.9908895
225000,1249413651.9908895
230000,1271173651.9908895
235000,1292933651.9908895
240000,1314693651.9908895
245000,1336453651.9908895
250000,1358213651.9908895
255000,1379973651.9908895
260000,1401733651.9908895
265000,1423493651.9908895
270000,1445253651.9908895
275000,1467013651.9908895
280000,1488773651.9908895
285000,1510533651.9908895
290000,1532293651.9908895
295000,1554053651.9908895
300000,1575813651.9908895
305000,1597573651.9908895
310000,1619333651.9908895
315000,1641093651.9908895
320000,1662853651.9908895
325000,1684613651.9908895
330000,1706373651.9908895
335000,1728133651.9908895
340000,1749893651.9908895
345000,1771653651.9908895
350000,1793413651.9908895
355000,1815173651.9908895
360000,1836933651.9908895
365000,1858693651.9908895
370000,1880453651.9908895
375000,1902213651.9908895
380000,1923973651.9908895
385000,1945733651.9908895
390000,1967493651.9908895
395000,1989253651.9908895
400000,2011013651.9908895
405000,2032773651.9908895
410000,2054533651.9908895
415000,2076293651.9908895
420000,2098053651.9908895
425000,2119813651.9908895
430000,2141573651.9908895
435000,2163333651.9908895
440000,2185093651.9908895
445000,2206853651.9908895
450000,2228613651.9908895
455000,2250373651.9908895
460000,2272133651.9908895
465000,2293893651.9908895
470000,2315653651.9908895
475000,2337413651.9908895
480000,2359173651.9908895
485000,2380933651.9908895
490000,2402693651.9908895
495000,2424453651.9908895
500000,2446213651.9908895
505000,2467973651.9908895
510000,2489733651.9908895
515000,2511493651.9908895
520000,2533253651.9908895
525000,2555013651.9908895
530000,2576773651.9908895
535000,2598533651.9908895
540000,2620293651.9908895
545000,2642053651.9908895
550000,2663813651.9908895
555000,2685573651.9908895
560000,2707333651.9908895
565000,2729093651.9908895
570000,2750853651.9908895
575000,2772613651.9908895
580000,2794373651.9908895
585000,2816133651.9908895
590000,2837893651.9908895
595000,2859653651.9908895
600000,2881413651.9908895
605000,2903173651.9908895
610000,2924933651.9908895
615000,2946693651.9908895
620000,2968453651.9908895
625000,2990213651.9908895
630000,3011973651.9908895
635000,3033733651.9908895
640000,3055493651.9908895
645000,3077253651.9908895
650000,3099013651.9908895
655000,3120773651.9908895
660000,3142533651.9908895
665000,3164293651.9908895
670000,3186053651.9908895
675000,3207813651.9908895
680000,3229573651.9908895
685000,3251333651.9908895
690000,3273093651.9908895
695000,3294853651.9908895
700000,3316613651.9908895
705000,3338373651.9908895
710000,3360133651.9908895
715000,3381893651.9908895
720000,3403653651.9908895
725000,3425413651.9908895
730000,3447173651.9908895
735000,3468933651.9908895
740000,3490693651.9908895
745000,3512453651.9908895
750000,3534213651.9908895
755000,3555973651.9908895
760000,3577733651.9908895
765000,3599493651.9908895
770000,3621253651.9908895
775000,3643013651.9908895
780000,3664773651.9908895
785000,3686533651.9908895
790000,3708293651.9908895
795000,3730053651.9908895
800000,3751813651.9908895
805000,3773573651.9908895
810000,3795333651.9908895
815000,3817093651.9908895
820000,3838853651.9908895
825000,3860613651.9908895
830000,3882373651.9908895
835000,3904133651.9908895
840000,3925893651.9908895
845000,3947653651.9908895
850000,3969413651.9908895
855000,3991173651.9908895
860000,4012933651.9908895
865000,4034693651.9908895
870000,4056453651.9908895
875000,4078213651.9908895
880000,4099973651.9908895
885000,4121733651.9908895
890000,4143493651.9908895
895000,4165253651.9908895
900000,4187013651.9908895
905000,4208773651.9908895
910000,4230533651.9908895
915000,4252293651.9908895
920000,4274053651.9908895
925000,4295813651.99089
930000,4317573651.99089
935000,4339333651.99089
940000,4361093651.99089
945000,4382853651.99089
950000,4404613651.99089
955000,4426373651.99089
960000,4448133651.99089
965000,4469893651.99089
970000,4491653651.99089
975000,4513413651.99089
980000,4535173651.99089
985000,4556933651.99089
990000,4578693651.99089
995000,4600453651.99089
1000000,4622213651.99089
