L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,3961853.269120007,2495774.640320003,-1466078.6288000038,-37.004869418741606
5000.0,4111853.269120007,2635774.640320003,-1476078.6288000038,-35.898134787185754
10000.0,4261853.269120007,2775774.640320003,-1486078.6288000038,-34.86930532234985
15000.0,4411853.269120007,2915774.640320003,-1496078.6288000038,-33.91043485674249
20000.0,4561853.269120007,3055774.640320003,-1506078.6288000038,-33.014622346468634
25000.0,4711853.269120007,3195774.640320003,-1516078.6288000038,-32.17584551573162
30000.0,4861853.269120007,3335774.640320003,-1526078.6288000038,-31.388825296165784
35000.0,5011853.269120007,3475774.640320003,-1536078.6288000038,-30.648914609379858
40000.0,5161853.269120007,3615774.640320003,-1546078.6288000038,-29.95200654092943
45000.0,5311853.269120007,3758097.959360004,-1553755.309760003,-29.2507196837048
50000.0,5461853.269120007,3903097.959360004,-1558755.309760003,-28.53894517036602
55000.0,5611853.269120007,4048097.959360004,-1563755.309760003,-27.865220895292847
60000.0,5761853.269120007,4193097.959360004,-1568755.309760003,-27.226575139765664
65000.0,5911853.269120007,4338097.959360004,-1573755.3097600024,-26.620337787819615
70000.0,6061853.269120007,4483097.959360004,-1578755.3097600024,-26.044103010582916
75000.0,6211853.269120007,4628097.959360004,-1583755.3097600024,-25.495697357068494
80000.0,6361853.269120007,4773097.959360004,-1588755.3097600024,-24.973152359104382
85000.0,6511853.269120007,4918097.959360004,-1593755.3097600024,-24.474680922522964
90000.0,6661853.269120007,5063097.959360004,-1598755.3097600024,-23.998656907842538
95000.0,6811853.269120007,5208097.959360004,-1603755.3097600024,-23.54359740880303
100000.0,6966217.907200007,5353097.959360004,-1613119.9478400024,-23.156323407178313
105000.0,7121217.907200007,5500410.950719999,-1620806.9564800076,-22.760249406794138
110000.0,7276217.907200007,5660410.950719999,-1615806.9564800076,-22.206687280230085
115000.0,7431217.907200007,5820410.950719999,-1610806.9564800076,-21.676217500220503
120000.0,7586217.907200007,5980410.950719999,-1605806.9564800076,-21.167424612941208
125000.0,7741217.907200007,6140410.950719999,-1600806.9564800076,-20.67900652933588
130000.0,7896217.907200007,6300410.950719999,-1595806.9564800076,-20.20976339856203
135000.0,8051217.907200007,6460410.950719999,-1590806.9564800076,-19.75858776667053
140000.0,8206217.907200007,6620410.950719999,-1585806.9564800076,-19.324455850589167
145000.0,8361217.907200007,6780410.950719999,-1580806.9564800076,-18.90641978268195
150000.0,8516217.907200007,6940410.950719999,-1575806.9564800076,-18.503600702228944
155000.0,8671217.907200007,7100410.950719999,-1570806.9564800076,-18.11518258785439
160000.0,8826217.907200007,7260410.950719999,-1565806.9564800076,-17.74040673981884
165000.0,8981217.907200007,7420410.950719999,-1560806.9564800076,-17.37856683366684
170000.0,9136217.907200009,7580410.950719999,-1555806.9564800095,-17.029004477377008
175000.0,9291217.907200009,7740410.950719999,-1550806.9564800095,-16.69110521321697
180000.0,9446217.907200009,7900410.950719999,-1545806.9564800095,-16.364294913224253
185000.0,9601217.907200009,8060410.950719999,-1540806.9564800095,-16.048036523830476
