L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,3961853.269120007,3440379.046400003,-521474.2227200037,-13.162381019623973
5000.0,4111853.269120007,3500379.046400003,-611474.2227200037,-14.871012721007615
10000.0,4261853.269120007,3560379.046400003,-701474.2227200037,-16.459370570138024
15000.0,4411853.269120007,3620379.046400003,-791474.2227200037,-17.939722253679395
20000.0,4561853.269120007,3725189.280320004,-836663.9888000027,-18.340440593815885
25000.0,4711853.269120007,3865189.280320004,-846663.9888000027,-17.96881058136445
30000.0,4861853.269120007,4005189.280320004,-856663.9888000027,-17.62011194869027
35000.0,5011853.269120007,4145189.280320004,-866663.9888000027,-17.2922857526548
40000.0,5161853.269120007,4285189.280320004,-876663.9888000032,-16.98351237615588
45000.0,5311853.269120007,4425189.280320004,-886663.9888000032,-16.692177736808855
50000.0,5461853.269120007,4565189.280320004,-896663.9888000032,-16.41684506373549
55000.0,5611853.269120007,4705189.280320004,-906663.9888000032,-16.15623120064536
60000.0,5761853.269120007,4845189.280320004,-916663.9888000032,-15.909186610369947
65000.0,5911853.269120007,4985189.280320004,-926663.9888000032,-15.674678423436909
70000.0,6061853.269120007,5125189.280320004,-936663.9888000032,-15.45177600341319
75000.0,6211853.269120007,5265189.280320004,-946663.9888000032,-15.239638603603254
80000.0,6361853.269120007,5405189.280320004,-956663.9888000032,-15.037504769932115
85000.0,6511853.269120007,5545189.280320004,-966663.9888000032,-14.844683208450663
90000.0,6661853.269120007,5685189.280320004,-976663.9888000032,-14.66054488661854
95000.0,6811853.269120007,5825189.280320004,-986663.9888000032,-14.484516178186352
100000.0,6966217.907200007,5965189.280320004,-1001028.6268800031,-14.369757596089258
105000.0,7121217.907200007,6105189.280320004,-1016028.6268800031,-14.267624444587396
110000.0,7276217.907200007,6245189.280320004,-1031028.6268800031,-14.169842630190796
115000.0,7431217.907200007,6385189.280320004,-1046028.6268800031,-14.076139872934155
120000.0,7586217.907200007,6525189.280320004,-1061028.6268800031,-13.986266145518849
125000.0,7741217.907200007,6665189.280320004,-1076028.6268800031,-13.899991445521806
130000.0,7896217.907200007,6809832.519359996,-1086385.3878400112,-13.758300500413148
135000.0,8051217.907200007,6954832.519359996,-1096385.3878400112,-13.617634008632912
140000.0,8206217.907200007,7099832.519359996,-1106385.3878400112,-13.482281367026411
145000.0,8361217.907200007,7244832.519359996,-1116385.3878400112,-13.351947051621153
150000.0,8516217.907200007,7389832.519359996,-1126385.3878400112,-13.226357053260845
155000.0,8671217.907200007,7534832.519359996,-1136385.3878400112,-13.105256954694125
160000.0,8826217.907200007,7679832.519359996,-1146385.3878400112,-12.988410210276417
165000.0,8981217.907200007,7824832.519359996,-1156385.3878400112,-12.87559660380768
170000.0,9136217.907200009,7969832.519359996,-1166385.387840013,-12.766610863350971
175000.0,9291217.907200009,8114832.519359996,-1176385.387840013,-12.661261414700014
180000.0,9446217.907200009,8259832.519359996,-1186385.387840013,-12.559369257570665
185000.0,9601217.907200009,8404832.519359995,-1196385.387840014,-12.46076695064735
190000.0,9756217.907200009,8549832.519359995,-1206385.387840014,-12.365297693378817
195000.0,9911217.907200009,8694832.519359995,-1216385.387840014,-12.272814493931874
200000.0,10066217.907200009,8839832.519359995,-1226385.387840014,-12.183179414016301
205000.0,10221217.907200009,8984832.519359995,-1236385.387840014,-12.096262882421104
210000.0,10376217.907200009,9129832.519359997,-1246385.387840012,-12.011943070077114
215000.0,10531217.907200009,9274832.519359997,-1256385.387840012,-11.930105320307193
220000.0,10686217.907200009,9419832.519359997,-1266385.387840012,-11.850641628660453
225000.0,10841217.907200009,9564832.519359997,-1276385.387840012,-11.773450167368397
230000.0,10996845.901439998,9709832.519359997,-1287013.3820800018,-11.703477466311243
235000.0,11156845.901439998,9854832.519359997,-1302013.3820800018,-11.670084839228197
240000.0,11316845.901439998,9999832.519359997,-1317013.3820800018,-11.63763643642457
245000.0,11476845.901439998,10144832.519359997,-1332013.3820800018,-11.60609276728961
250000.0,11636845.901439998,10289832.519359997,-1347013.3820800018,-11.57541651310615
255000.0,11796845.901439998,10434832.519359997,-1362013.3820800018,-11.545572379764202
260000.0,11956845.901439998,10579832.519359997,-1377013.3820800018,-11.516526962300015
265000.0,12116845.901439998,10724832.519359997,-1392013.3820800018,-11.488248620167491
270000.0,12276845.901439998,10871065.030719984,-1405780.870720014,-11.450668046221256
275000.0,12436845.901439998,11031065.030719984,-1405780.870720014,-11.303355222542766
280000.0,12596845.901439998,11191065.030719984,-1405780.870720014,-11.159784613696935
285000.0,12756845.901439998,11351065.030719984,-1405780.870720014,-11.019815411906237
290000.0,12916845.901439998,11511065.030719984,-1405780.870720014,-10.883313786094595
295000.0,13076845.901439998,11671065.030719984,-1405780.870720014,-10.750152455074904
300000.0,13236845.901439998,11831065.030719984,-1405780.870720014,-10.620210291691038
305000.0,13396845.901439998,11991065.030719984,-1405780.870720014,-10.493371955326511
310000.0,13556845.901439998,12151065.030719984,-1405780.870720014,-10.369527550436294
315000.0,13716845.901439998,12311065.030719984,-1405780.870720014,-10.248572308976911
320000.0,13876845.901439998,12471065.030719984,-1405780.870720014,-10.130406294806058
325000.0,14036845.901439998,12631065.030719984,-1405780.870720014,-10.014934128298716
330000.0,14196845.901439998,12791065.030719984,-1405780.870720014,-9.90206472958493
335000.0,14356845.901439998,12951065.030719984,-1405780.870720014,-9.79171107895651
340000.0,14516845.901439998,13111065.030719984,-1405780.870720014,-9.683789993118047
345000.0,14676845.901439998,13271065.030719984,-1405780.870720014,-9.57822191607318
350000.0,14836845.901439998,13431065.030719984,-1405780.870720014,-9.474930723541283
355000.0,14996845.901439998,13591065.030719984,-1405780.870720014,-9.37384353989415
360000.0,15156845.901439998,13751065.030719984,-1405780.870720014,-9.274890566687464
365000.0,15316845.901439998,13911065.030719984,-1405780.870720014,-9.178004921939255
370000.0,15476845.901439998,14071065.030719984,-1405780.870720014,-9.083122489377613
375000.0,15636845.901439998,14231065.030719984,-1405780.870720014,-8.990181776943619
380000.0,15796845.901439998,14391065.030719984,-1405780.870720014,-8.899123783893256
385000.0,15956845.901439998,14551065.030719984,-1405780.870720014,-8.809891875894795
390000.0,16116845.901439998,14711065.030719984,-1405780.870720014,-8.722431667565992
395000.0,16276845.901439998,14871065.030719984,-1405780.870720014,-8.636690911939185
400000.0,16436845.901439998,15031065.030719984,-1405780.870720014,-8.552619396382225
405000.0,16596845.901439998,15191065.030719984,-1405780.870720014,-8.470168844539575
410000.0,16756845.901439998,15351065.030719984,-1405780.870720014,-8.389292823891209
415000.0,16916845.90144,15511065.030719984,-1405780.870720014,-8.309946658557378
420000.0,17076845.90144,15671065.030719984,-1405780.870720014,-8.232087347005175
425000.0,17236845.90144,15831065.030719984,-1405780.870720014,-8.155673484338411
