L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176185207.4799985,-7442202.832000673,-4.052882311717904
5000.0,184082410.31199884,176375207.4799985,-7707202.832000345,-4.186821988552578
10000.0,184537410.31199852,176571118.91999847,-7966291.392000049,-4.316897792448367
15000.0,184992410.3119985,176789677.35999846,-8202732.952000022,-4.434091613902281
20000.0,185450704.0719986,177212957.47999847,-8237746.592000127,-4.442014190898914
25000.0,185918149.5519987,177672957.47999847,-8245192.072000235,-4.434850546796223
30000.0,186404988.23199877,178132957.47999847,-8272030.752000302,-4.437665982256318
35000.0,186905063.75199875,178592957.47999847,-8312106.272000283,-4.447234390090939
40000.0,187413678.79199877,179052957.47999847,-8360721.312000304,-4.461105168998607
45000.0,188046042.7024008,179788058.6799985,-8257984.022402316,-4.391469186868927
50000.0,189011042.7024006,180698058.6799985,-8312984.022402108,-4.3981472741203635
55000.0,190041743.1702411,181608058.6799985,-8433684.4902426,-4.4378063206290586
60000.0,191101510.2102409,182518058.6799985,-8583451.530242413,-4.491566561038321
65000.0,192161510.2102407,183428058.6799985,-8733451.530242205,-4.544849549052295
70000.0,193229395.3302405,184338058.6799985,-8891336.650242,-4.601441015248317
75000.0,194304395.33024037,185248058.6799985,-9056336.650241882,-4.660901589410627
80000.0,195379395.3302402,186158058.6799985,-9221336.650241703,-4.7197078456790855
85000.0,196454395.33024004,187068058.6799985,-9386336.650241554,-4.777870525351755
90000.0,197529395.33023983,187978787.03999847,-9550608.29024136,-4.835031400908286
95000.0,198604395.3302397,188893787.03999847,-9710608.290241241,-4.889422650538235
100000.0,199713445.24384013,189829785.4399985,-9883659.80384162,-4.948920585579087
105000.0,200938445.24383992,191062365.19999847,-9876080.043841451,-4.91497783406096
110000.0,202164715.2038397,192382365.19999847,-9782350.003841221,-4.838801862124072
115000.0,203394715.20383957,193702365.19999847,-9692350.003841102,-4.765290973331118
120000.0,204624715.20383933,195022365.19999847,-9602350.003840864,-4.6926638330444925
125000.0,205854715.20383915,196342365.19999847,-9512350.003840685,-4.6209045998394895
130000.0,207084715.2038389,197662365.19999847,-9422350.003840446,-4.5499978086580555
135000.0,208314715.20383897,198982365.19999847,-9332350.003840506,-4.4799283596978094
140000.0,209544715.20383903,200302365.19999847,-9242350.003840566,-4.410681507691509
145000.0,210774715.2038392,201622365.19999847,-9152350.003840744,-4.342242851562888
150000.0,212004715.20383927,202942365.19999847,-9062350.003840804,-4.274598324441744
155000.0,213234715.20383936,204262365.19999847,-8972350.003840894,-4.207734184025277
160000.0,214474450.91615945,205582365.19999847,-8892085.716160983,-4.14598833482362
