L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176143788.77087846,-7483621.541120708,-4.075438154034507
5000.0,184082410.31199884,176333788.77087846,-7748621.54112038,-4.209322079164079
10000.0,184537410.31199852,176532718.2108785,-8004692.101120025,-4.33770696553422
15000.0,184992410.3119985,176750046.65087846,-8242363.661120027,-4.455514497713117
20000.0,185450704.0719986,177045071.35263848,-8405632.719360113,-4.53254289943097
25000.0,185918149.5519987,177505071.35263848,-8413078.199360222,-4.525151643146707
30000.0,186404988.23199877,177965071.35263848,-8439916.879360288,-4.527731236921626
35000.0,186905063.75199875,178425071.35263848,-8479992.39936027,-4.537058669856174
40000.0,187413678.79199877,178885071.35263848,-8528607.43936029,-4.550685677978592
45000.0,188046042.7024008,179738956.2230385,-8307086.479362309,-4.417581120018035
50000.0,189011042.7024006,180648956.2230385,-8362086.4793621,-4.424125892225394
55000.0,190041743.1702411,181558956.2230385,-8482786.947202593,-4.463644042458418
60000.0,191101510.2102409,182468956.2230385,-8632553.987202406,-4.517260997940454
65000.0,192161510.2102407,183378956.2230385,-8782553.987202197,-4.57040225047844
70000.0,193229395.3302405,184288956.2230385,-8940439.107201993,-4.626852499290935
75000.0,194304395.33024037,185198956.2230385,-9105439.107201874,-4.686172482987963
80000.0,195379395.3302402,186108956.2230385,-9270439.107201695,-4.744839695881097
85000.0,196454395.33024004,187018956.2230385,-9435439.107201546,-4.802864853871334
90000.0,197529395.33023983,187929306.2201585,-9600089.110081345,-4.860081252226496
95000.0,198604395.3302397,188844306.2201585,-9760089.110081226,-4.9143369127617405
100000.0,199713445.24384013,189799609.09055853,-9913836.1532816,-4.964030409258275
105000.0,200938445.24383992,190997494.0473585,-9940951.196481407,-4.947261926117726
110000.0,202164715.2038397,192310248.9868785,-9854466.216961175,-4.874473869995099
115000.0,203394715.20383957,193630248.9868785,-9764466.216961056,-4.800747259915398
120000.0,204624715.20383933,194950248.9868785,-9674466.216960818,-4.727906991745099
125000.0,205854715.20383915,196270248.9868785,-9584466.216960639,-4.6559371775720635
130000.0,207084715.2038389,197590248.9868785,-9494466.2169604,-4.584822306955271
135000.0,208314715.20383897,198910248.9868785,-9404466.21696046,-4.514547235781233
140000.0,209544715.20383903,200230248.9868785,-9314466.21696052,-4.445097175512003
145000.0,210774715.2038392,201550248.9868785,-9224466.216960698,-4.3764576828106545
150000.0,212004715.20383927,202870248.9868785,-9134466.216960758,-4.308614649527068
155000.0,213234715.20383936,204190248.9868785,-9044466.216960847,-4.241554293030987
160000.0,214474450.91615945,205510248.9868785,-8964201.929280937,-4.179612952027161
165000.0,215718176.8703996,206830248.9868785,-8887927.88352108,-4.1201571478424
170000.0,216968176.87039968,208150248.9868785,-8817927.88352117,-4.064157246796764
175000.0,218218176.8703997,209470248.9868785,-8747927.8835212,-4.0087989043720285
180000.0,219468176.8703997,210790248.9868785,-8677927.8835212,-3.9540711584102177
185000.0,220718176.8703997,212110248.9868785,-8607927.8835212,-3.8999632950826535
190000.0,221968176.8703997,213430248.9868785,-8537927.8835212,-3.8464648418976872
195000.0,223220271.8531199,214750248.9868785,-8470022.866241395,-3.794468484392275
200000.0,224485271.85311997,216070248.9868785,-8415022.866241455,-3.74858572982346
205000.0,225764538.8070401,217390248.9868785,-8374289.820161581,-3.7093025611604347
210000.0,227069538.80704013,218710248.9868785,-8359289.820161611,-3.6813787811782164
215000.0,228374538.8070402,220030248.9868785,-8344289.8201617,-3.6537741307545737
220000.0,229764033.5478409,221350248.9868785,-8413784.560962379,-3.661924118863661
225000.0,231457233.2540817,222670248.9868785,-8786984.267203182,-3.79637488259323
230000.0,233242233.25408143,223990248.9868785,-9251984.267202914,-3.9666848229515557
235000.0,235027233.2540812,225310248.9868785,-9716984.267202675,-4.134407801455894
240000.0,236812233.254081,226630248.9868785,-10181984.267202497,-4.299602316691987
245000.0,238597233.2540808,227950248.9868785,-10646984.267202288,-4.462325116680786
250000.0,240382233.25408053,229270248.9868785,-11111984.26720202,-4.622631263874154
255000.0,242167233.25408036,230590248.9868785,-11576984.26720184,-4.780574197276037
260000.0,243952233.2540801,231922497.4982386,-12029735.755841494,-4.931184927219885
265000.0,245737233.25407985,233263664.65727884,-12473568.596801013,-5.075978284456379
270000.0,247522233.25407964,234819539.16863889,-12702694.085440755,-5.131940641631791
275000.0,249307233.2540794,236562186.8390389,-12745046.415040493,-5.112184772453627
280000.0,251092233.2540792,238347186.8390389,-12745046.415040284,-5.075842549914168
285000.0,252877233.2540789,240132186.8390389,-12745046.415039986,-5.040013389514736
290000.0,254662233.25407872,241917186.8390389,-12745046.415039808,-5.004686502660158
295000.0,256447233.25407848,243702186.8390389,-12745046.41503957,-4.9698514011310255
300000.0,258232233.25407824,245487186.8390389,-12745046.41503933,-4.935497886702357
305000.0,260017233.254078,247272186.8390389,-12745046.415039092,-4.901616041189533
310000.0,261802233.2540778,249057186.8390389,-12745046.415038884,-4.8681962169015875
315000.0,263587233.25407755,250842186.8390389,-12745046.415038645,-4.8352290274823035
320000.0,265372233.2540773,252627186.8390389,-12745046.415038377,-4.802705339121065
325000.0,267157233.25407708,254412186.8390389,-12745046.415038168,-4.770616262115998
330000.0,268942233.2540769,256197186.8390389,-12745046.41503799,-4.738953142773007
335000.0,270727233.25407666,257982186.8390389,-12745046.415037751,-4.707707555625394
340000.0,272512233.25407654,259767186.8390389,-12745046.415037632,-4.676871295959327
345000.0,274297233.2540766,261552186.8390389,-12745046.415037692,-4.64643637263092
350000.0,276082233.2540766,263337186.8390389,-12745046.415037692,-4.616395001162031
355000.0,277867233.2540766,265122186.8390389,-12745046.415037692,-4.586739597102426
360000.0,279652233.25407666,266907186.8390389,-12745046.415037751,-4.557462769645863
365000.0,281437233.2540767,268692186.8390389,-12745046.41503781,-4.52855731548917
370000.0,283222233.2540768,270477186.8390389,-12745046.41503787,-4.500016212923643
375000.0,285011971.16831696,272262186.8390389,-12749784.329278052,-4.473420634583986
380000.0,286801971.1683171,274047186.8390389,-12754784.329278171,-4.447244304953783
385000.0,288591971.16831714,275832186.8390389,-12759784.32927823,-4.42139269419809
390000.0,290381971.16831726,277617186.8390389,-12764784.32927835,-4.395859797328588
395000.0,292171971.1683174,279402186.8390389,-12769784.32927847,-4.370639756515837
400000.0,293961971.1683176,281187186.8390389,-12774784.329278708,-4.345726856608974
405000.0,295751971.16831774,282972186.8390389,-12779784.329278827,-4.321115520817822
410000.0,297541971.16831785,284757186.8390389,-12784784.329278946,-4.296800306551261
415000.0,299331971.16831803,286542186.8390389,-12789784.329279125,-4.272775901404556
420000.0,301121971.1683182,288327186.8390389,-12794784.329279304,-4.249037119289911
425000.0,302911971.16831833,290112186.8390389,-12799784.329279423,-4.225578896704284
430000.0,304701971.16831845,291897186.8390389,-12804784.329279542,-4.202396289128742
