L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176222137.77087846,-7405272.541120708,-4.032770776725815
5000.0,184082410.31199884,176415217.2108785,-7667193.101120353,-4.165087304172804
10000.0,184537410.31199852,176620217.2108785,-7917193.101120025,-4.290291647495421
15000.0,184992410.3119985,176840008.65087846,-8152401.661120027,-4.406884394538465
20000.0,185450704.0719986,177219342.35263848,-8231361.719360113,-4.438571296102712
25000.0,185918149.5519987,177679342.35263848,-8238807.199360222,-4.431416308312569
30000.0,186404988.23199877,178139342.35263848,-8265645.879360288,-4.434240713061232
35000.0,186905063.75199875,178599342.35263848,-8305721.399360269,-4.443818285405576
40000.0,187413678.79199877,179142907.2230385,-8270771.568960279,-4.413109876648653
45000.0,188046042.7024008,180052907.2230385,-7993135.479362309,-4.250626795700317
50000.0,189011042.7024006,180962907.2230385,-8048135.4793621,-4.258023956851005
55000.0,190041743.1702411,181872907.2230385,-8168835.947202593,-4.298442968861256
60000.0,191101510.2102409,182782907.2230385,-8318602.987202406,-4.352976058666763
65000.0,192161510.2102407,183692907.2230385,-8468602.987202197,-4.407023538656019
70000.0,193229395.3302405,184602907.2230385,-8626488.107201993,-4.464376702343251
75000.0,194304395.33024037,185512907.2230385,-8791488.107201874,-4.524595592528843
80000.0,195379395.3302402,186422907.2230385,-8956488.107201695,-4.584151820135887
85000.0,196454395.33024004,187332907.2230385,-9121488.107201546,-4.643056263448988
90000.0,197529395.33023983,188244096.2201585,-9285299.110081345,-4.700717629676182
95000.0,198604395.3302397,189167946.1337585,-9436449.196481228,-4.751379837687018
100000.0,199713445.24384013,190258978.0905585,-9454467.15328163,-4.734016351146613
105000.0,200938445.24383992,191454403.0473585,-9484042.196481407,-4.719874379923896
110000.0,202164715.2038397,192773709.9868785,-9391005.216961175,-4.645224666179933
115000.0,203394715.20383957,194093709.9868785,-9301005.216961056,-4.572884407365112
120000.0,204624715.20383933,195413709.9868785,-9211005.216960818,-4.501413823733446
125000.0,205854715.20383915,196733709.9868785,-9121005.216960639,-4.430797326128254
130000.0,207084715.2038389,198053709.9868785,-9031005.2169604,-4.361019695766028
135000.0,208314715.20383897,199373709.9868785,-8941005.21696046,-4.2920660733023865
140000.0,209544715.20383903,200693709.9868785,-8851005.21696052,-4.223921948282264
145000.0,210774715.2038392,202013709.9868785,-8761005.216960698,-4.156573148960478
150000.0,212004715.20383927,203333709.9868785,-8671005.216960758,-4.090005832475811
155000.0,213234715.20383936,204653709.9868785,-8581005.216960847,-4.024206475365857
160000.0,214474450.91615945,205973709.9868785,-8500740.929280937,-3.9635214791173308
165000.0,215718176.8703996,207293709.9868785,-8424466.88352108,-3.9053115531299802
170000.0,216968176.87039968,208613709.9868785,-8354466.883521169,-3.8505494234352593
175000.0,218218176.8703997,209933709.9868785,-8284466.883521199,-3.796414671927794
180000.0,219468176.8703997,211253709.9868785,-8214466.883521199,-3.7428965787472706
185000.0,220718176.8703997,212573709.9868785,-8144466.883521199,-3.6899846668738254
190000.0,221968176.8703997,213893709.9868785,-8074466.883521199,-3.637668695290329
195000.0,223220271.8531199,215213709.9868785,-8006561.8662413955,-3.5868435244580983
200000.0,224485271.85311997,216533709.9868785,-7951561.866241455,-3.542130760116921
205000.0,225764538.8070401,217853709.9868785,-7910828.820161581,-3.50401744311268
210000.0,227069538.80704013,219173709.9868785,-7895828.820161611,-3.4772734650557218
215000.0,228374538.8070402,220493709.9868785,-7880828.8201617,-3.450835133079535
220000.0,229764033.5478409,221813709.9868785,-7950323.560962379,-3.4602123919046637
225000.0,231457233.2540817,223133709.9868785,-8323523.267203182,-3.5961387553898785
230000.0,233242233.25408143,224453709.9868785,-8788523.267202914,-3.7679811004163954
235000.0,235027233.2540812,225773709.9868785,-9253523.267202675,-3.937213206777172
240000.0,236812233.254081,227093709.9868785,-9718523.267202497,-4.103894099413049
245000.0,238597233.2540808,228413709.9868785,-10183523.267202288,-4.268081036948955
250000.0,240382233.25408053,229733709.9868785,-10648523.26720202,-4.429829577274409
255000.0,242167233.25408036,231053709.9868785,-11113523.26720184,-4.589193640223656
260000.0,243952233.2540801,232374852.4982386,-11577380.755841494,-4.745757233459499
265000.0,245737233.25407985,233709852.4982386,-12027380.755841255,-4.894407166782721
270000.0,247522233.25407964,235130385.83903888,-12391847.415040761,-5.006357308646543
275000.0,249307233.2540794,236915385.83903888,-12391847.415040523,-4.970512589344519
280000.0,251092233.2540792,238700385.83903888,-12391847.415040314,-4.935177506068479
285000.0,252877233.2540789,240485385.83903888,-12391847.415040016,-4.900341266621374
290000.0,254662233.25407872,242270385.83903888,-12391847.415039837,-4.865993381388588
295000.0,256447233.25407848,244055385.83903888,-12391847.415039599,-4.832123652807052
300000.0,258232233.25407824,245840385.83903888,-12391847.41503936,-4.798722165271619
305000.0,260017233.254078,247625385.83903888,-12391847.415039122,-4.765779275456841
310000.0,261802233.2540778,249410385.83903888,-12391847.415038913,-4.733285603034824
315000.0,263587233.25407755,251195385.83903888,-12391847.415038675,-4.701232021770151
320000.0,265372233.2540773,252980385.83903888,-12391847.415038407,-4.6696096509742935
325000.0,267157233.25407708,254765385.83903888,-12391847.415038198,-4.638409847302567
330000.0,268942233.2540769,256550385.83903888,-12391847.41503802,-4.607624196877666
335000.0,270727233.25407666,258335385.83903888,-12391847.415037781,-4.577244507724892
340000.0,272512233.25407654,260120385.83903888,-12391847.415037662,-4.547262802504772
345000.0,274297233.2540766,261905385.83903888,-12391847.415037721,-4.517671311529189
