L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176223736.77087846,-7403673.541120708,-4.0318999916958
5000.0,184082410.31199884,176414449.2108785,-7667961.101120353,-4.165504508618736
10000.0,184537410.31199852,176619510.65087846,-7917899.661120057,-4.290674529209669
15000.0,184992410.3119985,176839510.65087846,-8152899.661120027,-4.407153594771685
20000.0,185450704.0719986,177266280.35263848,-8184423.719360113,-4.413261065961025
25000.0,185918149.5519987,177726280.35263848,-8191869.199360222,-4.40616971452218
30000.0,186404988.23199877,178186280.35263848,-8218707.879360288,-4.409060056446195
35000.0,186905063.75199875,178646280.35263848,-8258783.399360269,-4.418705001122234
40000.0,187413678.79199877,179106280.35263848,-8307398.439360291,-4.432653204881733
45000.0,188046042.7024008,179850365.2230385,-8195677.479362309,-4.358335523355139
50000.0,189011042.7024006,180760365.2230385,-8250677.4793621,-4.365182775248141
55000.0,190041743.1702411,181670365.2230385,-8371377.947202593,-4.405020606290397
60000.0,191101510.2102409,182580365.2230385,-8521144.987202406,-4.458962662214361
65000.0,192161510.2102407,183490365.2230385,-8671144.987202197,-4.512425499630619
70000.0,193229395.3302405,184400365.2230385,-8829030.107201993,-4.569196157816805
75000.0,194304395.33024037,185310365.2230385,-8994030.107201874,-4.628835128467162
80000.0,195379395.3302402,186220365.2230385,-9159030.107201695,-4.687817818107502
85000.0,196454395.33024004,187130365.2230385,-9324030.107201546,-4.746155000262449
90000.0,197529395.33023983,188042673.2201585,-9486722.110081345,-4.802688781698012
95000.0,198604395.3302397,188957673.2201585,-9646722.110081226,-4.857255094501126
100000.0,199713445.24384013,189962089.09055853,-9751356.1532816,-4.8826738437042545
105000.0,200938445.24383992,191156052.9868785,-9782392.256961405,-4.868352716221337
110000.0,202164715.2038397,192476052.9868785,-9688662.216961175,-4.792459558134188
115000.0,203394715.20383957,193796052.9868785,-9598662.216961056,-4.719228917694051
120000.0,204624715.20383933,195116052.9868785,-9508662.216960818,-4.646878656612253
125000.0,205854715.20383915,196436052.9868785,-9418662.216960639,-4.575392993856952
130000.0,207084715.2038389,197756052.9868785,-9328662.2169604,-4.504756523328124
135000.0,208314715.20383897,199076052.9868785,-9238662.21696046,-4.434954202788936
140000.0,209544715.20383903,200396052.9868785,-9148662.21696052,-4.36597134318609
145000.0,210774715.2038392,201716052.9868785,-9058662.216960698,-4.29779359834509
150000.0,212004715.20383927,203036052.9868785,-8968662.216960758,-4.230406955023396
155000.0,213234715.20383936,204356052.9868785,-8878662.216960847,-4.163797723308509
160000.0,214474450.91615945,205676052.9868785,-8798397.929280937,-4.102305841883392
165000.0,215718176.8703996,206996052.9868785,-8722123.88352108,-4.043295752847572
170000.0,216968176.87039968,208316052.9868785,-8652123.88352117,-3.9877386667120733
175000.0,218218176.8703997,209636052.9868785,-8582123.8835212,-3.932818066122027
180000.0,219468176.8703997,210956052.9868785,-8512123.8835212,-3.8785230756018794
185000.0,220718176.8703997,212276052.9868785,-8442123.8835212,-3.8248430660417276
190000.0,221968176.8703997,213596052.9868785,-8372123.883521199,-3.7717676477603455
195000.0,223220271.8531199,214916052.9868785,-8304218.8662413955,-3.720190284377762
200000.0,224485271.85311997,216236052.9868785,-8249218.866241455,-3.674726095901246
205000.0,225764538.8070401,217556052.9868785,-8208485.820161581,-3.6358614437572663
210000.0,227069538.80704013,218876052.9868785,-8193485.820161611,-3.608359740019685
215000.0,228374538.8070402,220196052.9868785,-8178485.8201617,-3.581172342102428
220000.0,229764033.5478409,221516052.9868785,-8247980.560962379,-3.5897613885007833
225000.0,231457233.2540817,222836052.9868785,-8621180.267203182,-3.7247400506767914
230000.0,233242233.25408143,224156052.9868785,-9086180.267202914,-3.8955982115404124
235000.0,235027233.2540812,225476052.9868785,-9551180.267202675,-4.063861083229095
