label,group,n_points,max_abs_diff_ns,max_abs_rel_diff_pct,mean_abs_diff_ns,mean_abs_rel_diff_pct,elapsed_s,args,actual,expected
fig03_auto_rank6_legacy,fig03_auto,201,1405780.870720014,18.340440593815885,1315608.4342400117,8.438166570228473,27.75442931242287,--program-rank 6 --node-map-mode rank-block --ring-duplicate-policy last --nic-per-rank --force-sequential,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_auto_rank6_legacy/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_auto/latency_compressed_runtime.csv
fig03_auto_rank4_legacy,fig03_auto,201,1413927.8707200177,18.389828416419714,1321964.5313114568,8.467490691610493,24.12674605846405,--program-rank 4 --node-map-mode rank-block --ring-duplicate-policy last --nic-per-rank --force-sequential,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_auto_rank4_legacy/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_auto/latency_compressed_runtime.csv
fig03_auto_rank4_default,fig03_auto,201,1512698.9564800085,34.58706155224087,1398501.7527196028,9.98561802108419,23.264123264700174,--program-rank 4,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_auto_rank4_default/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_auto/latency_compressed_runtime.csv
fig03_auto_rank6_default,fig03_auto,201,1620806.9564800076,37.004869418741606,1509958.8422288555,10.752772199262482,22.372746519744396,--program-rank 6,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_auto_rank6_default/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_auto/latency_compressed_runtime.csv
fig03_ch1_legacy_no_intra,fig03_ch1,201,1417438.6214400083,11.43802338455496,1071666.7275383405,5.005514966998655,28.024609450250864,--node-map-mode rank-block --ring-duplicate-policy last --disable-intra-node-transfer,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_ch1_legacy_no_intra/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_ch1/latency_compressed_runtime.csv
fig03_ch1_default,fig03_ch1,201,1441689.870720014,11.633718882175573,1089416.6895777478,5.086184125349899,37.64468096382916,,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_ch1_default/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_ch1/latency_compressed_runtime.csv
fig03_ch1_rank_block_last,fig03_ch1,201,1451628.870720014,11.713921659706497,1096685.8288812304,5.119200626164626,34.31195233762264,--node-map-mode rank-block --ring-duplicate-policy last,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_ch1_rank_block_last/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_ch1/latency_compressed_runtime.csv
fig03_ch1_rank_block,fig03_ch1,201,1460010.870720014,11.78156022306943,1102806.6050006335,5.146965809503378,36.18389183096588,--node-map-mode rank-block,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_ch1_rank_block/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_ch1/latency_compressed_runtime.csv
fig03_ch1_rank_block_last_nic_seq,fig03_ch1,201,1470025.870720014,11.862376282730583,1110142.7990304842,5.18032916663974,25.315096888691187,--node-map-mode rank-block --ring-duplicate-policy last --nic-per-rank --force-sequential,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig03_ch1_rank_block_last_nic_seq/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/ar_128m_16n_ch1/latency_compressed_runtime.csv
fig04_mixed_rank_block_last_nic_seq,fig04_mixed,201,17719765.546888232,4.974985240759493,13722795.734317478,4.0927182179548804,64.37281987443566,--node-map-mode rank-block --ring-duplicate-policy last --nic-per-rank --force-sequential,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig04_mixed_rank_block_last_nic_seq/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/mixed_16n_ch1/latency_full_runtime.csv
fig04_mixed_rank_block_last,fig04_mixed,201,17719255.546888232,5.006357308646543,13697207.953324858,4.076223954816967,66.21033996529877,--node-map-mode rank-block --ring-duplicate-policy last,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig04_mixed_rank_block_last/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/mixed_16n_ch1/latency_full_runtime.csv
fig04_mixed_default,fig04_mixed,201,17804340.546888232,5.024776230256519,13834532.35924086,4.132172431221768,112.90304087661207,,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig04_mixed_default/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/mixed_16n_ch1/latency_full_runtime.csv
fig04_mixed_legacy_no_intra,fig04_mixed,201,17923385.757768273,5.038194778273717,13877586.260243043,4.137883260247013,74.81933020427823,--node-map-mode rank-block --ring-duplicate-policy last --disable-intra-node-transfer,/home/hpcuser/SC_Tracing/data/revalidation/fig34_mode_sweep/fig04_mixed_legacy_no_intra/comp/sweeps/composed_runtime.csv,/home/hpcuser/SC_Tracing/data/output/final_plots/data/mixed_16n_ch1/latency_full_runtime.csv
