L,runtime
0,841387233.6
5000,842367233.6
10000,843347233.6
15000,844327233.6
20000,845307233.6
25000,846287233.6
30000,847267233.6
35000,848247233.6
40000,849227233.6
45000,850207233.6
50000,851187233.6
55000,852167233.6
60000,853147233.6
65000,854127233.6
70000,855107233.6
75000,856087233.6
80000,857067233.6
85000,858047233.6
90000,859027233.6
95000,860007233.6
100000,860987233.6
105000,861967233.6
110000,862947233.6
115000,863927233.6
120000,864907233.6
125000,865887233.6
130000,866867233.6
135000,867847233.6
140000,868827233.6
145000,869807233.6
150000,870787233.6
155000,871767233.6
160000,872747233.6
165000,873727233.6
170000,874707233.6
175000,875691251.1999999
180000,876686251.1999999
185000,877681251.1999999
190000,878676251.1999999
195000,879671251.1999999
200000,881098174.4
205000,882573174.4
210000,884048174.4
215000,885523174.4
220000,886998174.4
225000,888473174.4
230000,889948174.4
235000,891423174.4
240000,892898174.4
245000,894398377.4000001
250000,896338377.4000001
255000,898278377.4000001
260000,900218377.4000001
265000,902158377.4000001
270000,904098377.4000001
275000,906038377.4000001
280000,907978377.4000001
285000,909918377.4000001
290000,911858377.4000001
295000,913798377.4000001
300000,915738377.4000001
305000,917678377.4000001
310000,919618377.4000001
315000,921558377.4000001
320000,923498377.4000001
325000,925438377.4000001
330000,927378377.4000001
335000,929318377.4000001
340000,931258377.4000001
345000,933198377.4000001
350000,935138377.4000001
355000,937078377.4000001
360000,939018377.4000001
365000,940958377.4000001
370000,942898377.4000001
375000,944838377.4000001
380000,946778377.4000001
385000,948889907.6800001
390000,951324907.6800001
395000,953759907.6800001
400000,956194907.6800001
405000,958629907.6800001
410000,961064907.6800001
415000,963499907.6800001
420000,965934907.6800001
425000,968369907.6800001
430000,970804907.6800001
435000,973267275.3600004
440000,976182275.3600004
445000,979097275.3600004
450000,982012275.3600004
455000,984927275.3600004
460000,987842275.3600004
465000,990757275.3600004
470000,993672275.3600004
475000,996587275.3600004
480000,999502275.3600004
485000,1002417275.3600004
490000,1005332275.3600004
495000,1008247275.3600004
500000,1011162275.3600004
505000,1014077275.3600004
510000,1016992275.3600004
515000,1019907275.3600004
520000,1022822275.3600004
525000,1025737275.3600004
530000,1028652275.3600004
535000,1031567275.3600004
540000,1034482275.3600004
545000,1037397275.3600004
550000,1040312275.3600004
555000,1043404507.3199993
560000,1046784507.3199993
565000,1050164507.3199993
570000,1053544507.3199993
575000,1056924507.3199993
580000,1060304507.3199993
585000,1063684507.3199993
590000,1067074730.7199996
595000,1070469730.7199996
600000,1073864730.7199996
605000,1077259730.7199996
610000,1080654730.7199996
615000,1084049730.7199996
620000,1087444730.7199996
625000,1090839730.7199996
630000,1094234730.7199996
635000,1097629730.7199996
640000,1101024730.7199996
645000,1104419730.7199996
650000,1107814730.7199996
655000,1111209730.7199996
660000,1114604730.7199996
665000,1117999730.7199996
670000,1121394730.7199996
675000,1124791222.4400005
680000,1128201222.4400005
685000,1131611222.4400005
690000,1135021222.4400005
695000,1138431222.4400005
700000,1141841222.4400005
705000,1145251222.4400005
710000,1148661222.4400005
715000,1152071222.4400005
720000,1155481222.4400005
725000,1158891222.4400005
730000,1162301222.4400005
735000,1165711222.4400005
740000,1169121222.4400005
745000,1172531222.4400005
750000,1175941222.4400005
755000,1179351222.4400005
760000,1182761222.4400005
765000,1186171222.4400005
770000,1189581222.4400005
775000,1192991222.4400005
780000,1196401222.4400005
785000,1199811222.4400005
790000,1203221222.4400005
795000,1206631222.4400005
800000,1210041222.4400005
805000,1213451222.4400005
810000,1216861222.4400005
815000,1220271222.4400005
820000,1223681222.4400005
825000,1227091222.4400005
830000,1230501222.4400005
835000,1233911222.4400005
840000,1237414069.800002
845000,1241304069.800002
850000,1245194069.800002
855000,1249084069.800002
860000,1252974069.800002
865000,1256864069.800002
870000,1260754069.800002
875000,1264644069.800002
880000,1268534069.800002
885000,1272424069.800002
890000,1276314069.800002
895000,1280204069.800002
900000,1284094069.800002
905000,1287984069.800002
910000,1291874069.800002
915000,1295764069.800002
920000,1299654069.800002
925000,1303544069.800002
930000,1307434069.800002
935000,1311324069.800002
940000,1315214069.800002
945000,1319104069.800002
950000,1322994069.800002
955000,1326884069.800002
960000,1330774069.800002
965000,1334664069.800002
970000,1338554069.800002
975000,1342444069.800002
980000,1346334069.800002
985000,1350224069.800002
990000,1354114069.800002
995000,1358004069.800002
1000000,1361894069.800002
