L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,847596608.2284416,841387233.6,-6209374.628441572,-0.7325860637195991
5000.0,848236591.78844,842367233.6,-5869358.188439965,-0.6919482424195927
10000.0,848892511.7884398,843347233.6,-5545278.188439727,-0.6532367892793612
15000.0,849566064.7756389,844327233.6,-5238831.175638914,-0.6166478856500032
20000.0,850258169.2412387,845307233.6,-4950935.641238689,-0.5822861597033347
25000.0,851055603.9061973,846287233.6,-4768370.306197286,-0.5602889264004954
30000.0,851935707.2066766,847267233.6,-4668473.6066765785,-0.5479842630359457
35000.0,852889855.9155558,848247233.6,-4642622.315555811,-0.5443401962580587
40000.0,853957092.7417164,849227233.6,-4729859.141716361,-0.5538755028699001
45000.0,855067871.1615562,850207233.6,-4860637.56155622,-0.5684504967954588
50000.0,856247328.574356,851187233.6,-5060094.974355936,-0.5909618407546974
55000.0,857650587.9916347,852167233.6,-5483354.391634703,-0.6393459607455182
60000.0,859143593.1033118,853147233.6,-5996359.503311753,-0.6979461351335122
65000.0,860719690.7938695,854127233.6,-6592457.193869472,-0.7659238268139347
70000.0,862343642.0402685,855107233.6,-7236408.440268517,-0.8391560031853984
75000.0,864018336.7330676,856087233.6,-7931103.133067608,-0.9179322701710051
80000.0,865719476.1170657,857067233.6,-8652242.517065644,-0.9994279620313934
85000.0,867459476.1170645,858047233.6,-9412242.517064452,-1.0850354138957221
90000.0,869199476.117064,859027233.6,-10172242.517063975,-1.1703001205783028
95000.0,870955064.9202634,860007233.6,-10947831.320263386,-1.2569915212865395
100000.0,872741950.8277835,860987233.6,-11754717.227783442,-1.3468720297717163
105000.0,874541950.8277835,861967233.6,-12574717.227783442,-1.437863239822978
110000.0,876344878.065223,862947233.6,-13397644.465222955,-1.5288095817712783
115000.0,878217574.9129028,863927233.6,-14290341.312902808,-1.6271982844706852
120000.0,880107574.9129033,864907233.6,-15200341.312903285,-1.7271003847918858
125000.0,881997574.9129034,865887233.6,-16110341.312903404,-1.8265743320773062
130000.0,883887574.9129034,866867233.6,-17020341.312903404,-1.9256228728614673
