signature,count,status,reason,lp_vars,lp_constrs,n_pieces,error
allgather_ring_simple_18514432B_16r_8ch,1,ok,lp,29332,56000,2,
allgather_ring_simple_6291968B_16r_8ch,32,ok,lp,9876,18752,2,
allgather_ring_simple_11272192B_16r_8ch,32,ok,lp,19604,37376,2,
allgather_ring_simple_7733760B_16r_8ch,31,ok,lp,9876,18752,2,
allgather_ring_simple_5636608B_16r_8ch,1,ok,lp,9876,18752,2,
allgather_ring_simple_16416768B_16r_8ch,1,ok,lp,19604,37376,2,
reducescatter_ring_simple_32833536B_16r_8ch,1,ok,lp,39060,74624,1,
reducescatter_ring_simple_11273216B_16r_8ch,1,ok,lp,19604,37376,2,
reducescatter_ring_simple_22544384B_16r_8ch,32,ok,lp,29332,56000,2,
reducescatter_ring_simple_12583936B_16r_8ch,32,ok,lp,19604,37376,2,
reducescatter_ring_simple_15467520B_16r_8ch,31,ok,lp,19604,37376,2,
reducescatter_ring_simple_37028864B_16r_8ch,1,ok,lp,48788,93248,1,
