L,runtime
0,641549946.8
5000,642529946.8
10000,643509946.8
15000,644489946.8
20000,645469946.8
25000,646449946.8
30000,647429946.8
35000,648409946.8
40000,649389946.8
45000,650369946.8
50000,651349946.8
55000,652329946.8
60000,653309946.8
65000,654300040.95136
70000,655295040.95136
75000,656731747.2732799
80000,658206747.2732799
85000,659681747.2732799
90000,661156747.2732799
95000,663092838.14848
100000,665032838.14848
105000,666972838.14848
110000,668912838.14848
115000,670852838.14848
120000,672792838.14848
125000,674732838.14848
130000,676672838.14848
135000,678612838.14848
140000,680552838.14848
145000,682492838.14848
150000,684432838.14848
155000,686372838.14848
160000,688422773.1033602
165000,690857773.1033602
170000,693292773.1033602
175000,695727773.1033602
180000,698162773.1033602
185000,700830519.0668803
190000,703745519.0668803
195000,706660519.0668803
200000,709575519.0668803
205000,712490519.0668803
210000,715405519.0668803
215000,718320519.0668803
220000,721235519.0668803
225000,724150519.0668803
230000,727065519.0668803
235000,729980519.0668803
240000,733107257.4790416
245000,736487257.4790416
250000,739867257.4790416
255000,743247257.4790416
260000,746627257.4790416
265000,750021776.8704016
270000,753416776.8704016
275000,756811776.8704016
280000,760206776.8704016
285000,763601776.8704016
290000,766996776.8704016
295000,770391776.8704016
300000,773786776.8704016
305000,777193160.4217615
310000,780603160.4217615
315000,784013160.4217615
320000,787423160.4217615
325000,790833160.4217615
330000,794243160.4217615
335000,797653160.4217615
340000,801063160.4217615
345000,804473160.4217615
350000,807883160.4217615
355000,811293160.4217615
360000,814703160.4217615
365000,818113160.4217615
370000,821523160.4217615
375000,824933160.4217615
380000,828343160.4217615
385000,831753160.4217615
390000,835637350.2252816
395000,839527350.2252816
400000,843417350.2252816
405000,847307350.2252816
410000,851197350.2252816
415000,855087350.2252816
420000,858977350.2252816
425000,862867350.2252816
430000,866757350.2252816
435000,870647350.2252816
440000,874537350.2252816
445000,878427350.2252816
450000,882317350.2252816
455000,886207350.2252816
460000,890097350.2252816
465000,893987350.2252816
470000,897877350.2252816
475000,901767350.2252816
480000,905657350.2252816
485000,909547350.2252816
490000,913437350.2252816
495000,917327350.2252816
500000,921217350.2252816
505000,925107350.2252816
510000,928997350.2252816
515000,932887350.2252816
520000,936777350.2252816
525000,940667350.2252816
530000,944557350.2252816
535000,948447350.2252816
540000,952337350.2252816
545000,956227350.2252816
550000,960117350.2252816
555000,964007350.2252816
560000,967897350.2252816
565000,971787350.2252816
570000,975677350.2252816
575000,979567350.2252816
580000,983457350.2252816
585000,987347350.2252816
590000,991237350.2252816
595000,995133422.4883215
600000,999038422.4883215
605000,1002943422.4883215
610000,1006848422.4883215
615000,1010753422.4883215
620000,1014658422.4883215
625000,1018563422.4883215
630000,1022468422.4883215
635000,1026373422.4883215
640000,1030278422.4883215
645000,1034183422.4883215
650000,1038088422.4883215
655000,1041993422.4883215
660000,1045898422.4883215
665000,1049803422.4883215
670000,1053708422.4883215
675000,1057615696.1196816
680000,1061535696.1196816
685000,1065455696.1196816
690000,1069375696.1196816
695000,1073295696.1196816
700000,1077215696.1196816
705000,1081135696.1196816
710000,1085055696.1196816
715000,1088975696.1196816
720000,1092895696.1196816
725000,1096815696.1196816
730000,1100735696.1196816
735000,1104655696.1196816
740000,1108575696.1196816
745000,1112495696.1196816
750000,1116415696.1196816
755000,1120335696.1196816
760000,1124255696.1196816
765000,1128175696.1196816
770000,1132095696.1196816
775000,1136015696.1196816
780000,1139935696.1196816
785000,1143855696.1196816
790000,1147775696.1196816
795000,1151695696.1196816
800000,1155615696.1196816
805000,1159535696.1196816
810000,1163455696.1196816
815000,1167375696.1196816
820000,1171295696.1196816
825000,1175215696.1196816
830000,1179135696.1196816
835000,1183055696.1196816
840000,1186975696.1196816
845000,1190895696.1196816
850000,1194815696.1196816
855000,1198735696.1196816
860000,1202655696.1196816
865000,1206575696.1196816
870000,1210495696.1196816
875000,1214415696.1196816
880000,1218335696.1196816
885000,1222255696.1196816
890000,1226175696.1196816
895000,1230095696.1196816
900000,1234015696.1196816
905000,1237935696.1196816
910000,1241855696.1196816
915000,1245775696.1196816
920000,1249695696.1196816
925000,1253615696.1196816
930000,1257535696.1196816
935000,1261455696.1196816
940000,1265375696.1196816
945000,1269295696.1196816
950000,1273215696.1196816
955000,1277135696.1196816
960000,1281055696.1196816
965000,1284975696.1196816
970000,1288895696.1196816
975000,1292815696.1196816
980000,1296735696.1196816
985000,1300655696.1196816
990000,1304575696.1196816
995000,1308495696.1196816
1000000,1312415696.1196816
