L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,841780198.6,641549946.8,-200230251.80000007,-23.786524336520557
5000.0,842760198.6,642529946.8,-200230251.80000007,-23.758864281040342
10000.0,843740198.6,643509946.8,-200230251.80000007,-23.731268479590973
15000.0,844720198.6,644489946.8,-200230251.80000007,-23.703736708539985
20000.0,845700198.6,645469946.8,-200230251.80000007,-23.676268745291516
25000.0,846680198.6,646449946.8,-200230251.80000007,-23.648864368280275
30000.0,847660198.6,647429946.8,-200230251.80000007,-23.62152335696561
35000.0,848640198.6,648409946.8,-200230251.80000007,-23.594245491825568
40000.0,849625962.91616,649389946.8,-200236016.11616004,-23.567549116424434
45000.0,850765425.4236798,650369946.8,-200395478.62367988,-23.554727617648926
50000.0,852075425.4236798,651349946.8,-200725478.62367988,-23.557243013301623
55000.0,853442687.23488,652329946.8,-201112740.43488002,-23.564879451539646
60000.0,855062687.23488,653309946.8,-201752740.43488002,-23.595081793045182
65000.0,856682687.23488,654300040.95136,-202382646.28351998,-23.62399162480471
70000.0,858302687.23488,655295040.95136,-203007646.28351998,-23.652220749480847
75000.0,859922687.23488,656731747.2732799,-203190939.96160007,-23.62897769507276
80000.0,861542687.23488,658206747.2732799,-203335939.96160007,-23.601377270603557
85000.0,863162687.23488,659681747.2732799,-203480939.96160007,-23.573880448128055
90000.0,864782687.23488,661156747.2732799,-203625939.96160007,-23.546486645412465
95000.0,866406445.39104,663092838.14848,-203313607.2425599,-23.46630825799054
100000.0,868350372.10848,665032838.14848,-203317533.95999992,-23.414227769179806
105000.0,870331263.0960021,666972838.14848,-203358424.94752204,-23.365634853115754
110000.0,872601263.0960021,668912838.14848,-203688424.94752204,-23.34266904735303
115000.0,874871263.0960021,670852838.14848,-204018424.94752204,-23.319822418848215
120000.0,877141263.0960021,672792838.14848,-204348424.94752204,-23.297094042326037
125000.0,879411263.0960021,674732838.14848,-204678424.94752204,-23.274483002064763
130000.0,881681263.0960021,676672838.14848,-205008424.94752204,-23.251988391773235
135000.0,884188783.7072009,678612838.14848,-205575945.55872083,-23.250232229455346
