L,runtime
0,651830298.8
5000,652810298.8
10000,653790298.8
15000,654770298.8
20000,655750298.8
25000,656730298.8
30000,657710298.8
35000,658690298.8
40000,659670298.8
45000,660650298.8
50000,661630298.8
55000,662610298.8
60000,663590298.8
65000,664580392.95136
70000,665575392.95136
75000,667012099.2732799
80000,668487099.2732799
85000,669962099.2732799
90000,671437099.2732799
95000,673373190.14848
100000,675313190.14848
105000,677253190.14848
110000,679193190.14848
115000,681133190.14848
120000,683073190.14848
125000,685013190.14848
130000,686953190.14848
135000,688893190.14848
140000,690833190.14848
145000,692773190.14848
150000,694713190.14848
155000,696653190.14848
160000,698703125.1033602
165000,701138125.1033602
170000,703573125.1033602
175000,706008125.1033602
180000,708443125.1033602
185000,711110871.0668803
190000,714025871.0668803
195000,716940871.0668803
200000,719855871.0668803
205000,722770871.0668803
210000,725685871.0668803
215000,728600871.0668803
220000,731515871.0668803
225000,734430871.0668803
230000,737345871.0668803
235000,740260871.0668803
240000,743387609.4790416
245000,746767609.4790416
250000,750147609.4790416
255000,753527609.4790416
260000,756907609.4790416
265000,760302128.8704016
270000,763697128.8704016
275000,767092128.8704016
280000,770487128.8704016
285000,773882128.8704016
290000,777277128.8704016
295000,780672128.8704016
300000,784067128.8704016
305000,787473512.4217615
310000,790883512.4217615
315000,794293512.4217615
320000,797703512.4217615
325000,801113512.4217615
330000,804523512.4217615
335000,807933512.4217615
340000,811343512.4217615
345000,814753512.4217615
350000,818163512.4217615
355000,821573512.4217615
360000,824983512.4217615
365000,828393512.4217615
370000,831803512.4217615
375000,835213512.4217615
380000,838623512.4217615
385000,842033512.4217615
390000,845917702.2252816
395000,849807702.2252816
400000,853697702.2252816
405000,857587702.2252816
410000,861477702.2252816
415000,865367702.2252816
420000,869257702.2252816
425000,873147702.2252816
430000,877037702.2252816
435000,880927702.2252816
440000,884817702.2252816
445000,888707702.2252816
450000,892597702.2252816
455000,896487702.2252816
460000,900377702.2252816
465000,904267702.2252816
470000,908157702.2252816
475000,912047702.2252816
480000,915937702.2252816
485000,919827702.2252816
490000,923717702.2252816
495000,927607702.2252816
500000,931497702.2252816
505000,935387702.2252816
510000,939277702.2252816
515000,943167702.2252816
520000,947057702.2252816
525000,950947702.2252816
530000,954837702.2252816
535000,958727702.2252816
540000,962617702.2252816
545000,966507702.2252816
550000,970397702.2252816
555000,974287702.2252816
560000,978177702.2252816
565000,982067702.2252816
570000,985957702.2252816
575000,989847702.2252816
580000,993737702.2252816
585000,997627702.2252816
590000,1001517702.2252816
595000,1005413774.4883215
600000,1009318774.4883215
605000,1013223774.4883215
610000,1017128774.4883215
615000,1021033774.4883215
620000,1024938774.4883215
625000,1028843774.4883215
630000,1032748774.4883215
635000,1036653774.4883215
640000,1040558774.4883215
645000,1044463774.4883215
650000,1048368774.4883215
655000,1052273774.4883215
660000,1056178774.4883215
665000,1060083774.4883215
670000,1063988774.4883215
675000,1067896048.1196816
680000,1071816048.1196816
685000,1075736048.1196816
690000,1079656048.1196816
695000,1083576048.1196816
700000,1087496048.1196816
705000,1091416048.1196816
710000,1095336048.1196816
715000,1099256048.1196816
720000,1103176048.1196816
725000,1107096048.1196816
730000,1111016048.1196816
735000,1114936048.1196816
740000,1118856048.1196816
745000,1122776048.1196816
750000,1126696048.1196816
755000,1130616048.1196816
760000,1134536048.1196816
765000,1138456048.1196816
770000,1142376048.1196816
775000,1146296048.1196816
780000,1150216048.1196816
785000,1154136048.1196816
790000,1158056048.1196816
795000,1161976048.1196816
800000,1165896048.1196816
805000,1169816048.1196816
810000,1173736048.1196816
815000,1177656048.1196816
820000,1181576048.1196816
825000,1185496048.1196816
830000,1189416048.1196816
835000,1193336048.1196816
840000,1197256048.1196816
845000,1201176048.1196816
850000,1205096048.1196816
855000,1209016048.1196816
860000,1212936048.1196816
865000,1216856048.1196816
870000,1220776048.1196816
875000,1224696048.1196816
880000,1228616048.1196816
885000,1232536048.1196816
890000,1236456048.1196816
895000,1240376048.1196816
900000,1244296048.1196816
905000,1248216048.1196816
910000,1252136048.1196816
915000,1256056048.1196816
920000,1259976048.1196816
925000,1263896048.1196816
930000,1267816048.1196816
935000,1271736048.1196816
940000,1275656048.1196816
945000,1279576048.1196816
950000,1283496048.1196816
955000,1287416048.1196816
960000,1291336048.1196816
965000,1295256048.1196816
970000,1299176048.1196816
975000,1303096048.1196816
980000,1307016048.1196816
985000,1310936048.1196816
990000,1314856048.1196816
995000,1318776048.1196816
1000000,1322696048.1196816
