L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,841780198.6,651830298.8,-189949899.80000007,-22.565261111619602
5000.0,842760198.6,652810298.8,-189949899.80000007,-22.539021196723144
10000.0,843740198.6,653790298.8,-189949899.80000007,-22.512842236885223
15000.0,844720198.6,654770298.8,-189949899.80000007,-22.486724019955272
20000.0,845700198.6,655750298.8,-189949899.80000007,-22.460666334766078
25000.0,846680198.6,656730298.8,-189949899.80000007,-22.43466897112811
30000.0,847660198.6,657710298.8,-189949899.80000007,-22.40873171982385
35000.0,848640198.6,658690298.8,-189949899.80000007,-22.382854372602196
40000.0,849625962.91616,659670298.8,-189955664.11616004,-22.357563493490442
45000.0,850765425.4236798,660650298.8,-190115126.62367988,-22.346362574501995
50000.0,852075425.4236798,661630298.8,-190445126.62367988,-22.350735737858454
55000.0,853442687.23488,662610298.8,-190832388.43488002,-22.360305066667017
60000.0,855062687.23488,663590298.8,-191472388.43488002,-22.392789592312525
65000.0,856682687.23488,664580392.95136,-192102294.28351998,-22.423972976922148
70000.0,858302687.23488,665575392.95136,-192727294.28351998,-22.454467072031772
75000.0,859922687.23488,667012099.2732799,-192910587.96160007,-22.43348045414556
80000.0,861542687.23488,668487099.2732799,-193055587.96160007,-22.408127980426798
85000.0,863162687.23488,669962099.2732799,-193200587.96160007,-22.382870670709053
90000.0,864782687.23488,671437099.2732799,-193345587.96160007,-22.357707990179303
95000.0,866406445.39104,673373190.14848,-193033255.2425599,-22.279757528285373
100000.0,868350372.10848,675313190.14848,-193037181.95999992,-22.230333303281462
105000.0,870331263.0960021,677253190.14848,-193078072.94752204,-22.184434954191058
110000.0,872601263.0960021,679193190.14848,-193408072.94752204,-22.16454194225062
115000.0,874871263.0960021,681133190.14848,-193738072.94752204,-22.14475216181179
120000.0,877141263.0960021,683073190.14848,-194068072.94752204,-22.125064811399888
125000.0,879411263.0960021,685013190.14848,-194398072.94752204,-22.105479097815504
130000.0,881681263.0960021,686953190.14848,-194728072.94752204,-22.085994236028018
135000.0,884188783.7072009,688893190.14848,-195295593.55872083,-22.0875447819968
140000.0,886768783.7072009,690833190.14848,-195935593.55872083,-22.09545454899731
145000.0,889356313.8268809,692773190.14848,-196583123.67840087,-22.10397796947187
150000.0,891946313.8268809,694713190.14848,-197233123.67840087,-22.112667614732935
155000.0,894536313.8268809,696653190.14848,-197883123.67840087,-22.121306940781956
160000.0,897129444.2192008,698703125.1033602,-198426319.11584067,-22.117914019479894
165000.0,899729444.2192008,701138125.1033602,-198591319.11584067,-22.072337455642714
170000.0,902332166.4534408,703573125.1033602,-198759041.3500806,-22.02725877891402
175000.0,904942166.4534408,706008125.1033602,-198934041.3500806,-21.98306684389822
180000.0,907593202.1884809,708443125.1033602,-199150077.08512068,-21.942658517594644
185000.0,910523202.1884809,711110871.0668803,-199412331.1216005,-21.90085114166279
190000.0,913453202.1884809,714025871.0668803,-199427331.1216005,-21.83224391176319
195000.0,916383202.1884809,716940871.0668803,-199442331.1216005,-21.764075404841325
200000.0,919313202.1884809,719855871.0668803,-199457331.1216005,-21.696341426053735
205000.0,922388247.3648,722770871.0668803,-199617376.29791963,-21.641361635755096
210000.0,925638247.3648,725685871.0668803,-199952376.29791963,-21.601568092844495
215000.0,928888247.3648,728600871.0668803,-200287376.29791963,-21.56205300972672
220000.0,932138247.3648,731515871.0668803,-200622376.29791963,-21.522813473761946
225000.0,935462074.1872,734430871.0668803,-201031203.1203196,-21.490043120667472
230000.0,939022074.1872,737345871.0668803,-201676203.1203196,-21.477259019164887
235000.0,942582074.1872,740260871.0668803,-202321203.1203196,-21.464571485171057
