L,runtime
1000000.0,3475018849.1201
998141.6219999695,3469555217.7997375
948141.6219999695,3322555217.7997475
898141.6219999695,3175555217.799759
848141.6219999695,3028555217.799775
781855.9260000992,2833675271.5603857
731855.9260000992,2686675271.5603647
681855.9260000992,2539675271.56034
631855.9260000992,2392675271.560316
581855.9260000992,2245675271.5602913
531855.9260000992,2098675271.56028
481855.92600009916,1951675271.5602803
431855.92600009916,1804675271.5602806
381855.92600009916,1657675271.5602818
331855.92600009916,1510675271.5602822
281855.92600009916,1363675271.5602822
231855.92600009916,1216675271.560294
181855.92600009916,1069675271.5603025
131855.92600009916,922675271.5603025
81855.92600009916,775720187.734302
31855.926000099164,628920781.9402925
-18144.073999900836,484987231.50021464
