L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
36735.74999999045,853260347.1797554,642672198.6199795,-210588148.55977595,-24.68040959079182
86735.74999999045,868063517.117061,792415028.5699823,-75648488.54707873,-8.714625952524313
136735.74999999045,886435626.7784132,942365028.5699856,55929401.79157245,6.309471336890818
186735.74999999045,907306013.7108889,1092315028.569987,185009014.8590982,20.391027069512067
236735.74999999045,933814681.1416228,1242265028.5699885,308450347.4283657,33.03121632777007
286735.74999999045,962594047.8095559,1392215028.5699892,429620980.7604333,44.631585011154314
336735.74999999045,994133212.416159,1542214513.9899895,548081301.5738305,55.131575399413926
386735.74999999045,1028415149.3895009,1692264513.9899905,663849364.6004896,64.5507181603238
436735.74999999045,1065454433.6852969,1842314513.9899917,776860080.3046948,72.91349641463464
486735.74999999045,1104601859.5227678,1992364513.989992,887762654.4672241,80.36946948928487
536735.7499999905,1145596551.6790895,2142414513.9899929,996817962.3109033,87.01300303757698
586735.7499999905,1188495588.4000695,2292464513.989998,1103968925.5899284,92.88792792879195
636735.7499999905,1232817223.349293,2442514513.989998,1209697290.6407049,98.12462607832681
686735.7499999905,1278047148.5507574,2592564513.989999,1314517365.4392414,102.85358931631275
736735.7499999905,1323861949.4745145,2742614513.989999,1418752564.5154843,107.16771224360933
786735.7499999905,1370256146.3526123,2892664513.989998,1522408367.6373856,111.10392547333406
836735.7499999905,1417271502.6313434,3042714513.989998,1625443011.3586545,114.6881884198486
886735.7499999905,1464991660.4694302,3192764513.989997,1727772853.5205667,117.93738491091021
936735.7499999905,1513364885.4347959,3342884505.269996,1829519619.8352003,120.89084644709276
986735.7499999905,1562064885.4348006,3493134505.269996,1931069619.8351955,123.62288134386188
1000000.0,1574984264.9348123,3532993576.5199995,1958009311.5851872,124.31929354330585
