L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
-13264.250000009546,499034639.3767557,498117163.6499798,-917475.7267758846,-0.1838501086661479
36735.74999999045,643247887.2115602,642672198.6199795,-575688.5915807486,-0.08949716011914519
86735.74999999045,790062486.6335051,792415028.5699823,2352541.9364771843,0.29776656609801594
136735.74999999045,937021954.1199827,942365028.5699856,5343074.450002909,0.570218704749659
186735.74999999045,1084021954.1199818,1092315028.569987,8293074.450005293,0.7650282744262021
236735.74999999045,1231021954.1199732,1242265028.5699885,11243074.450015306,0.9133122616040344
286735.74999999045,1378021954.1199625,1392215028.5699892,14193074.45002675,1.0299599659927614
336735.74999999045,1525021954.1199625,1542214513.9899895,17192559.870027065,1.1273647453782591
386735.74999999045,1672021954.119962,1692264513.9899905,20242559.870028496,1.2106635215015937
436735.74999999045,1819021954.119961,1842314513.9899917,23292559.87003064,1.2804991065267013
486735.74999999045,1966021954.1199605,1992364513.989992,26342559.870031357,1.339891439911358
536735.7499999905,2113021954.1199617,2142414513.9899929,29392559.87003112,1.3910200891534337
586735.7499999905,2260021954.1199746,2292464513.989998,32442559.87002325,1.435497553945488
636735.7499999905,2407021954.119999,2442514513.989998,35492559.86999893,1.4745424240625558
686735.7499999905,2554021954.120023,2592564513.989999,38542559.86997604,1.5090927393087237
736735.7499999905,2701021954.120047,2742614513.989999,41592559.869951725,1.5398823325559368
786735.7499999905,2848021954.120049,2892664513.989998,44642559.869948864,1.5674935302155013
836735.7499999905,2995021954.1198764,3042714513.989998,47692559.87012148,1.592394333020391
886735.7499999905,3142021954.1198244,3192764513.989997,50742559.8701725,1.6149651597322154
936735.7499999905,3289021954.1198115,3342884505.269996,53862551.15018463,1.6376464463156497
986735.7499999905,3436021954.1198006,3493134505.269996,57112551.1501956,1.6621707286159064
1000000.0,3475018849.1201,3532993576.5199995,57974727.39989948,1.6683284297746788
