L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,3961853.269120007,2623670.640320003,-1338182.6288000038,-33.776683231311
5000.0,4111853.269120007,2763670.640320003,-1348182.6288000038,-32.78771251213771
10000.0,4261853.269120007,2903670.640320003,-1358182.6288000038,-31.86835733273481
15000.0,4411853.269120007,3043670.640320003,-1368182.6288000038,-31.011517050586384
20000.0,4561853.269120007,3183670.640320003,-1378182.6288000038,-30.211024938683718
25000.0,4711853.269120007,3323670.640320003,-1388182.6288000038,-29.46149953135665
30000.0,4861853.269120007,3463670.640320003,-1398182.6288000038,-28.758223488161217
35000.0,5011853.269120007,3603670.640320003,-1408182.6288000038,-28.097044210698847
40000.0,5161853.269120007,3744453.959360004,-1417399.309760003,-27.459116636254972
45000.0,5311853.269120007,3889453.959360004,-1422399.309760003,-26.77783511131598
50000.0,5461853.269120007,4034453.959360004,-1427399.309760003,-26.133973935736655
55000.0,5611853.269120007,4179453.959360004,-1432399.309760003,-25.52453246848019
60000.0,5761853.269120007,4324453.959360004,-1437399.3097600024,-24.94682253474901
65000.0,5911853.269120007,4469453.959360004,-1442399.3097600024,-24.39842878533937
70000.0,6061853.269120007,4614453.959360004,-1447399.3097600024,-23.877174941420513
75000.0,6211853.269120007,4759453.959360004,-1452399.3097600024,-23.38109492991541
80000.0,6361853.269120007,4904453.959360004,-1457399.3097600024,-22.908408102307504
85000.0,6511853.269120007,5049453.959360004,-1462399.3097600024,-22.457497878443856
90000.0,6661853.269120007,5194453.959360004,-1467399.3097600024,-22.026893275507966
95000.0,6811853.269120007,5339453.959360004,-1472399.3097600024,-21.615252877433385
100000.0,6966217.907200007,5492526.950719998,-1473690.9564800085,-21.15482139823476
105000.0,7121217.907200007,5652526.950719998,-1468690.9564800085,-20.624154121095888
110000.0,7276217.907200007,5812526.950719998,-1463690.9564800085,-20.11609568525495
115000.0,7431217.907200007,5972526.950719998,-1458690.9564800085,-19.6292313682082
120000.0,7586217.907200007,6132526.950719998,-1453690.9564800085,-19.162262068695977
125000.0,7741217.907200007,6292526.950719998,-1448690.9564800085,-18.71399273146154
130000.0,7896217.907200007,6452526.950719998,-1443690.9564800085,-18.28332213531757
135000.0,8051217.907200007,6612526.950719998,-1438690.9564800085,-17.869233860797912
140000.0,8206217.907200007,6772526.950719998,-1433690.9564800085,-17.47078828143365
