L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,183627410.31199917,176181308.77087846,-7446101.541120708,-4.055005474656057
5000.0,184082410.31199884,176371308.77087846,-7711101.54112038,-4.188939903628454
10000.0,184537410.31199852,176569041.2108785,-7968369.101120025,-4.318023693758277
15000.0,184992410.3119985,176787494.65087846,-8204915.661120027,-4.4352715050752884
20000.0,185450704.0719986,177181960.35263848,-8268743.719360113,-4.458728674413601
25000.0,185918149.5519987,177641960.35263848,-8276189.199360222,-4.451523005851286
30000.0,186404988.23199877,178101960.35263848,-8303027.879360288,-4.454294897423227
35000.0,186905063.75199875,178561960.35263848,-8343103.399360269,-4.4638188136147
40000.0,187413678.79199877,179021960.35263848,-8391718.43936029,-4.477644584669749
45000.0,188046042.7024008,179719245.2230385,-8326797.479362309,-4.4280631273587545
50000.0,189011042.7024006,180629245.2230385,-8381797.4793621,-4.434554383449071
55000.0,190041743.1702411,181539245.2230385,-8502497.947202593,-4.474015974262023
60000.0,191101510.2102409,182449245.2230385,-8652264.987202406,-4.527575411457288
65000.0,192161510.2102407,183359245.2230385,-8802264.987202197,-4.580659767698425
70000.0,193229395.3302405,184269245.2230385,-8960150.107201993,-4.637053328189826
75000.0,194304395.33024037,185179245.2230385,-9125150.107201874,-4.696316875227007
80000.0,195379395.3302402,186089245.2230385,-9290150.107201695,-4.754928272502334
85000.0,196454395.33024004,186999245.2230385,-9455150.107201546,-4.812898225721765
90000.0,197529395.33023983,187909581.2201585,-9619814.110081345,-4.870067107732721
95000.0,198604395.3302397,188824581.2201585,-9779814.110081226,-4.9242687171244794
100000.0,199713445.24384013,189810745.09055853,-9902700.1532816,-4.9584544201272465
105000.0,200938445.24383992,191029476.9868785,-9908968.256961405,-4.931345141511779
110000.0,202164715.2038397,192349476.9868785,-9815238.216961175,-4.8550698904428575
115000.0,203394715.20383957,193669476.9868785,-9725238.216961056,-4.781460623111347
120000.0,204624715.20383933,194989476.9868785,-9635238.216960818,-4.708736286993759
125000.0,205854715.20383915,196309476.9868785,-9545238.216960639,-4.636881019465044
130000.0,207084715.2038389,197629476.9868785,-9455238.2169604,-4.5658793347704885
135000.0,208314715.20383897,198949476.9868785,-9365238.21696046,-4.495716112899868
140000.0,209544715.20383903,200269476.9868785,-9275238.21696052,-4.426376588852569
145000.0,210774715.2038392,201589476.9868785,-9185238.216960698,-4.357846342279575
150000.0,212004715.20383927,202909476.9868785,-9095238.216960758,-4.290111287485199
155000.0,213234715.20383936,204229476.9868785,-9005238.216960847,-4.223157663775521
160000.0,214474450.91615945,205549476.9868785,-8924973.929280937,-4.161322661583506
165000.0,215718176.8703996,206869476.9868785,-8848699.88352108,-4.10197231030617
170000.0,216968176.87039968,208189476.9868785,-8778699.88352117,-4.0460771759929095
175000.0,218218176.8703997,209509476.9868785,-8708699.8835212,-3.990822400048423
180000.0,219468176.8703997,210829476.9868785,-8638699.8835212,-3.936197040823154
185000.0,220718176.8703997,212149476.9868785,-8568699.8835212,-3.8821904045322597
190000.0,221968176.8703997,213469476.9868785,-8498699.8835212,-3.828792038276426
195000.0,223220271.8531199,214789476.9868785,-8430794.866241395,-3.7768948116813075
200000.0,224485271.85311997,216109476.9868785,-8375794.866241455,-3.7311110867539283
205000.0,225764538.8070401,217429476.9868785,-8335061.820161581,-3.691926936003674
210000.0,227069538.80704013,218749476.9868785,-8320061.820161611,-3.664103016138972
215000.0,228374538.8070402,220069476.9868785,-8305061.8201617,-3.6365970845720548
220000.0,229764033.5478409,221389476.9868785,-8374556.560962379,-3.644850950624807
225000.0,231457233.2540817,222709476.9868785,-8747756.267203182,-3.7794266112221044
230000.0,233242233.25408143,224029476.9868785,-9212756.267202914,-3.9498662564969687
235000.0,235027233.2540812,225349476.9868785,-9677756.267202675,-4.117716969735303
240000.0,236812233.254081,226669476.9868785,-10142756.267202497,-4.283037294074294
245000.0,238597233.2540808,227989476.9868785,-10607756.267202288,-4.445884020753145
250000.0,240382233.25408053,229309476.9868785,-11072756.26720202,-4.606312254158267
255000.0,242167233.25408036,230629476.9868785,-11537756.26720184,-4.764375473991768
260000.0,243952233.2540801,231956436.4982386,-11995796.755841494,-4.9172727774734835
265000.0,245737233.25407985,233291436.4982386,-12445796.755841255,-5.064676846496815
270000.0,247522233.25407964,234796521.8390389,-12725711.415040731,-5.141239737433157
275000.0,249307233.2540794,236581521.8390389,-12725711.415040493,-5.104429281468616
280000.0,251092233.2540792,238366521.8390389,-12725711.415040284,-5.068142192260957
285000.0,252877233.2540789,240151521.8390389,-12725711.415039986,-5.032367386847278
