L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,862915085.2800002,461762626.6400004,-401152458.6399998,-46.48805722405851
5000.0,863595085.2800002,462442626.6400004,-401152458.6399998,-46.45145224627299
10000.0,864275085.2800002,463122626.6400004,-401152458.6399998,-46.41490486909477
15000.0,864955085.2800002,463912924.5705604,-401042160.7094398,-46.365663088692735
20000.0,865635085.2800002,465212924.5705604,-400422160.7094398,-46.25761680857915
25000.0,866315085.2800002,466512924.5705604,-399802160.7094398,-46.14974014682204
30000.0,866995085.2800002,471390889.6236845,-395604195.6563157,-45.629346967815096
35000.0,867675085.2800002,482610889.6236845,-385064195.6563157,-44.37884666609447
40000.0,868355085.2800002,494214371.8947249,-374140713.3852753,-43.086142953217575
45000.0,869035085.2800002,506054371.8947249,-362980713.3852753,-41.76824613108965
50000.0,869715085.2800002,517894371.8947249,-351820713.3852753,-40.45241014441051
55000.0,870444437.2800002,529734371.8947249,-340710065.3852753,-39.142080848944225
60000.0,871642851.5200002,541574371.8947248,-330068479.6252754,-37.86739936542711
65000.0,872942851.5200002,553414371.8947248,-319528479.6252754,-36.60359656636177
70000.0,874242851.5200002,566991254.2985744,-307251597.2214258,-35.14487955917781
75000.0,875542851.5200002,588751254.2985744,-286791597.2214258,-32.75586074668266
80000.0,876842851.5200002,610511254.2985744,-266331597.22142577,-30.37392581347296
85000.0,878142851.5200002,632271254.2985744,-245871597.22142577,-27.999043298688846
90000.0,879476264.5600002,654031254.2985744,-225445010.26142573,-25.63400734574859
95000.0,888198279.600005,675791254.2985744,-212407025.30143058,-23.91437026843678
100000.0,899418279.600005,697551254.2985744,-201867025.30143058,-22.444176406021697
105000.0,910638279.600005,719311254.2985744,-191327025.30143058,-21.010211143931965
110000.0,921858279.600005,741071254.2985744,-180787025.30143058,-19.61115165987056
115000.0,933078279.600005,762831254.2985744,-170247025.30143058,-18.245738757782746
120000.0,944406221.600005,784591254.2985744,-159814967.30143058,-16.922269638447894
125000.0,956086405.4400052,806351254.2985744,-149735151.14143074,-15.66125721372645
130000.0,967926405.4400052,828111254.2985744,-139815151.14143074,-14.444812162952909
135000.0,979766405.4400052,849871254.2985744,-129895151.14143074,-13.257767404578018
140000.0,991606405.4400052,871631254.2985744,-119975151.14143074,-12.099069800602408
145000.0,1003446405.4400052,893391254.2985744,-110055151.14143074,-10.967715918337683
150000.0,1015286405.4400052,915151254.2985744,-100135151.14143074,-9.86274913215588
155000.0,1027126405.4400052,936911254.2985744,-90215151.14143074,-8.783256925692992
160000.0,1038966405.4400052,958671254.2985744,-80295151.14143074,-7.7283683785161
165000.0,1050806405.4400052,980431254.2985744,-70375151.14143074,-6.697251822704914
170000.0,1062646405.4400052,1002191254.2985744,-60455151.141430736,-5.689112656095453
175000.0,1074486405.4400053,1023951254.2985744,-50535151.141430855,-4.703191300101797
180000.0,1086326405.4400053,1045711254.2985744,-40615151.141430855,-3.7387612910854453
185000.0,1098166405.4400053,1067471254.2985744,-30695151.141430855,-2.7951274951934217
190000.0,1110006405.4400053,1089231254.2985744,-20775151.141430855,-1.871624437445981
195000.0,1122093363.8400056,1110991254.2985744,-11102109.541431189,-0.9894104981993449
200000.0,1142071669.8400068,1132751254.2985744,-9320415.54143238,-0.8160972544514724
205000.0,1163831669.8400068,1154511254.2985744,-9320415.54143238,-0.8008387967921227
210000.0,1185591669.8400068,1176271254.2985744,-9320415.54143238,-0.7861404376002533
215000.0,1207351669.8400068,1198031254.2985744,-9320415.54143238,-0.7719718930498091
220000.0,1229111669.8400068,1219791254.2985744,-9320415.54143238,-0.7583050238751388
225000.0,1250871669.8400068,1241551254.2985744,-9320415.54143238,-0.7451136488385345
230000.0,1272631669.8400068,1263311254.2985744,-9320415.54143238,-0.7323733773342391
235000.0,1294391669.8400068,1285071254.2985744,-9320415.54143238,-0.7200614588770051
240000.0,1316151669.8400068,1306831254.2985744,-9320415.54143238,-0.7081566475211313
245000.0,1337911669.8400068,1328591254.2985744,-9320415.54143238,-0.6966390795101559
250000.0,1359671669.8400068,1350351254.2985744,-9320415.54143238,-0.6854901626750168
255000.0,1381431669.8400068,1372111254.2985744,-9320415.54143238,-0.6746924762852615
260000.0,1403191669.8400068,1393871254.2985744,-9320415.54143238,-0.664229680218605
265000.0,1424951669.8400068,1415631254.2985744,-9320415.54143238,-0.6540864324527493
270000.0,1446711669.8400068,1437391254.2985744,-9320415.54143238,-0.6442483140032411
275000.0,1468471669.8400068,1459151254.2985744,-9320415.54143238,-0.6347017605350099
280000.0,1490231669.8400068,1480911254.2985744,-9320415.54143238,-0.6254339999654572
285000.0,1511991669.8400068,1502671254.2985744,-9320415.54143238,-0.6164329954554996
290000.0,1533751669.8400068,1524431254.2985744,-9320415.54143238,-0.6076873932534749
295000.0,1555511669.8400068,1546191254.2985744,-9320415.54143238,-0.5991864749167094
300000.0,1577271669.8400068,1567951254.2985744,-9320415.54143238,-0.5909201134879835
305000.0,1599031669.8400068,1589711254.2985744,-9320415.54143238,-0.5828787332501643
310000.0,1620791669.8400068,1611471254.2985744,-9320415.54143238,-0.5750532727227322
315000.0,1642551669.8400068,1633231254.2985744,-9320415.54143238,-0.5674351505995692
320000.0,1664311669.8400068,1654991254.2985744,-9320415.54143238,-0.5600162343588186
325000.0,1686071669.8400068,1676751254.2985744,-9320415.54143238,-0.5527888113034249
330000.0,1707831669.8400068,1698511254.2985744,-9320415.54143238,-0.5457455618155586
335000.0,1729591669.8400068,1720271254.2985744,-9320415.54143238,-0.5388795346299599
340000.0,1751351669.8400068,1742031254.2985744,-9320415.54143238,-0.5321841239506078
345000.0,1773111669.8400068,1763791254.2985744,-9320415.54143238,-0.5256530482523636
350000.0,1794871669.8400068,1785551254.2985744,-9320415.54143238,-0.5192803306245952
355000.0,1816631669.8400068,1807311254.2985744,-9320415.54143238,-0.5130602805274909
360000.0,1838391669.8400068,1829071254.2985744,-9320415.54143238,-0.5069874768440137
365000.0,1860151669.8400068,1850831254.2985744,-9320415.54143238,-0.5010567521214029
370000.0,1881911669.8400068,1872591254.2985744,-9320415.54143238,-0.49526317790594115
375000.0,1903671669.8400068,1894351254.2985744,-9320415.54143238,-0.4896020510835102
380000.0,1925431669.8400068,1916111254.2985744,-9320415.54143238,-0.4840688811463695
385000.0,1947191669.8400068,1937871254.2985744,-9320415.54143238,-0.47865937831370264
