L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,4911805204.200001,4911806139.200001,935.0,1.9035771190610276e-05
5000.0,4911845204.200001,4911846139.200001,935.0,1.903561617130165e-05
10000.0,4911885204.200001,4911886139.200001,935.0,1.903546115451783e-05
15000.0,4911925204.200001,4911926139.200001,935.0,1.9035306140258753e-05
20000.0,4911965204.200001,4911966139.200001,935.0,1.9035151128524354e-05
25000.0,4912005204.200001,4912006139.200001,935.0,1.903499611931457e-05
30000.0,4912045204.200001,4912046139.200001,935.0,1.903484111262935e-05
35000.0,4912085204.200001,4912086139.200001,935.0,1.903468610846862e-05
40000.0,4912125204.200001,4912126139.200001,935.0,1.9034531106832325e-05
45000.0,4912165204.200001,4912166139.200001,935.0,1.90343761077204e-05
50000.0,4912205204.200001,4912206139.200001,935.0,1.9034221111132785e-05
55000.0,4912245204.200001,4912246139.200001,935.0,1.903406611706942e-05
60000.0,4912285204.200001,4912286139.200001,935.0,1.9033911125530243e-05
65000.0,4912325204.200001,4912326139.200001,935.0,1.903375613651519e-05
70000.0,4912365204.200001,4912366139.200001,935.0,1.90336011500242e-05
75000.0,4912405204.200001,4912406139.200001,935.0,1.903344616605721e-05
80000.0,4912445204.200001,4912446139.200001,935.0,1.9033291184614163e-05
85000.0,4912485204.200001,4912486139.200001,935.0,1.9033136205694993e-05
90000.0,4912525204.200001,4912526139.200001,935.0,1.9032981229299642e-05
95000.0,4912565204.200001,4912566139.200001,935.0,1.9032826255428043e-05
100000.0,4912605204.200001,4912606139.200001,935.0,1.9032671284080138e-05
105000.0,4912645204.200001,4912646139.200001,935.0,1.9032516315255866e-05
110000.0,4912685204.200001,4912686139.200001,935.0,1.9032361348955163e-05
115000.0,4912725204.200001,4912726139.200001,935.0,1.9032206385177967e-05
120000.0,4912765204.200001,4912766139.200001,935.0,1.903205142392422e-05
125000.0,4912805204.200001,4912806139.200001,935.0,1.903189646519386e-05
130000.0,4912845204.200001,4912846139.200001,935.0,1.9031741508986823e-05
135000.0,4912885204.200001,4912886139.200001,935.0,1.9031586555303048e-05
140000.0,4912925204.200001,4912926139.200001,935.0,1.903143160414247e-05
145000.0,4912965204.200001,4912966139.200001,935.0,1.9031276655505035e-05
150000.0,4913005204.200001,4913006139.200001,935.0,1.9031121709390675e-05
155000.0,4913045204.200001,4913046139.200001,935.0,1.9030966765799328e-05
160000.0,4913085204.200001,4913086139.200001,935.0,1.903081182473094e-05
165000.0,4913125204.200001,4913126139.200001,935.0,1.9030656886185443e-05
170000.0,4913165204.200001,4913166139.200001,935.0,1.9030501950162772e-05
175000.0,4913205204.200001,4913206139.200001,935.0,1.9030347016662878e-05
180000.0,4913245204.200001,4913246139.200001,935.0,1.9030192085685685e-05
185000.0,4913285204.200001,4913286139.200001,935.0,1.9030037157231138e-05
190000.0,4913325204.200001,4913326139.200001,935.0,1.9029882231299178e-05
195000.0,4913365204.200001,4913366139.200001,935.0,1.902972730788974e-05
200000.0,4913405204.200001,4913406139.200001,935.0,1.9029572387002762e-05
205000.0,4913445204.200001,4913446139.200001,935.0,1.9029417468638184e-05
210000.0,4913485204.200001,4913486139.200001,935.0,1.9029262552795945e-05
215000.0,4913525204.200001,4913526139.200001,935.0,1.902910763947598e-05
220000.0,4913565204.200001,4913566139.200001,935.0,1.902895272867823e-05
225000.0,4913605204.200001,4913606139.200001,935.0,1.9028797820402633e-05
230000.0,4913645204.200001,4913646139.200001,935.0,1.9028642914649125e-05
235000.0,4913685204.200001,4913686139.200001,935.0,1.9028488011417648e-05
240000.0,4913725204.200001,4913726139.200001,935.0,1.9028333110708144e-05
245000.0,4913765204.200001,4913766139.200001,935.0,1.902817821252054e-05
250000.0,4913805204.200001,4913806139.200001,935.0,1.9028023316854783e-05
255000.0,4913845204.200001,4913846139.200001,935.0,1.902786842371081e-05
260000.0,4913885204.200001,4913886139.200001,935.0,1.902771353308856e-05
265000.0,4913925204.200001,4913926139.200001,935.0,1.9027558644987968e-05
270000.0,4913965204.200001,4913966139.200001,935.0,1.9027403759408976e-05
275000.0,4914005204.200001,4914006139.200001,935.0,1.9027248876351523e-05
280000.0,4914045204.200001,4914046139.200001,935.0,1.9027093995815542e-05
285000.0,4914087307.360001,4914088970.997121,1663.6371202468872,3.385444775788171e-05
290000.0,4914136974.52,4914137366.794241,392.2742404937744,7.982566268049349e-06
295000.0,4914186974.52,4914188332.031361,1357.511360168457,2.762433271682858e-05
300000.0,4914242131.720001,4914245797.26848,3665.5484790802,7.459031079116254e-05
305000.0,4914302131.720001,4914305797.26848,3665.5484790802,7.458940009854994e-05
310000.0,4914362131.720001,4914365797.26848,3665.5484790802,7.458848942817483e-05
315000.0,4914422131.720001,4914425797.26848,3665.5484790802,7.45875787800364e-05
320000.0,4914482131.720001,4914485797.26848,3665.5484790802,7.458666815413385e-05
325000.0,4914542131.720001,4914545797.26848,3665.5484790802,7.458575755046633e-05
330000.0,4914602131.720001,4914605797.26848,3665.5484790802,7.458484696903308e-05
335000.0,4914662131.720001,4914665797.26848,3665.5484790802,7.458393640983323e-05
340000.0,4914722131.720001,4914725797.26848,3665.5484790802,7.458302587286601e-05
345000.0,4914782131.720001,4914785797.26848,3665.5484790802,7.458211535813057e-05
350000.0,4914842131.720001,4914845797.26848,3665.5484790802,7.458120486562613e-05
355000.0,4914902131.720001,4914905797.26848,3665.5484790802,7.458029439535184e-05
360000.0,4914962131.720001,4914965797.26848,3665.5484790802,7.457938394730691e-05
365000.0,4915022131.720001,4915025797.26848,3665.5484790802,7.457847352149052e-05
370000.0,4915082131.720001,4915085797.26848,3665.5484790802,7.457756311790186e-05
375000.0,4915142131.720001,4915145797.26848,3665.5484790802,7.457665273654011e-05
380000.0,4915202131.720001,4915205797.26848,3665.5484790802,7.457574237740446e-05
385000.0,4915262131.720001,4915265797.26848,3665.5484790802,7.457483204049409e-05
390000.0,4915322131.720001,4915325797.26848,3665.5484790802,7.457392172580819e-05
395000.0,4915382131.720001,4915385797.26848,3665.5484790802,7.457301143334595e-05
